,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,entity,description,2,True,False,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",360,10,0,False,10
17,human,human,3,True,True,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",17,10,0,False,10
361,description,description,2,True,True,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",361,10,0,False,10
411,description,entity,1,True,False,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",411,10,0,False,10
67,entity,description,2,True,False,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",67,10,0,False,10
425,location,entity,1,True,False,False,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",425,10,0,False,10
104,location,location,4,False,True,False,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",104,10,0,False,10
394,description,description,2,True,True,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",394,10,0,False,10
450,entity,entity,1,True,True,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",450,10,0,False,10
141,entity,entity,1,True,True,True,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",141,10,0,False,10
142,location,location,4,False,True,False,"{5: 2, 3: 3, 2: 3, 1: 2}","[1693, 435, 1211, 719, 3770, 3239, 5447, 3596, 2529, 1823]",142,10,0,False,10
