,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
152,numeric other,numeric other,43,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",152,5,4,False,5
94,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",94,5,4,False,5
337,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",337,5,4,False,5
78,numeric other,numeric distance,40,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",78,5,4,False,5
323,human group,entity currency,6,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",323,5,4,False,5
143,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",143,5,4,False,5
59,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",59,5,4,False,5
17,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",17,5,4,False,5
161,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",161,5,4,False,5
220,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",220,5,4,False,5
290,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",290,5,4,False,5
224,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",224,5,4,False,5
15,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",15,5,4,False,5
162,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",162,5,4,False,5
272,location city,location city,32,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",272,5,4,False,5
193,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",193,5,4,False,5
325,location city,location city,32,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",325,5,4,False,5
30,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",30,5,4,False,5
331,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",331,5,4,False,5
219,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",219,5,4,False,5
286,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",286,5,4,False,5
246,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",246,5,4,False,5
68,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",68,5,4,False,5
205,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",205,5,4,False,5
232,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",232,5,4,False,5
64,human group,location country,33,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",64,5,4,False,5
121,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",121,5,4,False,5
201,human group,abbreviation expansion,1,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",201,5,4,False,5
315,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",315,5,4,False,5
145,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",145,5,4,False,5
72,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",72,5,4,False,5
184,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",184,5,4,False,5
141,numeric other,numeric other,43,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",141,5,4,False,5
95,location other,location other,35,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",95,5,4,False,5
213,location city,location other,35,True,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",213,5,4,False,5
38,human group,description,24,False,False,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",38,5,4,False,5
256,human individual,human individual,29,True,True,True,"{32: 1, 43: 1, 28: 1, 29: 1, 35: 1}","[304, 2547, 652, 2803, 211]",256,5,4,False,5
