,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,play music,music settings,44,False,False,False,{66: 1},[1787],4077,1,0,False
3189,news query,news,45,False,True,False,{66: 1},[1787],3189,1,0,False
1602,iot hue light off,general qu,27,False,False,False,{66: 1},[1787],1602,1,0,False
3789,play music,calendar query,7,False,False,False,{66: 1},[1787],3789,1,0,False
2924,iot coffee,general neg,25,False,False,False,{66: 1},[1787],2924,1,0,False
5465,music settings,music li,42,False,False,False,{66: 1},[1787],5465,1,0,False
2269,social post,social query,60,False,False,False,{66: 1},[1787],2269,1,0,False
3965,general negate,general dont,21,False,False,False,{66: 1},[1787],3965,1,0,False
431,iot wemo on,qa stock,55,False,False,False,{66: 1},[1787],431,1,0,False
2221,transport taxi,general neg,25,False,False,False,{66: 1},[1787],2221,1,0,False
6128,alarm set,alarm set,2,False,True,False,{66: 1},[1787],6128,1,0,False
530,iot coffee,calendar remove,8,False,False,False,{66: 1},[1787],530,1,0,False
1199,qa definition,iot coffee,30,False,False,False,{66: 1},[1787],1199,1,0,False
3488,calendar set,calendar set,9,False,True,False,{66: 1},[1787],3488,1,0,False
4132,transport query,transport tax,64,False,False,False,{66: 1},[1787],4132,1,0,False
468,general confirm,general qu,27,False,False,False,{66: 1},[1787],468,1,0,False
3065,lists create or add,general qu,27,False,False,False,{66: 1},[1787],3065,1,0,False
3611,music query,play music,48,False,False,False,{66: 1},[1787],3611,1,0,False
5162,general negate,general repeat,28,False,False,False,{66: 1},[1787],5162,1,0,False
5190,takeaway order,email query contact,16,False,False,False,{66: 1},[1787],5190,1,0,False
3205,calendar query,play music,48,False,False,False,{66: 1},[1787],3205,1,0,False
6166,play audiobook,play music,48,False,False,False,{66: 1},[1787],6166,1,0,False
3191,news query,news,45,False,True,False,{66: 1},[1787],3191,1,0,False
3190,iot hue light change,general pra,26,False,False,False,{66: 1},[1787],3190,1,0,False
396,calendar query,calendar query,7,False,True,False,{66: 1},[1787],396,1,0,False
1421,general affirm,news,45,False,False,False,{66: 1},[1787],1421,1,0,False
4890,qa definition,general repeat,28,False,False,False,{66: 1},[1787],4890,1,0,False
6193,general praise,email s,17,False,False,False,{66: 1},[1787],6193,1,0,False
132,general command stop,general confirm,20,False,False,False,{66: 1},[1787],132,1,0,False
1219,calendar remove,calendar query,7,False,False,False,{66: 1},[1787],1219,1,0,False
817,general command stop,qa definition,52,False,False,False,{66: 1},[1787],817,1,0,False
3747,qa definition,general confirm,20,False,False,False,{66: 1},[1787],3747,1,0,False
4668,weather query,weather,67,False,True,False,{66: 1},[1787],4668,1,0,False
4616,weather query,weather,67,False,True,False,{66: 1},[1787],4616,1,0,False
6006,music likeness,general qu,27,False,False,False,{66: 1},[1787],6006,1,0,False
1934,general repeat,social post,59,False,False,False,{66: 1},[1787],1934,1,0,False
2118,calendar set,calendar set,9,False,True,False,{66: 1},[1787],2118,1,0,False
1352,takeaway query,weather,67,False,False,False,{66: 1},[1787],1352,1,0,False
3041,recommendation events,recommendation locations,57,False,False,False,{66: 1},[1787],3041,1,0,False
6286,weather query,general repeat,28,False,False,False,{66: 1},[1787],6286,1,0,False
1546,calendar query,general explain,22,False,False,False,{66: 1},[1787],1546,1,0,False
365,play music,general dont,21,False,False,False,{66: 1},[1787],365,1,0,False
6074,general command stop,qa stock,55,False,False,False,{66: 1},[1787],6074,1,0,False
5712,general affirm,recommendation mov,58,False,False,False,{66: 1},[1787],5712,1,0,False
4203,transport query,transport query,63,False,True,False,{66: 1},[1787],4203,1,0,False
1761,general dont care,recommendation locations,57,False,False,False,{66: 1},[1787],1761,1,0,False
6409,email sendemail,email s,17,False,True,False,{66: 1},[1787],6409,1,0,False
371,general command stop,iot coffee,30,False,False,False,{66: 1},[1787],371,1,0,False
2523,qa maths,calendar query,7,False,False,False,{66: 1},[1787],2523,1,0,False
5507,alarm query,play pod,49,False,False,False,{66: 1},[1787],5507,1,0,False
1818,qa currency,play pod,49,False,False,False,{66: 1},[1787],1818,1,0,False
1315,audio volume up,audio volume up,6,False,True,False,{66: 1},[1787],1315,1,0,False
4399,play podcasts,play pod,49,False,True,False,{66: 1},[1787],4399,1,0,False
2035,alarm set,alarm set,2,False,True,False,{66: 1},[1787],2035,1,0,False
3579,iot wemo off,qa fact,53,False,False,False,{66: 1},[1787],3579,1,0,False
3979,play radio,play music,48,False,False,False,{66: 1},[1787],3979,1,0,False
5530,iot hue light off,general pra,26,False,False,False,{66: 1},[1787],5530,1,0,False
2427,social post,qa definition,52,False,False,False,{66: 1},[1787],2427,1,0,False
5789,music query,iot coffee,30,False,False,False,{66: 1},[1787],5789,1,0,False
6346,general affirm,transport ticket,65,False,False,False,{66: 1},[1787],6346,1,0,False
1816,general joke,play pod,49,False,False,False,{66: 1},[1787],1816,1,0,False
4932,general confirm,email query,15,False,False,False,{66: 1},[1787],4932,1,0,False
1817,lists create or add,calendar query,7,False,False,False,{66: 1},[1787],1817,1,0,False
4445,calendar set,general qu,27,False,False,False,{66: 1},[1787],4445,1,0,False
813,general quirky,general repeat,28,False,False,False,{66: 1},[1787],813,1,0,False
5438,general command stop,general qu,27,False,False,False,{66: 1},[1787],5438,1,0,False
5866,calendar set,calendar set,9,False,True,False,{66: 1},[1787],5866,1,0,False
2676,calendar query,calendar set,9,False,False,False,{66: 1},[1787],2676,1,0,False
5384,qa currency,qa fact,53,False,False,False,{66: 1},[1787],5384,1,0,False
2895,general praise,email query,15,False,False,False,{66: 1},[1787],2895,1,0,False
3357,general confirm,iot wemo on,37,False,False,False,{66: 1},[1787],3357,1,0,False
1865,iot cleaning,iot clean,29,False,True,False,{66: 1},[1787],1865,1,0,False
4222,general affirm,news,45,False,False,False,{66: 1},[1787],4222,1,0,False
2939,calendar set,general aff,18,False,False,False,{66: 1},[1787],2939,1,0,False
6215,transport ticket,transport query,63,False,False,False,{66: 1},[1787],6215,1,0,False
6412,iot hue light off,qa fact,53,False,False,False,{66: 1},[1787],6412,1,0,False
3744,music query,music settings,44,False,False,False,{66: 1},[1787],3744,1,0,False
1507,calendar set,transport traffic,66,True,False,False,{66: 1},[1787],1507,1,0,False
4415,iot hue light dim,calendar remove,8,False,False,False,{66: 1},[1787],4415,1,0,False
3829,general praise,email query,15,False,False,False,{66: 1},[1787],3829,1,0,False
975,general confirm,calendar set,9,False,False,False,{66: 1},[1787],975,1,0,False
2934,general quirky,lists query,39,False,False,False,{66: 1},[1787],2934,1,0,False
2743,general negate,news,45,False,False,False,{66: 1},[1787],2743,1,0,False
3129,weather query,play music,48,False,False,False,{66: 1},[1787],3129,1,0,False
3021,calendar set,calendar query,7,False,False,False,{66: 1},[1787],3021,1,0,False
3187,general explain,calendar query,7,False,False,False,{66: 1},[1787],3187,1,0,False
3994,weather query,weather,67,False,True,False,{66: 1},[1787],3994,1,0,False
1543,calendar query,general neg,25,False,False,False,{66: 1},[1787],1543,1,0,False
2899,play music,cooking reci,11,False,False,False,{66: 1},[1787],2899,1,0,False
3407,general affirm,news,45,False,False,False,{66: 1},[1787],3407,1,0,False
6290,weather query,general pra,26,False,False,False,{66: 1},[1787],6290,1,0,False
5948,play radio,qa stock,55,False,False,False,{66: 1},[1787],5948,1,0,False
