,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1104,transfer timing,receiving,50,False,False,False,{63: 1},[4826],1104,1,8,False
472,card payment not recognised,get physical,38,False,False,False,{63: 1},[4826],472,1,8,False
1453,card about to expire,card about,9,False,True,False,{63: 1},[4826],1453,1,8,False
836,pending transfer,pending transfer,48,False,True,False,{63: 1},[4826],836,1,8,False
939,card payment wrong exchange rate,transaction,63,True,False,False,{63: 1},[4826],939,1,8,False
706,request refund,request,52,False,True,False,{63: 1},[4826],706,1,8,False
381,verify my identity,why,74,False,False,False,{63: 1},[4826],381,1,8,False
1078,cancel transfer,re,53,False,False,False,{63: 1},[4826],1078,1,8,False
451,get physical card,get physical,38,False,True,False,{63: 1},[4826],451,1,8,False
1467,request refund,card about,9,False,False,False,{63: 1},[4826],1467,1,8,False
649,verify my identity,direct,28,False,False,False,{63: 1},[4826],649,1,8,False
771,transaction charged twice,Ref,51,False,False,False,{63: 1},[4826],771,1,8,False
1279,request refund,get dispos,37,False,False,False,{63: 1},[4826],1279,1,8,False
657,transaction charged twice,direct,28,False,False,False,{63: 1},[4826],657,1,8,False
67,get physical card,fi,36,False,False,False,{63: 1},[4826],67,1,8,False
770,request refund,Ref,51,False,False,False,{63: 1},[4826],770,1,8,False
678,request refund,direct,28,False,False,False,{63: 1},[4826],678,1,8,False
954,transaction charged twice,transaction,63,True,True,False,{63: 1},[4826],954,1,8,False
916,atm support,card swallowed,18,False,False,False,{63: 1},[4826],916,1,8,False
1222,request refund,order,43,False,False,False,{63: 1},[4826],1222,1,8,False
601,atm support,atm,3,False,True,False,{63: 1},[4826],601,1,8,False
241,cancel transfer,cancel,8,False,True,False,{63: 1},[4826],241,1,8,False
1316,transfer timing,balance,5,False,False,False,{63: 1},[4826],1316,1,8,False
1229,card payment not recognised,order,43,False,False,False,{63: 1},[4826],1229,1,8,False
1004,transaction charged twice,transfer,67,False,False,False,{63: 1},[4826],1004,1,8,False
1130,transfer timing,failed,35,False,False,False,{63: 1},[4826],1130,1,8,False
106,card not working,card not,14,False,True,False,{63: 1},[4826],106,1,8,False
1041,transaction charged twice,re,53,False,False,False,{63: 1},[4826],1041,1,8,False
455,card payment not recognised,get physical,38,False,False,False,{63: 1},[4826],455,1,8,False
1380,top up by card charge,top,57,False,True,False,{63: 1},[4826],1380,1,8,False
327,card payment not recognised,card payment not,16,False,True,False,{63: 1},[4826],327,1,8,False
742,transaction charged twice,declined,27,False,False,False,{63: 1},[4826],742,1,8,False
1439,activate my card,activate,0,False,True,False,{63: 1},[4826],1439,1,8,False
938,transaction charged twice,transaction,63,True,True,False,{63: 1},[4826],938,1,8,False
404,failed transfer,unable,68,False,False,False,{63: 1},[4826],404,1,8,False
1212,card payment not recognised,order,43,False,False,False,{63: 1},[4826],1212,1,8,False
756,card not working,declined,27,False,False,False,{63: 1},[4826],756,1,8,False
1181,verify top up,verify top,71,False,True,False,{63: 1},[4826],1181,1,8,False
122,exchange charge,exchange via,33,False,False,False,{63: 1},[4826],122,1,8,False
1517,verify my identity,verify my,69,False,True,False,{63: 1},[4826],1517,1,8,False
227,transaction charged twice,pending top,47,False,False,False,{63: 1},[4826],227,1,8,False
1321,exchange charge,exchange charge,31,False,True,False,{63: 1},[4826],1321,1,8,False
396,verify my identity,why,74,False,False,False,{63: 1},[4826],396,1,8,False
997,transaction charged twice,verify source,70,False,False,False,{63: 1},[4826],997,1,8,False
924,transaction charged twice,transaction,63,True,True,False,{63: 1},[4826],924,1,8,False
245,cancel transfer,cancel,8,False,True,False,{63: 1},[4826],245,1,8,False
180,contactless not working,contact,23,False,True,False,{63: 1},[4826],180,1,8,False
1170,verify top up,verify top,71,False,True,False,{63: 1},[4826],1170,1,8,False
665,direct debit payment not recognised,direct,28,False,True,False,{63: 1},[4826],665,1,8,False
1026,transfer timing,transfer,67,False,True,False,{63: 1},[4826],1026,1,8,False
769,Refund not showing up,Ref,51,False,True,False,{63: 1},[4826],769,1,8,False
1063,transaction charged twice,re,53,False,False,False,{63: 1},[4826],1063,1,8,False
422,verify my identity,unable,68,False,False,False,{63: 1},[4826],422,1,8,False
131,exchange charge,exchange via,33,False,False,False,{63: 1},[4826],131,1,8,False
154,exchange charge,exchange via,33,False,False,False,{63: 1},[4826],154,1,8,False
459,card payment not recognised,get physical,38,False,False,False,{63: 1},[4826],459,1,8,False
374,verify my identity,why,74,False,False,False,{63: 1},[4826],374,1,8,False
15,wrong amount of cash received,card payment wrong,17,False,False,False,{63: 1},[4826],15,1,8,False
1254,request refund,get dispos,37,False,False,False,{63: 1},[4826],1254,1,8,False
196,contactless not working,contact,23,False,True,False,{63: 1},[4826],196,1,8,False
523,request refund,dispos,29,False,False,False,{63: 1},[4826],523,1,8,False
527,card payment not recognised,dispos,29,False,False,False,{63: 1},[4826],527,1,8,False
385,request refund,why,74,False,False,False,{63: 1},[4826],385,1,8,False
616,atm support,atm,3,False,True,False,{63: 1},[4826],616,1,8,False
869,request refund,term,55,False,False,False,{63: 1},[4826],869,1,8,False
1095,get physical card,receiving,50,False,False,False,{63: 1},[4826],1095,1,8,False
1406,activate my card,activate,0,False,True,False,{63: 1},[4826],1406,1,8,False
1368,card payment not recognised,top,57,False,False,False,{63: 1},[4826],1368,1,8,False
347,transaction charged twice,card payment not,16,False,False,False,{63: 1},[4826],347,1,8,False
430,verify my identity,unable,68,False,False,False,{63: 1},[4826],430,1,8,False
293,transaction charged twice,wrong,75,False,False,False,{63: 1},[4826],293,1,8,False
474,card not working,get physical,38,False,False,False,{63: 1},[4826],474,1,8,False
136,exchange charge,exchange via,33,False,False,False,{63: 1},[4826],136,1,8,False
781,transaction charged twice,Ref,51,False,False,False,{63: 1},[4826],781,1,8,False
1019,transfer timing,transfer,67,False,True,False,{63: 1},[4826],1019,1,8,False
1485,verify my identity,verify my,69,False,True,False,{63: 1},[4826],1485,1,8,False
