,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
9500,pin blocked,pin,49,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",9500,100,8,False,100
8444,extra charge on statement,extra,34,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",8444,100,8,False,100
5268,card payment fee charged,card payment fee,15,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",5268,100,8,False,100
9253,transaction charged twice,transaction,63,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",9253,100,8,False,100
1847,balance not updated after bank transfer,transfer not,66,True,False,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",1847,100,8,False,100
6623,declined cash withdrawal,declined c,26,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",6623,100,8,False,100
1163,change pin,change,21,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",1163,100,8,False,100
110,virtual card not working,virtual,72,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",110,100,8,False,100
7622,balance not updated after bank transfer,balance not updated after bank,5,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",7622,100,8,False,100
2852,transaction charged twice,transaction,63,True,True,False,"{49: 3, 34: 2, 15: 2, 63: 3, 66: 3, 26: 1, 21: 2, 72: 1, 5: 3, 71: 4, 12: 3, 62: 1, 70: 1, 19: 2, 57: 1, 8: 3, 38: 2, 41: 1, 47: 3, 13: 1, 39: 1, 54: 3, 75: 3, 33: 1, 43: 2, 17: 1, 9: 2, 31: 1, 48: 2, 59: 4, 53: 1, 25: 2, 40: 1, 68: 2, 45: 1, 28: 1, 76: 1, 1: 2, 42: 4, 61: 1, 11: 3, 3: 1, 74: 1, 44: 1, 29: 2, 27: 2, 0: 2, 2: 1, 23: 2, 52: 1, 60: 1, 37: 1, 32: 1, 46: 1, 58: 1, 67: 1}","[9500, 8444, 5268, 9253, 1847, 6623, 1163, 110, 7622, 2852, 4591, 4483, 6415, 4232, 2888, 1028, 6972, 1264, 8742, 3258, 6152, 2249, 1092, 8207, 2485, 4129, 8107, 3371, 4045, 7562, 1134, 4960, 1535, 7720, 3144, 3097, 3911, 3451, 4633, 5134, 6532, 5124, 9644, 8109, 8435, 1139, 7932, 9210, 2689, 6418, 9376, 242, 70, 5673, 9202, 2009, 365, 4614, 8282, 6231, 6086, 8381, 8356, 2389, 9163, 9882, 7967, 2545, 2202, 4993, 7101, 783, 8732, 1224, 6828, 3213, 3291, 2817, 3959, 2459, 2189, 4913, 6392, 975, 7989, 1813, 1907, 8507, 6813, 1812, 8681, 7333, 7596, 6787, 1306, 7717, 8011, 7374, 4487, 3701]",2852,100,8,False,100
