,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
4077,play music,music settings,44,False,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",4077,20,0,False,20
3189,news query,news,45,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3189,20,0,False,20
1602,calendar set,general qu,27,False,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",1602,20,0,False,20
3789,calendar query,calendar query,7,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3789,20,0,False,20
2924,general confirm,general neg,25,False,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",2924,20,0,False,20
5465,music query,music li,42,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",5465,20,0,False,20
2269,social query,social query,60,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",2269,20,0,False,20
3965,general command stop,general dont,21,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3965,20,0,False,20
431,qa stock,qa stock,55,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",431,20,0,False,20
2221,general command stop,general neg,25,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",2221,20,0,False,20
6128,alarm set,alarm set,2,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",6128,20,0,False,20
530,calendar set,calendar remove,8,True,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",530,20,0,False,20
1199,general command stop,iot coffee,30,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",1199,20,0,False,20
3488,calendar set,calendar set,9,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3488,20,0,False,20
4132,transport taxi,transport tax,64,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",4132,20,0,False,20
468,qa factoid,general qu,27,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",468,20,0,False,20
3065,calendar query,general qu,27,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3065,20,0,False,20
3611,play music,play music,48,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3611,20,0,False,20
5162,play podcasts,general repeat,28,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",5162,20,0,False,20
5190,qa factoid,email query contact,16,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",5190,20,0,False,20
3205,play music,play music,48,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3205,20,0,False,20
6166,play music,play music,48,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",6166,20,0,False,20
3191,news query,news,45,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3191,20,0,False,20
3190,general confirm,general pra,26,False,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",3190,20,0,False,20
396,calendar query,calendar query,7,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",396,20,0,False,20
1421,news query,news,45,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",1421,20,0,False,20
4890,general command stop,general repeat,28,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",4890,20,0,False,20
6193,email query,email s,17,False,False,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",6193,20,0,False,20
132,general confirm,general confirm,20,True,True,True,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",132,20,0,False,20
1219,calendar query,calendar query,7,False,True,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",1219,20,0,False,20
817,qa factoid,qa definition,52,False,False,False,"{66: 1, 8: 2, 9: 2, 48: 1, 15: 1, 2: 1, 53: 2, 55: 2, 67: 1, 11: 1, 19: 1, 13: 1, 51: 1, 6: 1, 49: 1, 20: 1}","[1787, 14150, 4330, 17581, 8756, 6454, 15052, 3, 12534, 14258, 9671, 7394, 9829, 6493, 5352, 4504, 3659, 7393, 7143, 7288]",817,20,0,False,20
