,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2782,how busy,how busy,102,True,True,True,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",2782,50,0,False,50
4050,card declined,exp,44,False,False,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",4050,50,0,False,50
3387,cancel,cancel,147,False,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",3387,50,0,False,50
4122,cancel reservation,cancel res,67,False,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",4122,50,0,False,50
4317,meal suggestion,me,46,True,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",4317,50,0,False,50
2449,routing,routing,45,True,True,True,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",2449,50,0,False,50
5020,oos,o,42,False,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",5020,50,0,False,50
396,replacement card duration,replacement,90,False,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",396,50,0,False,50
1307,what is your name,repeat,13,False,False,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",1307,50,0,False,50
3802,shopping list,shopping list,43,False,True,False,"{65: 1, 137: 1, 36: 1, 95: 3, 16: 1, 93: 1, 109: 1, 94: 1, 112: 1, 124: 1, 45: 1, 99: 1, 61: 1, 140: 1, 141: 1, 108: 1, 149: 1, 55: 1, 125: 1, 33: 1, 82: 1, 22: 1, 84: 1, 102: 2, 70: 2, 143: 2, 68: 1, 35: 1, 83: 1, 21: 2, 97: 1, 100: 1, 28: 1, 24: 1, 66: 1, 15: 1, 14: 1, 60: 1, 62: 1, 118: 1, 46: 1, 0: 1, 136: 1, 115: 1}","[2671, 4367, 7875, 6821, 7664, 6506, 11784, 5941, 4221, 12384, 6740, 1395, 3878, 2090, 7770, 9067, 14815, 10121, 7958, 7970, 14023, 3545, 3177, 12917, 12022, 5688, 8012, 2495, 96, 8949, 6250, 13989, 1761, 12045, 2257, 9545, 12211, 4428, 3248, 5005, 15025, 7535, 11299, 6689, 14494, 13808, 8657, 6742, 14271, 14645]",3802,50,0,False,50
