,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
13005,na,na,na,True,True,True,{'na': 1},[21514],13005,1,6,False
13881,na,organization top,organization top members or employees,False,False,True,{'na': 1},[21514],13881,1,6,False
8000,na,na,na,True,True,True,{'na': 1},[21514],8000,1,6,False
15210,na,person sib,person siblings,False,False,True,{'na': 1},[21514],15210,1,6,False
7432,na,na,na,True,True,True,{'na': 1},[21514],7432,1,6,False
2785,person title,na,na,True,False,False,{'na': 1},[21514],2785,1,6,False
11677,na,na,na,True,True,True,{'na': 1},[21514],11677,1,6,False
6929,na,na,na,True,True,True,{'na': 1},[21514],6929,1,6,False
7143,na,na,na,True,True,True,{'na': 1},[21514],7143,1,6,False
12405,na,na,na,True,True,True,{'na': 1},[21514],12405,1,6,False
1677,na,na,na,True,True,True,{'na': 1},[21514],1677,1,6,False
2872,na,na,na,True,True,True,{'na': 1},[21514],2872,1,6,False
13474,na,organization parents,organization parents,False,False,True,{'na': 1},[21514],13474,1,6,False
5391,na,na,na,True,True,True,{'na': 1},[21514],5391,1,6,False
14781,na,person title,person title,False,False,True,{'na': 1},[21514],14781,1,6,False
13767,na,organization top,organization top members or employees,False,False,True,{'na': 1},[21514],13767,1,6,False
4670,na,na,na,True,True,True,{'na': 1},[21514],4670,1,6,False
343,na,person age,person age,False,False,True,{'na': 1},[21514],343,1,6,False
6853,na,na,na,True,True,True,{'na': 1},[21514],6853,1,6,False
7373,na,na,na,True,True,True,{'na': 1},[21514],7373,1,6,False
6965,na,na,na,True,True,True,{'na': 1},[21514],6965,1,6,False
8391,na,na,na,True,True,True,{'na': 1},[21514],8391,1,6,False
2539,na,na,na,True,True,True,{'na': 1},[21514],2539,1,6,False
14078,na,organization alternate,organization alternate names,False,False,True,{'na': 1},[21514],14078,1,6,False
14670,na,person title,person title,False,False,True,{'na': 1},[21514],14670,1,6,False
3983,na,na,na,True,True,True,{'na': 1},[21514],3983,1,6,False
9758,na,na,na,True,True,True,{'na': 1},[21514],9758,1,6,False
2760,na,na,na,True,True,True,{'na': 1},[21514],2760,1,6,False
2670,na,na,na,True,True,True,{'na': 1},[21514],2670,1,6,False
3175,na,na,na,True,True,True,{'na': 1},[21514],3175,1,6,False
14456,na,person origin,person origin,False,False,True,{'na': 1},[21514],14456,1,6,False
858,na,person cities,person cities of residence,False,False,True,{'na': 1},[21514],858,1,6,False
6211,na,na,na,True,True,True,{'na': 1},[21514],6211,1,6,False
15099,na,organization country,organization country of headquarters,False,False,True,{'na': 1},[21514],15099,1,6,False
2891,na,na,na,True,True,True,{'na': 1},[21514],2891,1,6,False
1785,na,na,na,True,True,True,{'na': 1},[21514],1785,1,6,False
14958,na,person title,person title,False,False,True,{'na': 1},[21514],14958,1,6,False
12198,na,na,na,True,True,True,{'na': 1},[21514],12198,1,6,False
15254,na,organization state,organization state or province of headquarters,False,False,True,{'na': 1},[21514],15254,1,6,False
3319,na,na,na,True,True,True,{'na': 1},[21514],3319,1,6,False
2900,na,na,na,True,True,True,{'na': 1},[21514],2900,1,6,False
9109,na,na,na,True,True,True,{'na': 1},[21514],9109,1,6,False
10607,na,na,na,True,True,True,{'na': 1},[21514],10607,1,6,False
9328,na,na,na,True,True,True,{'na': 1},[21514],9328,1,6,False
14837,na,person title,person title,False,False,True,{'na': 1},[21514],14837,1,6,False
15483,na,organization founded by,organization founded by,False,False,True,{'na': 1},[21514],15483,1,6,False
3049,na,na,na,True,True,True,{'na': 1},[21514],3049,1,6,False
3434,na,na,na,True,True,True,{'na': 1},[21514],3434,1,6,False
3440,na,na,na,True,True,True,{'na': 1},[21514],3440,1,6,False
6635,na,na,na,True,True,True,{'na': 1},[21514],6635,1,6,False
1718,na,na,na,True,True,True,{'na': 1},[21514],1718,1,6,False
14875,na,person title,person title,False,False,True,{'na': 1},[21514],14875,1,6,False
10226,na,na,na,True,True,True,{'na': 1},[21514],10226,1,6,False
7343,na,na,na,True,True,True,{'na': 1},[21514],7343,1,6,False
1109,na,person employee,person employee of,False,False,True,{'na': 1},[21514],1109,1,6,False
2457,na,na,na,True,True,True,{'na': 1},[21514],2457,1,6,False
11703,na,na,na,True,True,True,{'na': 1},[21514],11703,1,6,False
7135,na,na,na,True,True,True,{'na': 1},[21514],7135,1,6,False
423,na,person charges,person charges,False,False,True,{'na': 1},[21514],423,1,6,False
8108,na,na,na,True,True,True,{'na': 1},[21514],8108,1,6,False
12923,na,na,na,True,True,True,{'na': 1},[21514],12923,1,6,False
10264,na,na,na,True,True,True,{'na': 1},[21514],10264,1,6,False
8698,na,na,na,True,True,True,{'na': 1},[21514],8698,1,6,False
12760,na,na,na,True,True,True,{'na': 1},[21514],12760,1,6,False
4478,na,na,na,True,True,True,{'na': 1},[21514],4478,1,6,False
10200,na,na,na,True,True,True,{'na': 1},[21514],10200,1,6,False
234,na,person age,person age,False,False,True,{'na': 1},[21514],234,1,6,False
15499,na,organization founded by,organization founded by,False,False,True,{'na': 1},[21514],15499,1,6,False
2710,na,na,na,True,True,True,{'na': 1},[21514],2710,1,6,False
2320,na,na,na,True,True,True,{'na': 1},[21514],2320,1,6,False
1124,na,person employee,person employee of,False,False,True,{'na': 1},[21514],1124,1,6,False
9247,na,na,na,True,True,True,{'na': 1},[21514],9247,1,6,False
5666,na,na,na,True,True,True,{'na': 1},[21514],5666,1,6,False
1571,na,na,na,True,True,True,{'na': 1},[21514],1571,1,6,False
6405,na,na,na,True,True,True,{'na': 1},[21514],6405,1,6,False
12166,na,na,na,True,True,True,{'na': 1},[21514],12166,1,6,False
1552,na,na,na,True,True,True,{'na': 1},[21514],1552,1,6,False
10940,na,na,na,True,True,True,{'na': 1},[21514],10940,1,6,False
8549,na,na,na,True,True,True,{'na': 1},[21514],8549,1,6,False
9529,na,na,na,True,True,True,{'na': 1},[21514],9529,1,6,False
5018,na,na,na,True,True,True,{'na': 1},[21514],5018,1,6,False
1650,na,na,na,True,True,True,{'na': 1},[21514],1650,1,6,False
10531,na,na,na,True,True,True,{'na': 1},[21514],10531,1,6,False
6580,na,na,na,True,True,True,{'na': 1},[21514],6580,1,6,False
