,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,unable to verify identity,supported,54,False,False,False,{76: 1},[8548],903,1,5,False
1003,top up failed,top up revert,61,False,False,False,{76: 1},[8548],1003,1,5,False
2953,card about to expire,card about,9,False,True,False,{76: 1},[8548],2953,1,5,False
2979,unable to verify identity,apple,2,False,False,False,{76: 1},[8548],2979,1,5,False
1926,get physical card,card sw,18,False,False,False,{76: 1},[8548],1926,1,5,False
2137,change pin,change,21,False,True,False,{76: 1},[8548],2137,1,5,False
2980,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2980,1,5,False
702,cancel transfer,cancel,8,False,True,False,{76: 1},[8548],702,1,5,False
2493,get physical card,order,43,False,False,False,{76: 1},[8548],2493,1,5,False
2210,wrong exchange rate for cash withdrawal,transfer fee,64,False,False,False,{76: 1},[8548],2210,1,5,False
112,get physical card,exchange rate,32,False,False,False,{76: 1},[8548],112,1,5,False
2909,wrong exchange rate for cash withdrawal,cash withdrawal charge,19,False,False,False,{76: 1},[8548],2909,1,5,False
1987,wrong amount of cash received,transaction,63,False,False,False,{76: 1},[8548],1987,1,5,False
1283,verify my identity,vis,73,False,False,False,{76: 1},[8548],1283,1,5,False
1539,unable to verify identity,pass,44,False,False,False,{76: 1},[8548],1539,1,5,False
2879,activate my card,activ,0,False,True,False,{76: 1},[8548],2879,1,5,False
1158,change pin,edit,30,False,False,False,{76: 1},[8548],1158,1,5,False
1376,transaction charged twice,dispos,29,False,False,False,{76: 1},[8548],1376,1,5,False
1517,wrong amount of cash received,direct,28,False,False,False,{76: 1},[8548],1517,1,5,False
1171,verify my identity,why,74,False,False,False,{76: 1},[8548],1171,1,5,False
2242,transfer into account,receiving,50,False,False,False,{76: 1},[8548],2242,1,5,False
1476,get physical card,at,3,False,False,False,{76: 1},[8548],1476,1,5,False
237,atm support,pending c,46,False,False,False,{76: 1},[8548],237,1,5,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{76: 1},[8548],1650,1,5,False
2484,get physical card,order,43,False,False,False,{76: 1},[8548],2484,1,5,False
2105,card not working,revert,53,False,False,False,{76: 1},[8548],2105,1,5,False
2121,change pin,change,21,False,True,False,{76: 1},[8548],2121,1,5,False
1452,get physical card,at,3,False,False,False,{76: 1},[8548],1452,1,5,False
274,get physical card,fi,36,False,False,False,{76: 1},[8548],274,1,5,False
564,contactless not working,contact,23,False,True,False,{76: 1},[8548],564,1,5,False
905,get physical card,supported,54,False,False,False,{76: 1},[8548],905,1,5,False
1535,passcode forgotten,pass,44,False,True,False,{76: 1},[8548],1535,1,5,False
2113,wrong amount of cash received,revert,53,False,False,False,{76: 1},[8548],2113,1,5,False
2142,change pin,change,21,False,True,False,{76: 1},[8548],2142,1,5,False
2965,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2965,1,5,False
1834,failed transfer,declined card,25,False,False,False,{76: 1},[8548],1834,1,5,False
1549,passcode forgotten,pass,44,False,True,False,{76: 1},[8548],1549,1,5,False
1320,top up by card charge,to,62,False,False,False,{76: 1},[8548],1320,1,5,False
2421,order physical card,getting spare,39,False,False,False,{76: 1},[8548],2421,1,5,False
2784,exchange rate,exchange charge,31,False,False,False,{76: 1},[8548],2784,1,5,False
768,wrong amount of cash received,wrong amount,75,False,True,False,{76: 1},[8548],768,1,5,False
2472,top up by bank transfer charge,top up by c,58,False,False,False,{76: 1},[8548],2472,1,5,False
2154,request refund,change,21,False,False,False,{76: 1},[8548],2154,1,5,False
795,wrong amount of cash received,wrong amount,75,False,True,False,{76: 1},[8548],795,1,5,False
1278,get physical card,get physical,38,False,True,False,{76: 1},[8548],1278,1,5,False
1494,wrong exchange rate for cash withdrawal,direct,28,False,False,False,{76: 1},[8548],1494,1,5,False
241,get physical card,fi,36,False,False,False,{76: 1},[8548],241,1,5,False
3060,verify my identity,country,24,False,False,False,{76: 1},[8548],3060,1,5,False
494,age limit,age,1,False,True,False,{76: 1},[8548],494,1,5,False
327,unable to verify identity,automatic,4,False,False,False,{76: 1},[8548],327,1,5,False
458,lost or stolen card,lost or stolen card,41,False,True,False,{76: 1},[8548],458,1,5,False
428,exchange rate,exchange via,33,False,False,False,{76: 1},[8548],428,1,5,False
2862,activate my card,activ,0,False,True,False,{76: 1},[8548],2862,1,5,False
2164,transfer not received by recipient,benef,7,False,False,False,{76: 1},[8548],2164,1,5,False
2897,cash withdrawal charge,cash withdrawal charge,19,False,True,False,{76: 1},[8548],2897,1,5,False
2440,top up by cash or cheque,top up by c,58,False,True,False,{76: 1},[8548],2440,1,5,False
1663,lost or stolen card,lost or stolen phone,42,False,False,False,{76: 1},[8548],1663,1,5,False
2700,transfer not received by recipient,balance not updated after bank,5,False,False,False,{76: 1},[8548],2700,1,5,False
2955,get physical card,card about,9,False,False,False,{76: 1},[8548],2955,1,5,False
522,lost or stolen card,pin,49,False,False,False,{76: 1},[8548],522,1,5,False
1788,wrong amount of cash received,Ref,51,False,False,False,{76: 1},[8548],1788,1,5,False
1055,wrong amount of cash received,balance not updated after che,6,False,False,False,{76: 1},[8548],1055,1,5,False
2992,top up by card charge,apple,2,False,False,False,{76: 1},[8548],2992,1,5,False
1093,wrong amount of cash received,card payment not,16,False,False,False,{76: 1},[8548],1093,1,5,False
791,wrong amount of cash received,wrong amount,75,False,True,False,{76: 1},[8548],791,1,5,False
894,transfer into account,supported,54,False,False,False,{76: 1},[8548],894,1,5,False
897,get physical card,supported,54,False,False,False,{76: 1},[8548],897,1,5,False
1175,card not working,why,74,False,False,False,{76: 1},[8548],1175,1,5,False
68,card linking,card linking,13,False,True,False,{76: 1},[8548],68,1,5,False
1551,lost or stolen card,pass,44,False,False,False,{76: 1},[8548],1551,1,5,False
1508,wrong exchange rate for cash withdrawal,direct,28,False,False,False,{76: 1},[8548],1508,1,5,False
2250,wrong exchange rate for cash withdrawal,receiving,50,False,False,False,{76: 1},[8548],2250,1,5,False
519,age limit,age,1,False,True,False,{76: 1},[8548],519,1,5,False
1731,transfer not received by recipient,declined transfer,27,False,False,False,{76: 1},[8548],1731,1,5,False
1210,failed transfer,unable,68,False,False,False,{76: 1},[8548],1210,1,5,False
1750,transfer not received by recipient,declined transfer,27,False,False,False,{76: 1},[8548],1750,1,5,False
1687,cancel transfer,request,52,False,False,False,{76: 1},[8548],1687,1,5,False
891,card acceptance,supported,54,False,False,False,{76: 1},[8548],891,1,5,False
1061,unable to verify identity,balance not updated after che,6,False,False,False,{76: 1},[8548],1061,1,5,False
2403,get physical card,getting spare,39,False,False,False,{76: 1},[8548],2403,1,5,False
1898,cancel transfer,terminate,55,False,False,False,{76: 1},[8548],1898,1,5,False
2978,unable to verify identity,apple,2,False,False,False,{76: 1},[8548],2978,1,5,False
1427,card not working,comprom,22,False,False,False,{76: 1},[8548],1427,1,5,False
1526,unable to verify identity,pass,44,False,False,False,{76: 1},[8548],1526,1,5,False
824,extra charge on statement,card payment fee,15,False,False,False,{76: 1},[8548],824,1,5,False
1983,verify my identity,transaction,63,False,False,False,{76: 1},[8548],1983,1,5,False
2132,change pin,change,21,False,True,False,{76: 1},[8548],2132,1,5,False
418,change pin,exchange via,33,False,False,False,{76: 1},[8548],418,1,5,False
1345,transfer fee charged,to,62,False,False,False,{76: 1},[8548],1345,1,5,False
2829,top up by bank transfer charge,top up by card,57,False,False,False,{76: 1},[8548],2829,1,5,False
