,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
905,supported cards and currencies,supported,54,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",905,10,0,False
1982,transaction charged twice,transaction,63,True,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",1982,10,0,False
2766,exchange charge,exchange charge,31,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",2766,10,0,False
2416,getting spare card,getting spare,39,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",2416,10,0,False
2895,cash withdrawal charge,cash withdrawal charge,19,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",2895,10,0,False
2137,change pin,change,21,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",2137,10,0,False
732,top up limits,top up limits,60,False,True,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",732,10,0,False
1927,card swallowed,card swallowed,18,True,True,True,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",1927,10,0,False
945,get physical card,getting virtual,40,False,False,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",945,10,0,False
1942,card not working,card swallowed,18,True,False,False,"{34: 2, 26: 1, 30: 1, 64: 1, 0: 1, 12: 1, 63: 2, 18: 1}","[5162, 6758, 8595, 5116, 6082, 6242, 42, 6106, 8152, 8989]",1942,10,0,False
