,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
152,location other,numeric other,43,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",152,5,8,False,5
94,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",94,5,8,False,5
337,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",337,5,8,False,5
78,location other,numeric distance,40,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",78,5,8,False,5
323,description definition,entity currency,6,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",323,5,8,False,5
143,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",143,5,8,False,5
59,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",59,5,8,False,5
17,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",17,5,8,False,5
161,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",161,5,8,False,5
220,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",220,5,8,False,5
290,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",290,5,8,False,5
224,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",224,5,8,False,5
15,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",15,5,8,False,5
162,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",162,5,8,False,5
272,location other,location city,32,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",272,5,8,False,5
193,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",193,5,8,False,5
325,location other,location city,32,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",325,5,8,False,5
30,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",30,5,8,False,5
331,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",331,5,8,False,5
219,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",219,5,8,False,5
286,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",286,5,8,False,5
246,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",246,5,8,False,5
68,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",68,5,8,False,5
205,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",205,5,8,False,5
232,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",232,5,8,False,5
64,location other,location country,33,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",64,5,8,False,5
121,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",121,5,8,False,5
201,abbreviation abbreviation,abbreviation expansion,1,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",201,5,8,False,5
315,human individual,description,24,True,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",315,5,8,False,5
145,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",145,5,8,False,5
72,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",72,5,8,False,5
184,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",184,5,8,False,5
141,description definition,numeric other,43,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",141,5,8,False,5
95,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",95,5,8,False,5
213,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",213,5,8,False,5
38,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",38,5,8,False,5
256,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",256,5,8,False,5
29,description definition,entity plant,14,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",29,5,8,False,5
45,description definition,entity food,9,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",45,5,8,False,5
151,description definition,entity subst,18,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",151,5,8,False,5
262,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",262,5,8,False,5
115,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",115,5,8,False,5
269,description definition,entity subst,18,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",269,5,8,False,5
69,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",69,5,8,False,5
106,human individual,human individual,29,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",106,5,8,False,5
123,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",123,5,8,False,5
233,description definition,entity plant,14,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",233,5,8,False,5
41,location other,location city,32,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",41,5,8,False,5
236,description definition,numeric distance,40,False,False,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",236,5,8,False,5
55,location other,numeric distance,40,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",55,5,8,False,5
289,location other,location other,35,True,True,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",289,5,8,False,5
149,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",149,5,8,False,5
239,human individual,numeric other,43,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",239,5,8,False,5
103,human individual,entity vehicle,22,False,False,True,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",103,5,8,False,5
35,description definition,description,24,True,True,False,"{29: 2, 35: 2, 24: 1}","[1464, 3111, 2772, 2343, 2955]",35,5,8,False,5
