,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1104,transfer not received by recipient,benef,7,False,False,False,{49: 1},[2207],1104,1,7,False
471,top up limits,top up limits,60,False,True,False,{49: 1},[2207],471,1,7,False
1345,exchange rate,exchange charge,31,False,False,False,{49: 1},[2207],1345,1,7,False
835,lost or stolen phone,lost or stolen phone,42,False,True,False,{49: 1},[2207],835,1,7,False
940,get physical card,transaction,63,False,False,False,{49: 1},[2207],940,1,7,False
707,pin blocked,unable,68,False,False,False,{49: 1},[2207],707,1,7,False
378,contactless not working,contact,23,False,True,False,{49: 1},[2207],378,1,7,False
1259,top up failed,top up failed,59,False,True,False,{49: 1},[2207],1259,1,7,False
450,top up limits,top up limits,60,False,True,False,{49: 1},[2207],450,1,7,False
1467,card not working,card about,9,False,False,False,{49: 1},[2207],1467,1,7,False
652,card not working,card payment not,16,False,False,False,{49: 1},[2207],652,1,7,False
771,card not working,comprom,22,False,False,False,{49: 1},[2207],771,1,7,False
1112,transfer not received by recipient,benef,7,False,False,False,{49: 1},[2207],1112,1,7,False
659,card not working,card payment not,16,False,False,False,{49: 1},[2207],659,1,7,False
67,exchange rate,exchange rate,32,False,True,False,{49: 1},[2207],67,1,7,False
770,card not working,comprom,22,False,False,False,{49: 1},[2207],770,1,7,False
679,card not working,card payment not,16,False,False,False,{49: 1},[2207],679,1,7,False
955,transaction charged twice,transaction,63,False,True,False,{49: 1},[2207],955,1,7,False
918,terminate account,terminate,55,False,True,False,{49: 1},[2207],918,1,7,False
1222,card not working,get dispos,37,False,False,False,{49: 1},[2207],1222,1,7,False
604,card acceptance,card accept,10,False,True,False,{49: 1},[2207],604,1,7,False
240,exchange rate,exchange via,33,False,False,False,{49: 1},[2207],240,1,7,False
1069,card payment not recognised,revert,53,False,False,False,{49: 1},[2207],1069,1,7,False
1229,card not working,get dispos,37,False,False,False,{49: 1},[2207],1229,1,7,False
1005,transfer timing,transfer timing,67,False,True,False,{49: 1},[2207],1005,1,7,False
1308,lost or stolen card,c,20,False,False,False,{49: 1},[2207],1308,1,7,False
106,exchange rate,card payment wrong,17,False,False,False,{49: 1},[2207],106,1,7,False
1429,activate my card,activ,0,False,True,False,{49: 1},[2207],1429,1,7,False
454,top up limits,top up limits,60,False,True,False,{49: 1},[2207],454,1,7,False
1380,card payment not recognised,top up by,57,False,False,False,{49: 1},[2207],1380,1,7,False
325,pin blocked,pin,49,True,True,False,{49: 1},[2207],325,1,7,False
742,pin blocked,get physical,38,False,False,False,{49: 1},[2207],742,1,7,False
1439,activate my card,activ,0,False,True,False,{49: 1},[2207],1439,1,7,False
939,card payment not recognised,transaction,63,False,False,False,{49: 1},[2207],939,1,7,False
401,card not working,pending,47,False,False,False,{49: 1},[2207],401,1,7,False
1191,transfer not received by recipient,failed,35,False,False,False,{49: 1},[2207],1191,1,7,False
756,pin blocked,get physical,38,False,False,False,{49: 1},[2207],756,1,7,False
1180,card payment fee charged,failed,35,False,False,False,{49: 1},[2207],1180,1,7,False
122,card payment fee charged,extra,34,False,False,False,{49: 1},[2207],122,1,7,False
1517,pin blocked,verify my,69,False,False,False,{49: 1},[2207],1517,1,7,False
227,card not working,card not,14,False,True,False,{49: 1},[2207],227,1,7,False
1321,exchange rate,exchange charge,31,False,False,False,{49: 1},[2207],1321,1,7,False
393,contactless not working,contact,23,False,True,False,{49: 1},[2207],393,1,7,False
998,pin blocked,verify source,70,False,False,False,{49: 1},[2207],998,1,7,False
925,card payment not recognised,transaction,63,False,False,False,{49: 1},[2207],925,1,7,False
244,exchange rate,exchange via,33,False,False,False,{49: 1},[2207],244,1,7,False
181,top up by card charge,automatic,4,False,False,False,{49: 1},[2207],181,1,7,False
1170,transfer not received by recipient,failed,35,False,False,False,{49: 1},[2207],1170,1,7,False
666,card payment not recognised,card payment not,16,False,True,False,{49: 1},[2207],666,1,7,False
1027,transfer timing,transfer timing,67,False,True,False,{49: 1},[2207],1027,1,7,False
769,card not working,comprom,22,False,False,False,{49: 1},[2207],769,1,7,False
1224,card not working,get dispos,37,False,False,False,{49: 1},[2207],1224,1,7,False
420,top up failed,pending,47,False,False,False,{49: 1},[2207],420,1,7,False
131,card payment fee charged,extra,34,False,False,False,{49: 1},[2207],131,1,7,False
155,extra charge on statement,extra,34,False,True,False,{49: 1},[2207],155,1,7,False
458,top up limits,top up limits,60,False,True,False,{49: 1},[2207],458,1,7,False
371,card not working,contact,23,False,False,False,{49: 1},[2207],371,1,7,False
15,card not working,card linking,13,False,False,False,{49: 1},[2207],15,1,7,False
1254,top up failed,top up failed,59,False,True,False,{49: 1},[2207],1254,1,7,False
197,top up by card charge,automatic,4,False,False,False,{49: 1},[2207],197,1,7,False
523,transaction charged twice,transfer not,66,False,False,False,{49: 1},[2207],523,1,7,False
527,transfer not received by recipient,transfer not,66,False,True,False,{49: 1},[2207],527,1,7,False
382,contactless not working,contact,23,False,True,False,{49: 1},[2207],382,1,7,False
619,card not working,card accept,10,False,False,False,{49: 1},[2207],619,1,7,False
869,transaction charged twice,Ref,51,False,False,False,{49: 1},[2207],869,1,7,False
1095,transfer not received by recipient,benef,7,False,False,False,{49: 1},[2207],1095,1,7,False
1501,verify my identity,verify my,69,False,True,False,{49: 1},[2207],1501,1,7,False
1368,card payment fee charged,top up by,57,False,False,False,{49: 1},[2207],1368,1,7,False
344,pin blocked,pin,49,True,True,False,{49: 1},[2207],344,1,7,False
428,top up failed,pending,47,False,False,False,{49: 1},[2207],428,1,7,False
291,card not working,lost or stolen card,41,False,False,False,{49: 1},[2207],291,1,7,False
473,top up limits,top up limits,60,False,True,False,{49: 1},[2207],473,1,7,False
136,extra charge on statement,extra,34,False,True,False,{49: 1},[2207],136,1,7,False
781,card not working,comprom,22,False,False,False,{49: 1},[2207],781,1,7,False
1020,transfer timing,transfer timing,67,False,True,False,{49: 1},[2207],1020,1,7,False
1414,card not working,activ,0,False,False,False,{49: 1},[2207],1414,1,7,False
738,pin blocked,get physical,38,False,False,False,{49: 1},[2207],738,1,7,False
904,terminate account,terminate,55,False,True,False,{49: 1},[2207],904,1,7,False
723,pin blocked,get physical,38,False,False,False,{49: 1},[2207],723,1,7,False
87,card not working,card payment wrong,17,False,False,False,{49: 1},[2207],87,1,7,False
1457,card not working,card about,9,False,False,False,{49: 1},[2207],1457,1,7,False
744,pin blocked,get physical,38,False,False,False,{49: 1},[2207],744,1,7,False
727,pin blocked,get physical,38,False,False,False,{49: 1},[2207],727,1,7,False
858,get physical card,Ref,51,False,False,False,{49: 1},[2207],858,1,7,False
355,card not working,pin,49,True,False,False,{49: 1},[2207],355,1,7,False
1294,card not working,c,20,False,False,False,{49: 1},[2207],1294,1,7,False
517,card payment fee charged,card payment fee,15,False,True,False,{49: 1},[2207],517,1,7,False
299,lost or stolen card,lost or stolen card,41,False,True,False,{49: 1},[2207],299,1,7,False
804,lost or stolen phone,lost or stolen phone,42,False,True,False,{49: 1},[2207],804,1,7,False
1367,top up by card charge,top up by,57,False,True,False,{49: 1},[2207],1367,1,7,False
555,transfer not received by recipient,transfer not,66,False,True,False,{49: 1},[2207],555,1,7,False
239,card not working,card not,14,False,True,False,{49: 1},[2207],239,1,7,False
1418,activate my card,activ,0,False,True,False,{49: 1},[2207],1418,1,7,False
203,card not working,card not,14,False,True,False,{49: 1},[2207],203,1,7,False
1266,top up failed,top up failed,59,False,True,False,{49: 1},[2207],1266,1,7,False
1509,verify my identity,verify my,69,False,True,False,{49: 1},[2207],1509,1,7,False
284,lost or stolen card,lost or stolen card,41,False,True,False,{49: 1},[2207],284,1,7,False
1335,exchange rate,exchange charge,31,False,False,False,{49: 1},[2207],1335,1,7,False
513,card payment fee charged,card payment fee,15,False,True,False,{49: 1},[2207],513,1,7,False
457,top up limits,top up limits,60,False,True,False,{49: 1},[2207],457,1,7,False
805,lost or stolen phone,lost or stolen phone,42,False,True,False,{49: 1},[2207],805,1,7,False
290,card not working,lost or stolen card,41,False,False,False,{49: 1},[2207],290,1,7,False
583,card not working,getting,40,False,False,False,{49: 1},[2207],583,1,7,False
128,card payment fee charged,extra,34,False,False,False,{49: 1},[2207],128,1,7,False
306,card not working,lost or stolen card,41,False,False,False,{49: 1},[2207],306,1,7,False
456,top up limits,top up limits,60,False,True,False,{49: 1},[2207],456,1,7,False
179,card not working,automatic,4,False,False,False,{49: 1},[2207],179,1,7,False
627,card payment not recognised,card accept,10,False,False,False,{49: 1},[2207],627,1,7,False
26,card not working,card linking,13,False,False,False,{49: 1},[2207],26,1,7,False
1276,top up failed,top up failed,59,False,True,False,{49: 1},[2207],1276,1,7,False
836,lost or stolen phone,lost or stolen phone,42,False,True,False,{49: 1},[2207],836,1,7,False
1174,transfer not received by recipient,failed,35,False,False,False,{49: 1},[2207],1174,1,7,False
556,transaction charged twice,transfer not,66,False,False,False,{49: 1},[2207],556,1,7,False
445,top up limits,top up limits,60,False,True,False,{49: 1},[2207],445,1,7,False
1117,cash withdrawal not recognised,benef,7,False,False,False,{49: 1},[2207],1117,1,7,False
215,card not working,card not,14,False,True,False,{49: 1},[2207],215,1,7,False
965,get physical card,verify source,70,False,False,False,{49: 1},[2207],965,1,7,False
419,pending top up,pending,47,False,True,False,{49: 1},[2207],419,1,7,False
613,card acceptance,card accept,10,False,True,False,{49: 1},[2207],613,1,7,False
192,top up by card charge,automatic,4,False,False,False,{49: 1},[2207],192,1,7,False
667,transaction charged twice,card payment not,16,False,False,False,{49: 1},[2207],667,1,7,False
850,get physical card,Ref,51,False,False,False,{49: 1},[2207],850,1,7,False
1083,transfer not received by recipient,benef,7,False,False,False,{49: 1},[2207],1083,1,7,False
1106,transfer not received by recipient,benef,7,False,False,False,{49: 1},[2207],1106,1,7,False
916,terminate account,terminate,55,False,True,False,{49: 1},[2207],916,1,7,False
503,card payment fee charged,card payment fee,15,False,True,False,{49: 1},[2207],503,1,7,False
145,extra charge on statement,extra,34,False,True,False,{49: 1},[2207],145,1,7,False
1307,card not working,c,20,False,False,False,{49: 1},[2207],1307,1,7,False
334,pin blocked,pin,49,True,True,False,{49: 1},[2207],334,1,7,False
961,get physical card,verify source,70,False,False,False,{49: 1},[2207],961,1,7,False
1014,transfer timing,transfer timing,67,False,True,False,{49: 1},[2207],1014,1,7,False
1486,verify my identity,verify my,69,False,True,False,{49: 1},[2207],1486,1,7,False
391,contactless not working,contact,23,False,True,False,{49: 1},[2207],391,1,7,False
1244,top up failed,top up failed,59,False,True,False,{49: 1},[2207],1244,1,7,False
69,exchange rate,exchange rate,32,False,True,False,{49: 1},[2207],69,1,7,False
392,contactless not working,contact,23,False,True,False,{49: 1},[2207],392,1,7,False
789,card not working,comprom,22,False,False,False,{49: 1},[2207],789,1,7,False
1448,card not working,card about,9,False,False,False,{49: 1},[2207],1448,1,7,False
489,card payment fee charged,card payment fee,15,False,True,False,{49: 1},[2207],489,1,7,False
676,transaction charged twice,card payment not,16,False,False,False,{49: 1},[2207],676,1,7,False
647,card payment not recognised,card payment not,16,False,True,False,{49: 1},[2207],647,1,7,False
815,lost or stolen phone,lost or stolen phone,42,False,True,False,{49: 1},[2207],815,1,7,False
981,transfer not received by recipient,verify source,70,False,False,False,{49: 1},[2207],981,1,7,False
972,get physical card,verify source,70,False,False,False,{49: 1},[2207],972,1,7,False
531,transfer not received by recipient,transfer not,66,False,True,False,{49: 1},[2207],531,1,7,False
790,card not working,comprom,22,False,False,False,{49: 1},[2207],790,1,7,False
259,exchange rate,exchange via,33,False,False,False,{49: 1},[2207],259,1,7,False
429,pending top up,pending,47,False,True,False,{49: 1},[2207],429,1,7,False
480,card payment fee charged,card payment fee,15,False,True,False,{49: 1},[2207],480,1,7,False
566,card payment not recognised,getting,40,False,False,False,{49: 1},[2207],566,1,7,False
72,exchange rate,exchange rate,32,False,True,False,{49: 1},[2207],72,1,7,False
112,exchange rate,card payment wrong,17,False,False,False,{49: 1},[2207],112,1,7,False
384,card not working,contact,23,False,False,False,{49: 1},[2207],384,1,7,False
1053,card payment not recognised,revert,53,False,False,False,{49: 1},[2207],1053,1,7,False
1401,activate my card,activ,0,False,True,False,{49: 1},[2207],1401,1,7,False
968,get disposable virtual card,verify source,70,False,False,False,{49: 1},[2207],968,1,7,False
312,card not working,lost or stolen card,41,False,False,False,{49: 1},[2207],312,1,7,False
892,terminate account,terminate,55,False,True,False,{49: 1},[2207],892,1,7,False
453,card payment not recognised,top up limits,60,False,False,False,{49: 1},[2207],453,1,7,False
478,top up limits,top up limits,60,False,True,False,{49: 1},[2207],478,1,7,False
649,card not working,card payment not,16,False,False,False,{49: 1},[2207],649,1,7,False
23,card linking,card linking,13,False,True,False,{49: 1},[2207],23,1,7,False
1213,card not working,get dispos,37,False,False,False,{49: 1},[2207],1213,1,7,False
1215,get disposable virtual card,get dispos,37,False,True,False,{49: 1},[2207],1215,1,7,False
1349,exchange rate,exchange charge,31,False,False,False,{49: 1},[2207],1349,1,7,False
262,exchange rate,exchange via,33,False,False,False,{49: 1},[2207],262,1,7,False
48,exchange rate,exchange rate,32,False,True,False,{49: 1},[2207],48,1,7,False
