,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
903,supported cards and currencies,supported,54,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",903,5,8,False,5
1003,top up failed,top up revert,61,False,False,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1003,5,8,False,5
2953,card about to expire,card about,9,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2953,5,8,False,5
2979,apple pay or google pay,apple,2,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2979,5,8,False,5
1926,card swallowed,card sw,18,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1926,5,8,False,5
2137,change pin,change,21,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2137,5,8,False,5
2980,apple pay or google pay,apple,2,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2980,5,8,False,5
702,cancel transfer,cancel,8,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",702,5,8,False,5
2493,order physical card,order,43,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2493,5,8,False,5
2210,transfer fee charged,transfer fee,64,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2210,5,8,False,5
112,exchange rate,exchange rate,32,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",112,5,8,False,5
2909,cash withdrawal charge,cash withdrawal charge,19,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2909,5,8,False,5
1987,transaction charged twice,transaction,63,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1987,5,8,False,5
1283,visa or mastercard,vis,73,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1283,5,8,False,5
1539,passcode forgotten,pass,44,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1539,5,8,False,5
2879,activate my card,activ,0,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2879,5,8,False,5
1158,edit personal details,edit,30,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1158,5,8,False,5
1376,disposable card limits,dispos,29,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1376,5,8,False,5
1517,transaction charged twice,direct,28,False,False,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1517,5,8,False,5
1171,why verify identity,why,74,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1171,5,8,False,5
2242,receiving money,receiving,50,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2242,5,8,False,5
1476,atm support,at,3,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1476,5,8,False,5
237,balance not updated after bank transfer,pending c,46,False,False,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",237,5,8,False,5
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1650,5,8,False,5
2484,card payment fee charged,order,43,False,False,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2484,5,8,False,5
2105,cancel transfer,revert,53,False,False,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2105,5,8,False,5
2121,change pin,change,21,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2121,5,8,False,5
1452,atm support,at,3,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1452,5,8,False,5
274,fiat currency support,fi,36,True,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",274,5,8,False,5
564,contactless not working,contact,23,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",564,5,8,False,5
905,supported cards and currencies,supported,54,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",905,5,8,False,5
1535,passcode forgotten,pass,44,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",1535,5,8,False,5
2113,reverted card payment?,revert,53,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2113,5,8,False,5
2142,change pin,change,21,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2142,5,8,False,5
2965,apple pay or google pay,apple,2,False,True,False,"{36: 2, 38: 1, 49: 1, 58: 1}","[8047, 1357, 3540, 1505, 4278]",2965,5,8,False,5
