,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
905,supported cards and currencies,supported,54,True,True,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",905,200,8,False
1982,transaction charged twice,transaction,63,True,True,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",1982,200,8,False
2766,exchange charge,exchange charge,31,True,True,True,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",2766,200,8,False
2416,getting spare card,getting spare,39,True,True,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",2416,200,8,False
2895,cash withdrawal charge,cash withdrawal charge,19,True,True,True,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",2895,200,8,False
2137,change pin,change,21,True,True,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",2137,200,8,False
732,top up limits,top up limits,60,True,True,True,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",732,200,8,False
1927,lost or stolen card,card swallowed,18,False,False,True,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",1927,200,8,False
945,get physical card,getting virtual,40,True,False,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",945,200,8,False
1942,card not working,card swallowed,18,False,False,False,"{2: 2, 6: 5, 28: 6, 19: 3, 58: 1, 25: 5, 41: 2, 73: 3, 52: 5, 24: 3, 74: 2, 61: 5, 47: 2, 0: 5, 57: 1, 70: 3, 71: 2, 34: 4, 59: 3, 42: 1, 38: 2, 46: 4, 7: 2, 27: 3, 11: 5, 51: 4, 14: 2, 5: 8, 21: 3, 50: 3, 1: 4, 53: 3, 66: 4, 36: 6, 43: 1, 44: 1, 48: 3, 10: 1, 63: 6, 49: 2, 26: 5, 9: 2, 67: 2, 65: 1, 8: 3, 20: 5, 55: 1, 4: 2, 40: 2, 17: 2, 15: 2, 76: 3, 16: 4, 62: 1, 32: 4, 72: 1, 29: 2, 56: 1, 69: 4, 39: 2, 33: 2, 68: 1, 64: 4, 12: 1, 13: 2, 23: 1, 3: 1, 31: 1, 60: 1, 54: 2, 45: 2, 30: 1, 22: 1, 75: 1}","[8048, 1359, 3542, 1507, 4280, 864, 2680, 2608, 1415, 1660, 989, 3662, 9381, 6888, 2436, 5073, 6792, 410, 6816, 5766, 9383, 2587, 5466, 5984, 7209, 5823, 163, 5096, 9569, 624, 8167, 7853, 8681, 9152, 496, 4564, 7785, 6668, 9810, 784, 6875, 834, 3179, 2339, 1170, 6280, 4858, 810, 3963, 4942, 5381, 124, 2703, 2520, 4061, 4959, 9086, 7316, 8880, 8924, 4909, 305, 7694, 3347, 9033, 2626, 9951, 8543, 2888, 1214, 1758, 6305, 70, 2505, 9446, 9657, 7280, 3238, 8673, 8877, 9276, 1459, 5242, 3548, 8594, 5581, 7225, 7695, 6634, 9823, 9024, 1489, 3325, 1249, 4821, 6825, 4874, 6261, 9005, 2700, 3705, 1180, 1752, 490, 110, 1145, 1022, 486, 5880, 3400, 6985, 5164, 4486, 2514, 4472, 9079, 1653, 5313, 7644, 4891, 2663, 1534, 5467, 3788, 337, 6964, 2748, 9799, 9732, 2047, 600, 6369, 6267, 8955, 9019, 1578, 890, 32, 7403, 6124, 1700, 9603, 9669, 8949, 6246, 7654, 922, 1737, 1084, 8327, 9665, 7140, 7370, 2344, 2348, 1060, 2890, 1439, 3449, 2304, 2454, 2629, 5203, 2031, 8531, 4948, 8204, 46, 9672, 5106, 9374, 242, 984, 4069, 5712, 5523, 7655, 3103, 9684, 1783, 4515, 2176, 8464, 8762, 1140, 8599, 4700, 4986, 9334, 3409, 6787, 2761, 1724, 3358, 2971, 8847, 2595, 8823, 4165, 7263]",1942,200,8,False
