,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,description,description,2,False,True,False,{5: 1},[3916],360,1,8,False
17,human,human,3,False,True,False,{5: 1},[3916],17,1,8,False
361,description,description,2,False,True,False,{5: 1},[3916],361,1,8,False
411,description,entity,1,False,False,False,{5: 1},[3916],411,1,8,False
67,description,description,2,False,True,False,{5: 1},[3916],67,1,8,False
425,entity,entity,1,False,True,False,{5: 1},[3916],425,1,8,False
104,numeric,location,4,False,False,True,{5: 1},[3916],104,1,8,False
394,description,description,2,False,True,False,{5: 1},[3916],394,1,8,False
450,description,entity,1,False,False,False,{5: 1},[3916],450,1,8,False
141,entity,entity,1,False,True,False,{5: 1},[3916],141,1,8,False
142,location,location,4,False,True,False,{5: 1},[3916],142,1,8,False
269,description,description,2,False,True,False,{5: 1},[3916],269,1,8,False
173,description,description,2,False,True,False,{5: 1},[3916],173,1,8,False
238,location,location,4,False,True,False,{5: 1},[3916],238,1,8,False
55,numeric,description,2,False,False,True,{5: 1},[3916],55,1,8,False
121,entity,numeric,5,True,False,False,{5: 1},[3916],121,1,8,False
260,human,human,3,False,True,False,{5: 1},[3916],260,1,8,False
62,location,location,4,False,True,False,{5: 1},[3916],62,1,8,False
185,human,human,3,False,True,False,{5: 1},[3916],185,1,8,False
429,human,human,3,False,True,False,{5: 1},[3916],429,1,8,False
97,description,description,2,False,True,False,{5: 1},[3916],97,1,8,False
340,numeric,numeric,5,True,True,True,{5: 1},[3916],340,1,8,False
496,entity,entity,1,False,True,False,{5: 1},[3916],496,1,8,False
183,description,description,2,False,True,False,{5: 1},[3916],183,1,8,False
393,location,numeric,5,True,False,False,{5: 1},[3916],393,1,8,False
15,numeric,numeric,5,True,True,True,{5: 1},[3916],15,1,8,False
162,numeric,numeric,5,True,True,True,{5: 1},[3916],162,1,8,False
481,description,entity,1,False,False,False,{5: 1},[3916],481,1,8,False
332,entity,entity,1,False,True,False,{5: 1},[3916],332,1,8,False
251,description,location,4,False,False,False,{5: 1},[3916],251,1,8,False
305,location,location,4,False,True,False,{5: 1},[3916],305,1,8,False
169,entity,human,3,False,False,False,{5: 1},[3916],169,1,8,False
249,description,entity,1,False,False,False,{5: 1},[3916],249,1,8,False
143,human,entity,1,False,False,False,{5: 1},[3916],143,1,8,False
396,description,description,2,False,True,False,{5: 1},[3916],396,1,8,False
71,description,numeric,5,True,False,False,{5: 1},[3916],71,1,8,False
168,entity,location,4,False,False,False,{5: 1},[3916],168,1,8,False
199,description,entity,1,False,False,False,{5: 1},[3916],199,1,8,False
366,entity,entity,1,False,True,False,{5: 1},[3916],366,1,8,False
464,location,location,4,False,True,False,{5: 1},[3916],464,1,8,False
318,entity,entity,1,False,True,False,{5: 1},[3916],318,1,8,False
242,entity,description,2,False,False,False,{5: 1},[3916],242,1,8,False
69,location,location,4,False,True,False,{5: 1},[3916],69,1,8,False
271,human,description,2,False,False,False,{5: 1},[3916],271,1,8,False
145,entity,entity,1,False,True,False,{5: 1},[3916],145,1,8,False
379,description,description,2,False,True,False,{5: 1},[3916],379,1,8,False
398,numeric,numeric,5,True,True,True,{5: 1},[3916],398,1,8,False
38,description,numeric,5,True,False,False,{5: 1},[3916],38,1,8,False
20,human,human,3,False,True,False,{5: 1},[3916],20,1,8,False
160,description,description,2,False,True,False,{5: 1},[3916],160,1,8,False
194,description,description,2,False,True,False,{5: 1},[3916],194,1,8,False
485,description,description,2,False,True,False,{5: 1},[3916],485,1,8,False
293,location,entity,1,False,False,False,{5: 1},[3916],293,1,8,False
237,description,description,2,False,True,False,{5: 1},[3916],237,1,8,False
60,location,location,4,False,True,False,{5: 1},[3916],60,1,8,False
27,entity,location,4,False,False,False,{5: 1},[3916],27,1,8,False
319,location,location,4,False,True,False,{5: 1},[3916],319,1,8,False
343,human,human,3,False,True,False,{5: 1},[3916],343,1,8,False
82,human,human,3,False,True,False,{5: 1},[3916],82,1,8,False
395,description,description,2,False,True,False,{5: 1},[3916],395,1,8,False
188,location,location,4,False,True,False,{5: 1},[3916],188,1,8,False
203,entity,entity,1,False,True,False,{5: 1},[3916],203,1,8,False
490,description,description,2,False,True,False,{5: 1},[3916],490,1,8,False
375,numeric,numeric,5,True,True,True,{5: 1},[3916],375,1,8,False
128,description,description,2,False,True,False,{5: 1},[3916],128,1,8,False
198,entity,entity,1,False,True,False,{5: 1},[3916],198,1,8,False
149,description,description,2,False,True,False,{5: 1},[3916],149,1,8,False
326,description,description,2,False,True,False,{5: 1},[3916],326,1,8,False
239,description,numeric,5,True,False,False,{5: 1},[3916],239,1,8,False
144,description,description,2,False,True,False,{5: 1},[3916],144,1,8,False
362,description,entity,1,False,False,False,{5: 1},[3916],362,1,8,False
350,numeric,numeric,5,True,True,True,{5: 1},[3916],350,1,8,False
301,numeric,numeric,5,True,True,True,{5: 1},[3916],301,1,8,False
306,description,human,3,False,False,False,{5: 1},[3916],306,1,8,False
433,entity,human,3,False,False,False,{5: 1},[3916],433,1,8,False
103,description,human,3,False,False,False,{5: 1},[3916],103,1,8,False
448,description,numeric,5,True,False,False,{5: 1},[3916],448,1,8,False
402,description,numeric,5,True,False,False,{5: 1},[3916],402,1,8,False
439,location,entity,1,False,False,False,{5: 1},[3916],439,1,8,False
437,numeric,numeric,5,True,True,True,{5: 1},[3916],437,1,8,False
289,description,description,2,False,True,False,{5: 1},[3916],289,1,8,False
132,numeric,description,2,False,False,True,{5: 1},[3916],132,1,8,False
250,human,human,3,False,True,False,{5: 1},[3916],250,1,8,False
405,location,location,4,False,True,False,{5: 1},[3916],405,1,8,False
443,description,entity,1,False,False,False,{5: 1},[3916],443,1,8,False
35,description,numeric,5,True,False,False,{5: 1},[3916],35,1,8,False
113,description,human,3,False,False,False,{5: 1},[3916],113,1,8,False
348,numeric,numeric,5,True,True,True,{5: 1},[3916],348,1,8,False
476,description,description,2,False,True,False,{5: 1},[3916],476,1,8,False
64,location,location,4,False,True,False,{5: 1},[3916],64,1,8,False
381,human,human,3,False,True,False,{5: 1},[3916],381,1,8,False
59,description,numeric,5,True,False,False,{5: 1},[3916],59,1,8,False
491,description,description,2,False,True,False,{5: 1},[3916],491,1,8,False
12,numeric,numeric,5,True,True,True,{5: 1},[3916],12,1,8,False
400,entity,human,3,False,False,False,{5: 1},[3916],400,1,8,False
469,entity,description,2,False,False,False,{5: 1},[3916],469,1,8,False
235,description,description,2,False,True,False,{5: 1},[3916],235,1,8,False
288,description,description,2,False,True,False,{5: 1},[3916],288,1,8,False
126,description,numeric,5,True,False,False,{5: 1},[3916],126,1,8,False
230,numeric,numeric,5,True,True,True,{5: 1},[3916],230,1,8,False
243,description,description,2,False,True,False,{5: 1},[3916],243,1,8,False
181,description,description,2,False,True,False,{5: 1},[3916],181,1,8,False
182,location,location,4,False,True,False,{5: 1},[3916],182,1,8,False
18,description,description,2,False,True,False,{5: 1},[3916],18,1,8,False
354,description,description,2,False,True,False,{5: 1},[3916],354,1,8,False
466,description,description,2,False,True,False,{5: 1},[3916],466,1,8,False
446,description,location,4,False,False,False,{5: 1},[3916],446,1,8,False
338,description,description,2,False,True,False,{5: 1},[3916],338,1,8,False
118,human,numeric,5,True,False,False,{5: 1},[3916],118,1,8,False
223,human,entity,1,False,False,False,{5: 1},[3916],223,1,8,False
152,description,description,2,False,True,False,{5: 1},[3916],152,1,8,False
399,location,location,4,False,True,False,{5: 1},[3916],399,1,8,False
215,entity,entity,1,False,True,False,{5: 1},[3916],215,1,8,False
207,description,numeric,5,True,False,False,{5: 1},[3916],207,1,8,False
336,description,description,2,False,True,False,{5: 1},[3916],336,1,8,False
211,numeric,numeric,5,True,True,True,{5: 1},[3916],211,1,8,False
44,human,entity,1,False,False,False,{5: 1},[3916],44,1,8,False
29,entity,location,4,False,False,False,{5: 1},[3916],29,1,8,False
99,human,entity,1,False,False,False,{5: 1},[3916],99,1,8,False
122,description,description,2,False,True,False,{5: 1},[3916],122,1,8,False
421,description,location,4,False,False,False,{5: 1},[3916],421,1,8,False
477,numeric,location,4,False,False,True,{5: 1},[3916],477,1,8,False
378,abbreviation,abbre,0,False,True,False,{5: 1},[3916],378,1,8,False
357,human,numeric,5,True,False,False,{5: 1},[3916],357,1,8,False
3,description,description,2,False,True,False,{5: 1},[3916],3,1,8,False
406,description,description,2,False,True,False,{5: 1},[3916],406,1,8,False
127,description,numeric,5,True,False,False,{5: 1},[3916],127,1,8,False
50,description,description,2,False,True,False,{5: 1},[3916],50,1,8,False
253,entity,entity,1,False,True,False,{5: 1},[3916],253,1,8,False
262,entity,numeric,5,True,False,False,{5: 1},[3916],262,1,8,False
41,description,description,2,False,True,False,{5: 1},[3916],41,1,8,False
106,numeric,numeric,5,True,True,True,{5: 1},[3916],106,1,8,False
72,location,location,4,False,True,False,{5: 1},[3916],72,1,8,False
274,description,description,2,False,True,False,{5: 1},[3916],274,1,8,False
367,entity,entity,1,False,True,False,{5: 1},[3916],367,1,8,False
180,entity,location,4,False,False,False,{5: 1},[3916],180,1,8,False
95,location,location,4,False,True,False,{5: 1},[3916],95,1,8,False
30,entity,numeric,5,True,False,False,{5: 1},[3916],30,1,8,False
0,numeric,numeric,5,True,True,True,{5: 1},[3916],0,1,8,False
227,description,description,2,False,True,False,{5: 1},[3916],227,1,8,False
333,entity,entity,1,False,True,False,{5: 1},[3916],333,1,8,False
218,numeric,numeric,5,True,True,True,{5: 1},[3916],218,1,8,False
225,description,entity,1,False,False,False,{5: 1},[3916],225,1,8,False
460,description,human,3,False,False,False,{5: 1},[3916],460,1,8,False
36,location,location,4,False,True,False,{5: 1},[3916],36,1,8,False
461,entity,entity,1,False,True,False,{5: 1},[3916],461,1,8,False
232,description,description,2,False,True,False,{5: 1},[3916],232,1,8,False
290,location,location,4,False,True,False,{5: 1},[3916],290,1,8,False
363,location,numeric,5,True,False,False,{5: 1},[3916],363,1,8,False
22,location,location,4,False,True,False,{5: 1},[3916],22,1,8,False
397,numeric,numeric,5,True,True,True,{5: 1},[3916],397,1,8,False
186,human,human,3,False,True,False,{5: 1},[3916],186,1,8,False
499,description,description,2,False,True,False,{5: 1},[3916],499,1,8,False
26,entity,description,2,False,False,False,{5: 1},[3916],26,1,8,False
246,entity,description,2,False,False,False,{5: 1},[3916],246,1,8,False
355,description,human,3,False,False,False,{5: 1},[3916],355,1,8,False
214,description,description,2,False,True,False,{5: 1},[3916],214,1,8,False
196,entity,entity,1,False,True,False,{5: 1},[3916],196,1,8,False
212,location,location,4,False,True,False,{5: 1},[3916],212,1,8,False
120,numeric,numeric,5,True,True,True,{5: 1},[3916],120,1,8,False
365,location,numeric,5,True,False,False,{5: 1},[3916],365,1,8,False
384,human,numeric,5,True,False,False,{5: 1},[3916],384,1,8,False
74,location,location,4,False,True,False,{5: 1},[3916],74,1,8,False
325,description,abbre,0,False,False,False,{5: 1},[3916],325,1,8,False
78,numeric,numeric,5,True,True,True,{5: 1},[3916],78,1,8,False
382,entity,entity,1,False,True,False,{5: 1},[3916],382,1,8,False
140,entity,description,2,False,False,False,{5: 1},[3916],140,1,8,False
444,entity,human,3,False,False,False,{5: 1},[3916],444,1,8,False
45,entity,entity,1,False,True,False,{5: 1},[3916],45,1,8,False
94,human,human,3,False,True,False,{5: 1},[3916],94,1,8,False
300,abbreviation,abbre,0,False,True,False,{5: 1},[3916],300,1,8,False
344,numeric,numeric,5,True,True,True,{5: 1},[3916],344,1,8,False
68,numeric,numeric,5,True,True,True,{5: 1},[3916],68,1,8,False
472,entity,entity,1,False,True,False,{5: 1},[3916],472,1,8,False
24,description,description,2,False,True,False,{5: 1},[3916],24,1,8,False
427,location,location,4,False,True,False,{5: 1},[3916],427,1,8,False
474,entity,entity,1,False,True,False,{5: 1},[3916],474,1,8,False
312,numeric,numeric,5,True,True,True,{5: 1},[3916],312,1,8,False
315,description,description,2,False,True,False,{5: 1},[3916],315,1,8,False
138,human,human,3,False,True,False,{5: 1},[3916],138,1,8,False
297,human,numeric,5,True,False,False,{5: 1},[3916],297,1,8,False
255,description,location,4,False,False,False,{5: 1},[3916],255,1,8,False
166,numeric,numeric,5,True,True,True,{5: 1},[3916],166,1,8,False
6,location,human,3,False,False,False,{5: 1},[3916],6,1,8,False
248,description,description,2,False,True,False,{5: 1},[3916],248,1,8,False
240,location,location,4,False,True,False,{5: 1},[3916],240,1,8,False
299,numeric,entity,1,False,False,True,{5: 1},[3916],299,1,8,False
1,human,location,4,False,False,False,{5: 1},[3916],1,1,8,False
403,abbreviation,abbre,0,False,True,False,{5: 1},[3916],403,1,8,False
316,human,human,3,False,True,False,{5: 1},[3916],316,1,8,False
115,description,human,3,False,False,False,{5: 1},[3916],115,1,8,False
356,numeric,numeric,5,True,True,True,{5: 1},[3916],356,1,8,False
341,description,entity,1,False,False,False,{5: 1},[3916],341,1,8,False
13,human,human,3,False,True,False,{5: 1},[3916],13,1,8,False
465,description,entity,1,False,False,False,{5: 1},[3916],465,1,8,False
133,numeric,entity,1,False,False,True,{5: 1},[3916],133,1,8,False
392,description,entity,1,False,False,False,{5: 1},[3916],392,1,8,False
56,description,numeric,5,True,False,False,{5: 1},[3916],56,1,8,False
91,description,description,2,False,True,False,{5: 1},[3916],91,1,8,False
314,location,location,4,False,True,False,{5: 1},[3916],314,1,8,False
488,description,entity,1,False,False,False,{5: 1},[3916],488,1,8,False
65,location,human,3,False,False,False,{5: 1},[3916],65,1,8,False
179,numeric,numeric,5,True,True,True,{5: 1},[3916],179,1,8,False
317,location,location,4,False,True,False,{5: 1},[3916],317,1,8,False
404,entity,numeric,5,True,False,False,{5: 1},[3916],404,1,8,False
11,numeric,human,3,False,False,True,{5: 1},[3916],11,1,8,False
358,numeric,description,2,False,False,True,{5: 1},[3916],358,1,8,False
98,description,description,2,False,True,False,{5: 1},[3916],98,1,8,False
292,numeric,numeric,5,True,True,True,{5: 1},[3916],292,1,8,False
114,location,entity,1,False,False,False,{5: 1},[3916],114,1,8,False
432,location,location,4,False,True,False,{5: 1},[3916],432,1,8,False
261,human,human,3,False,True,False,{5: 1},[3916],261,1,8,False
234,description,entity,1,False,False,False,{5: 1},[3916],234,1,8,False
264,numeric,numeric,5,True,True,True,{5: 1},[3916],264,1,8,False
473,description,numeric,5,True,False,False,{5: 1},[3916],473,1,8,False
267,description,location,4,False,False,False,{5: 1},[3916],267,1,8,False
428,description,description,2,False,True,False,{5: 1},[3916],428,1,8,False
47,description,description,2,False,True,False,{5: 1},[3916],47,1,8,False
10,location,location,4,False,True,False,{5: 1},[3916],10,1,8,False
352,location,entity,1,False,False,False,{5: 1},[3916],352,1,8,False
275,entity,description,2,False,False,False,{5: 1},[3916],275,1,8,False
277,numeric,numeric,5,True,True,True,{5: 1},[3916],277,1,8,False
327,numeric,numeric,5,True,True,True,{5: 1},[3916],327,1,8,False
151,human,human,3,False,True,False,{5: 1},[3916],151,1,8,False
222,description,description,2,False,True,False,{5: 1},[3916],222,1,8,False
75,abbreviation,description,2,False,False,False,{5: 1},[3916],75,1,8,False
76,entity,entity,1,False,True,False,{5: 1},[3916],76,1,8,False
123,human,human,3,False,True,False,{5: 1},[3916],123,1,8,False
102,entity,description,2,False,False,False,{5: 1},[3916],102,1,8,False
426,description,description,2,False,True,False,{5: 1},[3916],426,1,8,False
390,human,human,3,False,True,False,{5: 1},[3916],390,1,8,False
265,description,description,2,False,True,False,{5: 1},[3916],265,1,8,False
135,location,entity,1,False,False,False,{5: 1},[3916],135,1,8,False
37,description,numeric,5,True,False,False,{5: 1},[3916],37,1,8,False
209,description,description,2,False,True,False,{5: 1},[3916],209,1,8,False
482,description,entity,1,False,False,False,{5: 1},[3916],482,1,8,False
48,numeric,numeric,5,True,True,True,{5: 1},[3916],48,1,8,False
241,description,description,2,False,True,False,{5: 1},[3916],241,1,8,False
2,description,human,3,False,False,False,{5: 1},[3916],2,1,8,False
116,description,numeric,5,True,False,False,{5: 1},[3916],116,1,8,False
154,description,human,3,False,False,False,{5: 1},[3916],154,1,8,False
233,numeric,numeric,5,True,True,True,{5: 1},[3916],233,1,8,False
409,description,description,2,False,True,False,{5: 1},[3916],409,1,8,False
410,human,human,3,False,True,False,{5: 1},[3916],410,1,8,False
193,numeric,numeric,5,True,True,True,{5: 1},[3916],193,1,8,False
329,description,description,2,False,True,False,{5: 1},[3916],329,1,8,False
483,description,description,2,False,True,False,{5: 1},[3916],483,1,8,False
57,description,location,4,False,False,False,{5: 1},[3916],57,1,8,False
221,numeric,numeric,5,True,True,True,{5: 1},[3916],221,1,8,False
270,entity,entity,1,False,True,False,{5: 1},[3916],270,1,8,False
