,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2782,meeting schedule,how busy,102,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",2782,2,0,False,2
4050,card declined,exp,44,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",4050,2,0,False,2
3387,cancel,cancel,147,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",3387,2,0,False,2
4122,cancel reservation,cancel res,67,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",4122,2,0,False,2
4317,meal suggestion,me,46,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",4317,2,0,False,2
2449,routing,routing,45,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",2449,2,0,False,2
5020,change volume,o,42,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",5020,2,0,False,2
396,new card,replacement,90,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",396,2,0,False,2
1307,repeat,repeat,13,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",1307,2,0,False,2
3802,shopping list update,shopping list,43,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",3802,2,0,False,2
1860,schedule maintenance,schedule maintenance,131,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",1860,2,0,False,2
2767,find phone,how busy,102,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",2767,2,0,False,2
2140,ingredient substitution,ingredient,134,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",2140,2,0,False,2
427,time,time,4,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",427,2,0,False,2
3982,calendar update,calendar update,105,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",3982,2,0,False,2
509,flight status,flight,80,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",509,2,0,False,2
726,restaurant reservation,restaurant res,23,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",726,2,0,False,2
1384,yes,yes,107,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",1384,2,0,False,2
3426,vaccines,v,52,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",3426,2,0,False,2
1407,goodbye,yes,107,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",1407,2,0,False,2
3990,are you a bot,are,117,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",3990,2,0,False,2
1600,no,no,30,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",1600,2,0,False,2
4182,make call,change ai,55,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",4182,2,0,False,2
3096,order status,report fra,70,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",3096,2,0,False,2
638,what can i ask you,what can,115,False,True,False,"{65: 1, 137: 1}","[2671, 4367]",638,2,0,False,2
4536,pto used,o,42,False,False,False,"{65: 1, 137: 1}","[2671, 4367]",4536,2,0,False,2
