,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
0,human individual,human description,31,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",0,5,9,False
1,numeric period,numeric date,39,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",1,5,9,False
2,human individual,human group,28,True,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",2,5,9,False
3,entity symbol,entity plant,14,False,False,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",3,5,9,False
4,human individual,human individual,29,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",4,5,9,False
5,human individual,human individual,29,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",5,5,9,False
6,numeric period,numeric date,39,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",6,5,9,False
7,entity substance,entity substance,18,False,True,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",7,5,9,False
8,human individual,human individual,29,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",8,5,9,False
9,numeric period,numeric date,39,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",9,5,9,False
10,human individual,human individual,29,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",10,5,9,False
11,entity substance,location other,35,False,False,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",11,5,9,False
12,human individual,human individual,29,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",12,5,9,False
13,entity event,location other,35,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",13,5,9,False
14,location other,location other,35,False,True,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",14,5,9,False
15,location other,location other,35,False,True,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",15,5,9,False
16,numeric period,numeric date,39,False,False,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",16,5,9,False
17,numeric period,numeric period,44,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",17,5,9,False
18,location other,location other,35,False,True,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",18,5,9,False
19,entity substance,entity plant,14,False,False,False,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",19,5,9,False
20,numeric period,numeric period,44,True,True,True,"{44: 1, 8: 1, 29: 2, 28: 1}","[1797, 1224, 655, 607, 1777]",20,5,9,False
