,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,human,description,2,False,False,True,{3: 1},[4281],360,1,6,False
17,human,human,3,True,True,True,{3: 1},[4281],17,1,6,False
361,human,description,2,False,False,True,{3: 1},[4281],361,1,6,False
411,human,entity,1,False,False,True,{3: 1},[4281],411,1,6,False
67,human,description,2,False,False,True,{3: 1},[4281],67,1,6,False
425,location,entity,1,False,False,False,{3: 1},[4281],425,1,6,False
104,location,location,4,False,True,False,{3: 1},[4281],104,1,6,False
394,human,description,2,False,False,True,{3: 1},[4281],394,1,6,False
450,human,entity,1,False,False,True,{3: 1},[4281],450,1,6,False
141,human,entity,1,False,False,True,{3: 1},[4281],141,1,6,False
142,location,location,4,False,True,False,{3: 1},[4281],142,1,6,False
269,human,description,2,False,False,True,{3: 1},[4281],269,1,6,False
173,human,description,2,False,False,True,{3: 1},[4281],173,1,6,False
238,location,location,4,False,True,False,{3: 1},[4281],238,1,6,False
55,human,description,2,False,False,True,{3: 1},[4281],55,1,6,False
121,human,numeric,5,False,False,True,{3: 1},[4281],121,1,6,False
260,human,human,3,True,True,True,{3: 1},[4281],260,1,6,False
62,location,location,4,False,True,False,{3: 1},[4281],62,1,6,False
185,human,human,3,True,True,True,{3: 1},[4281],185,1,6,False
429,human,human,3,True,True,True,{3: 1},[4281],429,1,6,False
97,human,description,2,False,False,True,{3: 1},[4281],97,1,6,False
340,human,numeric,5,False,False,True,{3: 1},[4281],340,1,6,False
496,human,entity,1,False,False,True,{3: 1},[4281],496,1,6,False
183,human,description,2,False,False,True,{3: 1},[4281],183,1,6,False
393,human,numeric,5,False,False,True,{3: 1},[4281],393,1,6,False
15,human,numeric,5,False,False,True,{3: 1},[4281],15,1,6,False
162,location,numeric,5,False,False,False,{3: 1},[4281],162,1,6,False
481,human,entity,1,False,False,True,{3: 1},[4281],481,1,6,False
332,human,entity,1,False,False,True,{3: 1},[4281],332,1,6,False
251,location,location,4,False,True,False,{3: 1},[4281],251,1,6,False
305,location,location,4,False,True,False,{3: 1},[4281],305,1,6,False
169,human,human,3,True,True,True,{3: 1},[4281],169,1,6,False
249,human,entity,1,False,False,True,{3: 1},[4281],249,1,6,False
143,human,entity,1,False,False,True,{3: 1},[4281],143,1,6,False
396,human,description,2,False,False,True,{3: 1},[4281],396,1,6,False
71,human,numeric,5,False,False,True,{3: 1},[4281],71,1,6,False
168,location,location,4,False,True,False,{3: 1},[4281],168,1,6,False
199,human,entity,1,False,False,True,{3: 1},[4281],199,1,6,False
366,human,entity,1,False,False,True,{3: 1},[4281],366,1,6,False
464,location,location,4,False,True,False,{3: 1},[4281],464,1,6,False
318,human,entity,1,False,False,True,{3: 1},[4281],318,1,6,False
242,human,description,2,False,False,True,{3: 1},[4281],242,1,6,False
69,location,location,4,False,True,False,{3: 1},[4281],69,1,6,False
271,human,description,2,False,False,True,{3: 1},[4281],271,1,6,False
145,human,entity,1,False,False,True,{3: 1},[4281],145,1,6,False
379,human,description,2,False,False,True,{3: 1},[4281],379,1,6,False
398,human,numeric,5,False,False,True,{3: 1},[4281],398,1,6,False
38,human,numeric,5,False,False,True,{3: 1},[4281],38,1,6,False
20,human,human,3,True,True,True,{3: 1},[4281],20,1,6,False
160,human,description,2,False,False,True,{3: 1},[4281],160,1,6,False
194,human,description,2,False,False,True,{3: 1},[4281],194,1,6,False
485,human,description,2,False,False,True,{3: 1},[4281],485,1,6,False
293,human,entity,1,False,False,True,{3: 1},[4281],293,1,6,False
237,human,description,2,False,False,True,{3: 1},[4281],237,1,6,False
60,location,location,4,False,True,False,{3: 1},[4281],60,1,6,False
27,location,location,4,False,True,False,{3: 1},[4281],27,1,6,False
319,human,location,4,False,False,True,{3: 1},[4281],319,1,6,False
343,human,human,3,True,True,True,{3: 1},[4281],343,1,6,False
82,human,human,3,True,True,True,{3: 1},[4281],82,1,6,False
395,human,description,2,False,False,True,{3: 1},[4281],395,1,6,False
188,location,location,4,False,True,False,{3: 1},[4281],188,1,6,False
203,human,entity,1,False,False,True,{3: 1},[4281],203,1,6,False
490,human,description,2,False,False,True,{3: 1},[4281],490,1,6,False
375,human,numeric,5,False,False,True,{3: 1},[4281],375,1,6,False
128,human,description,2,False,False,True,{3: 1},[4281],128,1,6,False
198,human,entity,1,False,False,True,{3: 1},[4281],198,1,6,False
149,human,description,2,False,False,True,{3: 1},[4281],149,1,6,False
326,human,description,2,False,False,True,{3: 1},[4281],326,1,6,False
239,human,numeric,5,False,False,True,{3: 1},[4281],239,1,6,False
144,human,description,2,False,False,True,{3: 1},[4281],144,1,6,False
362,human,entity,1,False,False,True,{3: 1},[4281],362,1,6,False
350,numeric,numeric,5,False,True,False,{3: 1},[4281],350,1,6,False
301,human,numeric,5,False,False,True,{3: 1},[4281],301,1,6,False
306,human,human,3,True,True,True,{3: 1},[4281],306,1,6,False
433,human,human,3,True,True,True,{3: 1},[4281],433,1,6,False
103,human,human,3,True,True,True,{3: 1},[4281],103,1,6,False
448,human,numeric,5,False,False,True,{3: 1},[4281],448,1,6,False
402,human,numeric,5,False,False,True,{3: 1},[4281],402,1,6,False
439,human,entity,1,False,False,True,{3: 1},[4281],439,1,6,False
437,human,numeric,5,False,False,True,{3: 1},[4281],437,1,6,False
289,human,description,2,False,False,True,{3: 1},[4281],289,1,6,False
132,human,description,2,False,False,True,{3: 1},[4281],132,1,6,False
250,human,human,3,True,True,True,{3: 1},[4281],250,1,6,False
405,location,location,4,False,True,False,{3: 1},[4281],405,1,6,False
443,human,entity,1,False,False,True,{3: 1},[4281],443,1,6,False
35,human,numeric,5,False,False,True,{3: 1},[4281],35,1,6,False
113,human,human,3,True,True,True,{3: 1},[4281],113,1,6,False
348,human,numeric,5,False,False,True,{3: 1},[4281],348,1,6,False
476,human,description,2,False,False,True,{3: 1},[4281],476,1,6,False
64,location,location,4,False,True,False,{3: 1},[4281],64,1,6,False
381,human,human,3,True,True,True,{3: 1},[4281],381,1,6,False
59,human,numeric,5,False,False,True,{3: 1},[4281],59,1,6,False
491,human,description,2,False,False,True,{3: 1},[4281],491,1,6,False
12,human,numeric,5,False,False,True,{3: 1},[4281],12,1,6,False
400,human,human,3,True,True,True,{3: 1},[4281],400,1,6,False
469,human,description,2,False,False,True,{3: 1},[4281],469,1,6,False
235,human,description,2,False,False,True,{3: 1},[4281],235,1,6,False
288,human,description,2,False,False,True,{3: 1},[4281],288,1,6,False
126,human,numeric,5,False,False,True,{3: 1},[4281],126,1,6,False
230,human,numeric,5,False,False,True,{3: 1},[4281],230,1,6,False
243,human,description,2,False,False,True,{3: 1},[4281],243,1,6,False
181,human,description,2,False,False,True,{3: 1},[4281],181,1,6,False
182,location,location,4,False,True,False,{3: 1},[4281],182,1,6,False
18,human,description,2,False,False,True,{3: 1},[4281],18,1,6,False
354,human,description,2,False,False,True,{3: 1},[4281],354,1,6,False
466,human,description,2,False,False,True,{3: 1},[4281],466,1,6,False
446,location,location,4,False,True,False,{3: 1},[4281],446,1,6,False
338,human,description,2,False,False,True,{3: 1},[4281],338,1,6,False
118,human,numeric,5,False,False,True,{3: 1},[4281],118,1,6,False
223,human,entity,1,False,False,True,{3: 1},[4281],223,1,6,False
152,human,description,2,False,False,True,{3: 1},[4281],152,1,6,False
399,location,location,4,False,True,False,{3: 1},[4281],399,1,6,False
215,human,entity,1,False,False,True,{3: 1},[4281],215,1,6,False
207,human,numeric,5,False,False,True,{3: 1},[4281],207,1,6,False
336,human,description,2,False,False,True,{3: 1},[4281],336,1,6,False
211,human,numeric,5,False,False,True,{3: 1},[4281],211,1,6,False
44,human,entity,1,False,False,True,{3: 1},[4281],44,1,6,False
29,human,location,4,False,False,True,{3: 1},[4281],29,1,6,False
99,human,entity,1,False,False,True,{3: 1},[4281],99,1,6,False
122,human,description,2,False,False,True,{3: 1},[4281],122,1,6,False
421,human,location,4,False,False,True,{3: 1},[4281],421,1,6,False
477,location,location,4,False,True,False,{3: 1},[4281],477,1,6,False
378,human,abbre,0,False,False,True,{3: 1},[4281],378,1,6,False
357,human,numeric,5,False,False,True,{3: 1},[4281],357,1,6,False
3,human,description,2,False,False,True,{3: 1},[4281],3,1,6,False
406,human,description,2,False,False,True,{3: 1},[4281],406,1,6,False
127,human,numeric,5,False,False,True,{3: 1},[4281],127,1,6,False
50,human,description,2,False,False,True,{3: 1},[4281],50,1,6,False
253,human,entity,1,False,False,True,{3: 1},[4281],253,1,6,False
262,human,numeric,5,False,False,True,{3: 1},[4281],262,1,6,False
41,human,description,2,False,False,True,{3: 1},[4281],41,1,6,False
106,human,numeric,5,False,False,True,{3: 1},[4281],106,1,6,False
72,location,location,4,False,True,False,{3: 1},[4281],72,1,6,False
274,human,description,2,False,False,True,{3: 1},[4281],274,1,6,False
367,human,entity,1,False,False,True,{3: 1},[4281],367,1,6,False
180,location,location,4,False,True,False,{3: 1},[4281],180,1,6,False
95,location,location,4,False,True,False,{3: 1},[4281],95,1,6,False
30,human,numeric,5,False,False,True,{3: 1},[4281],30,1,6,False
0,location,numeric,5,False,False,False,{3: 1},[4281],0,1,6,False
227,human,description,2,False,False,True,{3: 1},[4281],227,1,6,False
333,human,entity,1,False,False,True,{3: 1},[4281],333,1,6,False
218,human,numeric,5,False,False,True,{3: 1},[4281],218,1,6,False
225,human,entity,1,False,False,True,{3: 1},[4281],225,1,6,False
460,human,human,3,True,True,True,{3: 1},[4281],460,1,6,False
36,location,location,4,False,True,False,{3: 1},[4281],36,1,6,False
461,human,entity,1,False,False,True,{3: 1},[4281],461,1,6,False
232,human,description,2,False,False,True,{3: 1},[4281],232,1,6,False
290,location,location,4,False,True,False,{3: 1},[4281],290,1,6,False
363,human,numeric,5,False,False,True,{3: 1},[4281],363,1,6,False
22,location,location,4,False,True,False,{3: 1},[4281],22,1,6,False
397,human,numeric,5,False,False,True,{3: 1},[4281],397,1,6,False
186,human,human,3,True,True,True,{3: 1},[4281],186,1,6,False
499,human,description,2,False,False,True,{3: 1},[4281],499,1,6,False
26,human,description,2,False,False,True,{3: 1},[4281],26,1,6,False
246,human,description,2,False,False,True,{3: 1},[4281],246,1,6,False
355,human,human,3,True,True,True,{3: 1},[4281],355,1,6,False
214,human,description,2,False,False,True,{3: 1},[4281],214,1,6,False
196,human,entity,1,False,False,True,{3: 1},[4281],196,1,6,False
212,location,location,4,False,True,False,{3: 1},[4281],212,1,6,False
120,human,numeric,5,False,False,True,{3: 1},[4281],120,1,6,False
365,location,numeric,5,False,False,False,{3: 1},[4281],365,1,6,False
384,human,numeric,5,False,False,True,{3: 1},[4281],384,1,6,False
74,location,location,4,False,True,False,{3: 1},[4281],74,1,6,False
325,human,abbre,0,False,False,True,{3: 1},[4281],325,1,6,False
78,human,numeric,5,False,False,True,{3: 1},[4281],78,1,6,False
382,human,entity,1,False,False,True,{3: 1},[4281],382,1,6,False
140,human,description,2,False,False,True,{3: 1},[4281],140,1,6,False
444,human,human,3,True,True,True,{3: 1},[4281],444,1,6,False
45,human,entity,1,False,False,True,{3: 1},[4281],45,1,6,False
94,location,human,3,True,False,False,{3: 1},[4281],94,1,6,False
300,human,abbre,0,False,False,True,{3: 1},[4281],300,1,6,False
344,human,numeric,5,False,False,True,{3: 1},[4281],344,1,6,False
68,human,numeric,5,False,False,True,{3: 1},[4281],68,1,6,False
472,human,entity,1,False,False,True,{3: 1},[4281],472,1,6,False
24,human,description,2,False,False,True,{3: 1},[4281],24,1,6,False
427,location,location,4,False,True,False,{3: 1},[4281],427,1,6,False
474,human,entity,1,False,False,True,{3: 1},[4281],474,1,6,False
312,human,numeric,5,False,False,True,{3: 1},[4281],312,1,6,False
315,human,description,2,False,False,True,{3: 1},[4281],315,1,6,False
138,human,human,3,True,True,True,{3: 1},[4281],138,1,6,False
297,human,numeric,5,False,False,True,{3: 1},[4281],297,1,6,False
255,human,location,4,False,False,True,{3: 1},[4281],255,1,6,False
166,human,numeric,5,False,False,True,{3: 1},[4281],166,1,6,False
6,human,human,3,True,True,True,{3: 1},[4281],6,1,6,False
248,human,description,2,False,False,True,{3: 1},[4281],248,1,6,False
240,location,location,4,False,True,False,{3: 1},[4281],240,1,6,False
299,human,entity,1,False,False,True,{3: 1},[4281],299,1,6,False
1,location,location,4,False,True,False,{3: 1},[4281],1,1,6,False
403,human,abbre,0,False,False,True,{3: 1},[4281],403,1,6,False
316,human,human,3,True,True,True,{3: 1},[4281],316,1,6,False
115,human,human,3,True,True,True,{3: 1},[4281],115,1,6,False
356,human,numeric,5,False,False,True,{3: 1},[4281],356,1,6,False
