,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
153,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",153,5,1,False,5
200,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",200,5,1,False,5
83,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",83,5,1,False,5
45,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",45,5,1,False,5
273,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",273,5,1,False,5
118,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",118,5,1,False,5
179,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",179,5,1,False,5
69,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",69,5,1,False,5
257,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",257,5,1,False,5
89,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",89,5,1,False,5
140,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",140,5,1,False,5
30,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",30,5,1,False,5
96,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",96,5,1,False,5
132,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",132,5,1,False,5
166,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",166,5,1,False,5
29,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",29,5,1,False,5
262,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",262,5,1,False,5
217,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",217,5,1,False,5
192,description,location,4,True,False,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",192,5,1,False,5
91,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",91,5,1,False,5
237,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",237,5,1,False,5
130,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",130,5,1,False,5
72,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",72,5,1,False,5
64,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",64,5,1,False,5
168,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",168,5,1,False,5
241,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",241,5,1,False,5
15,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",15,5,1,False,5
10,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",10,5,1,False,5
244,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",244,5,1,False,5
38,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",38,5,1,False,5
108,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",108,5,1,False,5
105,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",105,5,1,False,5
162,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",162,5,1,False,5
246,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",246,5,1,False,5
266,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",266,5,1,False,5
11,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",11,5,1,False,5
139,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",139,5,1,False,5
181,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",181,5,1,False,5
35,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",35,5,1,False,5
158,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",158,5,1,False,5
65,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",65,5,1,False,5
79,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",79,5,1,False,5
277,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",277,5,1,False,5
59,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",59,5,1,False,5
55,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",55,5,1,False,5
62,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",62,5,1,False,5
37,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",37,5,1,False,5
94,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",94,5,1,False,5
67,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",67,5,1,False,5
48,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",48,5,1,False,5
232,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",232,5,1,False,5
47,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",47,5,1,False,5
113,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",113,5,1,False,5
53,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",53,5,1,False,5
150,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",150,5,1,False,5
2,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",2,5,1,False,5
145,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",145,5,1,False,5
141,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",141,5,1,False,5
170,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",170,5,1,False,5
210,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",210,5,1,False,5
188,description,location,4,True,False,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",188,5,1,False,5
17,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",17,5,1,False,5
169,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",169,5,1,False,5
213,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",213,5,1,False,5
275,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",275,5,1,False,5
0,location,location,4,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",0,5,1,False,5
57,human,human,3,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",57,5,1,False,5
198,description,description,2,True,True,True,"{2: 3, 4: 1, 3: 1}","[866, 1413, 407, 474, 2026]",198,5,1,False,5
