,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1936,cancel,sync,130,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1936,5,6,False
4219,how old are you,how old,99,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4219,5,6,False
2016,expiration date,food,54,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",2016,5,6,False
1010,next song,next song,118,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1010,5,6,False
2185,make call,make,25,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",2185,5,6,False
1554,change speed,change speed,119,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1554,5,6,False
947,who do you work for,user,11,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",947,5,6,False
3802,shopping list,shopping list,43,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",3802,5,6,False
3572,reset settings,reset,88,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",3572,5,6,False
1494,todo list,todo list update,65,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1494,5,6,False
4790,what is your name,o,42,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4790,5,6,False
2733,credit limit,credit limit,41,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",2733,5,6,False
4412,traffic,traffic,24,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4412,5,6,False
5352,what can i ask you,o,42,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",5352,5,6,False
4721,travel suggestion,o,42,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4721,5,6,False
1901,travel notification,travel notification,146,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1901,5,6,False
1717,uber,u,39,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1717,5,6,False
4036,gas,gas,110,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4036,5,6,False
5051,find phone,o,42,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",5051,5,6,False
1374,oil change how,oil change when,123,True,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1374,5,6,False
5076,what is your name,o,42,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",5076,5,6,False
1149,spending history,spending,71,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1149,5,6,False
2236,todo list,todo list,48,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",2236,5,6,False
278,credit score,improve,28,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",278,5,6,False
538,flip coin,flip,33,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",538,5,6,False
1060,restaurant reservation,restaurant suggestion,145,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1060,5,6,False
1192,time,pto request status,101,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",1192,5,6,False
4055,credit limit,exp,44,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4055,5,6,False
2913,account blocked,account,2,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",2913,5,6,False
4350,income,income,93,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",4350,5,6,False
3563,greeting,gre,82,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",3563,5,6,False
3615,what is your name,what is,75,False,True,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",3615,5,6,False
143,what is your name,meaning,22,False,False,False,"{6: 1, 123: 1, 129: 1, 137: 1, 133: 1}","[8026, 3589, 13284, 11618, 3197]",143,5,6,False
