,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,supported cards and currencies,supported,54,False,True,False,{74: 1},[4381],903,1,9,False
1003,top up failed,top up revert,61,False,False,False,{74: 1},[4381],1003,1,9,False
2953,card about to expire,card about,9,False,True,False,{74: 1},[4381],2953,1,9,False
2979,apple pay or google pay,apple,2,False,True,False,{74: 1},[4381],2979,1,9,False
1926,card swallowed,card sw,18,False,True,False,{74: 1},[4381],1926,1,9,False
2137,change pin,change,21,False,True,False,{74: 1},[4381],2137,1,9,False
2980,apple pay or google pay,apple,2,False,True,False,{74: 1},[4381],2980,1,9,False
702,cancel transfer,cancel,8,False,True,False,{74: 1},[4381],702,1,9,False
2493,order physical card,order,43,False,True,False,{74: 1},[4381],2493,1,9,False
2210,transfer fee charged,transfer fee,64,False,True,False,{74: 1},[4381],2210,1,9,False
112,exchange rate,exchange rate,32,False,True,False,{74: 1},[4381],112,1,9,False
2909,cash withdrawal charge,cash withdrawal charge,19,False,True,False,{74: 1},[4381],2909,1,9,False
1987,transaction charged twice,transaction,63,False,True,False,{74: 1},[4381],1987,1,9,False
1283,visa or mastercard,vis,73,False,True,False,{74: 1},[4381],1283,1,9,False
1539,passcode forgotten,pass,44,False,True,False,{74: 1},[4381],1539,1,9,False
2879,activate my card,activ,0,False,True,False,{74: 1},[4381],2879,1,9,False
1158,edit personal details,edit,30,False,True,False,{74: 1},[4381],1158,1,9,False
1376,disposable card limits,dispos,29,False,True,False,{74: 1},[4381],1376,1,9,False
1517,transaction charged twice,direct,28,False,False,False,{74: 1},[4381],1517,1,9,False
1171,why verify identity,why,74,True,True,False,{74: 1},[4381],1171,1,9,False
2242,receiving money,receiving,50,False,True,False,{74: 1},[4381],2242,1,9,False
1476,atm support,at,3,False,True,False,{74: 1},[4381],1476,1,9,False
237,balance not updated after bank transfer,pending c,46,False,False,False,{74: 1},[4381],237,1,9,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{74: 1},[4381],1650,1,9,False
2484,order physical card,order,43,False,True,False,{74: 1},[4381],2484,1,9,False
2105,verify my identity,revert,53,False,False,False,{74: 1},[4381],2105,1,9,False
2121,change pin,change,21,False,True,False,{74: 1},[4381],2121,1,9,False
1452,atm support,at,3,False,True,False,{74: 1},[4381],1452,1,9,False
274,fiat currency support,fi,36,False,True,False,{74: 1},[4381],274,1,9,False
564,contactless not working,contact,23,False,True,False,{74: 1},[4381],564,1,9,False
905,supported cards and currencies,supported,54,False,True,False,{74: 1},[4381],905,1,9,False
1535,passcode forgotten,pass,44,False,True,False,{74: 1},[4381],1535,1,9,False
2113,reverted card payment?,revert,53,False,True,False,{74: 1},[4381],2113,1,9,False
2142,change pin,change,21,False,True,False,{74: 1},[4381],2142,1,9,False
2965,apple pay or google pay,apple,2,False,True,False,{74: 1},[4381],2965,1,9,False
1834,card payment not recognised,declined card,25,False,False,False,{74: 1},[4381],1834,1,9,False
1549,passcode forgotten,pass,44,False,True,False,{74: 1},[4381],1549,1,9,False
1320,top up by card charge,to,62,False,False,False,{74: 1},[4381],1320,1,9,False
2421,order physical card,getting spare,39,False,False,False,{74: 1},[4381],2421,1,9,False
2784,exchange charge,exchange charge,31,False,True,False,{74: 1},[4381],2784,1,9,False
768,wrong amount of cash received,wrong amount,75,False,True,False,{74: 1},[4381],768,1,9,False
2472,top up by cash or cheque,top up by c,58,False,True,False,{74: 1},[4381],2472,1,9,False
2154,pin blocked,change,21,False,False,False,{74: 1},[4381],2154,1,9,False
795,wrong amount of cash received,wrong amount,75,False,True,False,{74: 1},[4381],795,1,9,False
1278,pin blocked,get physical,38,False,False,False,{74: 1},[4381],1278,1,9,False
1494,direct debit payment not recognised,direct,28,False,True,False,{74: 1},[4381],1494,1,9,False
241,fiat currency support,fi,36,False,True,False,{74: 1},[4381],241,1,9,False
3060,get physical card,country,24,False,False,False,{74: 1},[4381],3060,1,9,False
494,age limit,age,1,False,True,False,{74: 1},[4381],494,1,9,False
327,automatic top up,automatic,4,False,True,False,{74: 1},[4381],327,1,9,False
458,lost or stolen card,lost or stolen card,41,False,True,False,{74: 1},[4381],458,1,9,False
428,fiat currency support,exchange via,33,False,False,False,{74: 1},[4381],428,1,9,False
2862,activate my card,activ,0,False,True,False,{74: 1},[4381],2862,1,9,False
2164,beneficiary not allowed,benef,7,False,True,False,{74: 1},[4381],2164,1,9,False
2897,cash withdrawal charge,cash withdrawal charge,19,False,True,False,{74: 1},[4381],2897,1,9,False
2440,top up by cash or cheque,top up by c,58,False,True,False,{74: 1},[4381],2440,1,9,False
1663,lost or stolen phone,lost or stolen phone,42,False,True,False,{74: 1},[4381],1663,1,9,False
2700,balance not updated after bank transfer,balance not updated after bank,5,False,True,False,{74: 1},[4381],2700,1,9,False
2955,card about to expire,card about,9,False,True,False,{74: 1},[4381],2955,1,9,False
