,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
195,change language,change language,29,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",195,5,8,False
144,travel alert,travel alert,128,True,True,True,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",144,5,8,False
977,change ai name,sync,130,False,False,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",977,5,8,False
352,what are your hobbies,what can,115,False,False,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",352,5,8,False
640,pay bill,pay,111,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",640,5,8,False
1104,recipe,ingred,134,False,False,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1104,5,8,False
46,timer,timer,32,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",46,5,8,False
466,who made you,who made,96,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",466,5,8,False
1069,cook time,cook,86,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1069,5,8,False
1847,interest rate,interest,7,True,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1847,5,8,False
1160,alarm,alarm,83,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1160,5,8,False
1614,gas,min,143,False,False,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1614,5,8,False
1716,spelling,sp,73,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1716,5,8,False
1261,plug type,plug,120,False,True,False,"{40: 1, 128: 1, 7: 1, 75: 1, 55: 1}","[5231, 363, 4069, 3875, 3326]",1261,5,8,False
