,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2353,email sendemail,email send,17,True,True,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",2353,50,9,False
820,iot coffee,iot coffee,30,True,True,True,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",820,50,9,False
195,music likeness,music li,42,False,True,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",195,50,9,False
2155,iot wemo off,iot w,36,True,True,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",2155,50,9,False
1020,alarm remove,alarm remove,1,True,True,True,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",1020,50,9,False
1717,calendar set,calendar,9,True,True,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",1717,50,9,False
1305,iot cleaning,iot cleaning,29,False,True,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",1305,50,9,False
633,audio volume mute,music settings,44,False,False,False,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",633,50,9,False
700,takeaway query,takeaway query,62,True,True,True,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",700,50,9,False
1097,general repeat,general neg,25,True,False,True,"{38: 1, 9: 10, 0: 2, 48: 6, 17: 6, 30: 2, 55: 2, 32: 1, 39: 3, 1: 1, 18: 3, 36: 1, 41: 1, 13: 2, 35: 1, 51: 2, 62: 1, 4: 1, 25: 2, 28: 1, 21: 1}","[4635, 6833, 2889, 520, 1694, 7800, 3636, 6765, 4515, 6373, 1017, 658, 7059, 6916, 3821, 3914, 4108, 5103, 627, 5670, 1723, 3865, 6020, 7763, 3447, 578, 3689, 2045, 3437, 3829, 824, 3784, 6086, 3988, 6906, 2727, 1921, 4246, 7460, 6799, 910, 484, 5181, 1701, 759, 3469, 6110, 3805, 7693, 5851]",1097,50,9,False
