,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
8794,general explain,general explain,22,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",8794,10,0,False
9939,play music,play music,48,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",9939,10,0,False
8722,calendar set,calendar set,9,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",8722,10,0,False
7976,play music,play music,48,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",7976,10,0,False
3742,transport taxi,transport taxi,64,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",3742,10,0,False
647,datetime query,datetime query,13,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",647,10,0,False
10625,email query contact,email query contact,16,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",10625,10,0,False
3,qa stock,qa stock,55,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",3,10,0,False
13103,general affirm,general affirm,18,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",13103,10,0,False
11384,general affirm,general affirm,18,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",11384,10,0,False
4455,news query,news,45,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",4455,10,0,False
17373,play music,play music,48,True,True,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",17373,10,0,False
1884,qa definition,qa definition,52,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",1884,10,0,False
8346,alarm set,alarm set,2,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",8346,10,0,False
12575,general affirm,general praise,26,False,False,True,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",12575,10,0,False
17580,calendar query,calendar query,7,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",17580,10,0,False
1891,alarm set,alarm set,2,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",1891,10,0,False
16292,calendar query,calendar query,7,False,True,False,"{22: 1, 48: 2, 9: 1, 64: 1, 13: 1, 16: 1, 55: 1, 18: 2}","[8794, 9939, 8722, 7976, 3742, 647, 10625, 3, 13103, 11384]",16292,10,0,False
