,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
3945,cancel transfer,request,52,True,False,False,{52: 1},[3945],3945,1,7,False
8741,request refund,supported,54,False,False,False,{52: 1},[3945],8741,1,7,False
3726,request refund,wrong amount,75,False,False,False,{52: 1},[3945],3726,1,7,False
8199,exchange rate,fi,36,False,False,False,{52: 1},[3945],8199,1,7,False
4364,request refund,get dispos,37,False,False,False,{52: 1},[3945],4364,1,7,False
7292,get physical card,card delivery,12,False,False,False,{52: 1},[3945],7292,1,7,False
468,request refund,receiving,50,False,False,False,{52: 1},[3945],468,1,7,False
1676,transfer fee charged,transfer into,65,False,False,False,{52: 1},[3945],1676,1,7,False
2356,request refund,card payment wrong,17,False,False,False,{52: 1},[3945],2356,1,7,False
8577,request refund,wrong exchange,76,False,False,False,{52: 1},[3945],8577,1,7,False
4988,request refund,card arrival,11,False,False,False,{52: 1},[3945],4988,1,7,False
8843,request refund,lost or stolen phone,42,False,False,False,{52: 1},[3945],8843,1,7,False
2737,request refund,unable,68,False,False,False,{52: 1},[3945],2737,1,7,False
8399,change pin,edit,30,False,False,False,{52: 1},[3945],8399,1,7,False
865,get physical card,wrong exchange,76,False,False,False,{52: 1},[3945],865,1,7,False
1122,transfer fee charged,transfer timing,67,False,False,False,{52: 1},[3945],1122,1,7,False
2040,change pin,change,21,False,True,False,{52: 1},[3945],2040,1,7,False
3570,request refund,cash withdrawal charge,19,False,False,False,{52: 1},[3945],3570,1,7,False
7774,get physical card,top up by card,57,False,False,False,{52: 1},[3945],7774,1,7,False
2958,request refund,declined card,25,False,False,False,{52: 1},[3945],2958,1,7,False
3234,transfer into account,transfer into,65,False,True,False,{52: 1},[3945],3234,1,7,False
1638,request refund,activ,0,False,False,False,{52: 1},[3945],1638,1,7,False
2995,top up by card charge,supported,54,False,False,False,{52: 1},[3945],2995,1,7,False
1039,verify source of funds,verify source,70,False,True,False,{52: 1},[3945],1039,1,7,False
1036,request refund,extra,34,False,False,False,{52: 1},[3945],1036,1,7,False
4195,request refund,lost or stolen phone,42,False,False,False,{52: 1},[3945],4195,1,7,False
4613,request refund,apple,2,False,False,False,{52: 1},[3945],4613,1,7,False
421,request refund,apple,2,False,False,False,{52: 1},[3945],421,1,7,False
4614,request refund,get physical,38,False,False,False,{52: 1},[3945],4614,1,7,False
8447,request refund,pass,44,False,False,False,{52: 1},[3945],8447,1,7,False
1878,age limit,age,1,False,True,False,{52: 1},[3945],1878,1,7,False
6592,request refund,card arrival,11,False,False,False,{52: 1},[3945],6592,1,7,False
6933,get physical card,top up by bank,56,False,False,False,{52: 1},[3945],6933,1,7,False
109,cancel transfer,Ref,51,False,False,False,{52: 1},[3945],109,1,7,False
8177,request refund,transfer not,66,False,False,False,{52: 1},[3945],8177,1,7,False
5877,top up by card charge,top up by c,58,False,False,False,{52: 1},[3945],5877,1,7,False
3295,request refund,top up by bank,56,False,False,False,{52: 1},[3945],3295,1,7,False
2467,request refund,top up failed,59,False,False,False,{52: 1},[3945],2467,1,7,False
6355,request refund,card payment wrong,17,False,False,False,{52: 1},[3945],6355,1,7,False
3649,request refund,country,24,False,False,False,{52: 1},[3945],3649,1,7,False
3428,request refund,pending card,45,False,False,False,{52: 1},[3945],3428,1,7,False
4955,cancel transfer,cash withdrawal charge,19,False,False,False,{52: 1},[3945],4955,1,7,False
2658,request refund,card linking,13,False,False,False,{52: 1},[3945],2658,1,7,False
6927,get physical card,card payment fee,15,False,False,False,{52: 1},[3945],6927,1,7,False
8135,request refund,pin,49,False,False,False,{52: 1},[3945],8135,1,7,False
8900,get physical card,card accept,10,False,False,False,{52: 1},[3945],8900,1,7,False
2786,transfer fee charged,top up by bank,56,False,False,False,{52: 1},[3945],2786,1,7,False
6308,request refund,top up by bank,56,False,False,False,{52: 1},[3945],6308,1,7,False
4426,verify top up,verify top,71,False,True,False,{52: 1},[3945],4426,1,7,False
9076,request refund,apple,2,False,False,False,{52: 1},[3945],9076,1,7,False
3730,change pin,edit,30,False,False,False,{52: 1},[3945],3730,1,7,False
9118,request refund,vis,73,False,False,False,{52: 1},[3945],9118,1,7,False
2362,request refund,card arrival,11,False,False,False,{52: 1},[3945],2362,1,7,False
640,request refund,card payment wrong,17,False,False,False,{52: 1},[3945],640,1,7,False
3003,request refund,Ref,51,False,False,False,{52: 1},[3945],3003,1,7,False
728,cancel transfer,terminate,55,False,False,False,{52: 1},[3945],728,1,7,False
5426,request refund,age,1,False,False,False,{52: 1},[3945],5426,1,7,False
3736,request refund,activ,0,False,False,False,{52: 1},[3945],3736,1,7,False
4402,request refund,revert,53,False,False,False,{52: 1},[3945],4402,1,7,False
