,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
4077,music query,music settings,44,False,False,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",4077,5,0,False,5
3189,news query,news,45,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",3189,5,0,False,5
1602,transport query,general qu,27,False,False,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",1602,5,0,False,5
3789,calendar query,calendar query,7,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",3789,5,0,False,5
2924,general negate,general neg,25,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",2924,5,0,False,5
5465,music likeness,music li,42,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",5465,5,0,False,5
2269,social query,social query,60,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",2269,5,0,False,5
3965,general dont care,general dont,21,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",3965,5,0,False,5
431,qa stock,qa stock,55,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",431,5,0,False,5
2221,general negate,general neg,25,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",2221,5,0,False,5
6128,alarm set,alarm set,2,False,True,False,"{66: 1, 8: 1, 15: 1, 19: 1, 36: 1}","[1787, 14150, 4331, 13268, 8757]",6128,5,0,False,5
