,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,email query,music settings,44,False,False,True,{15: 1},[8287],4077,1,4,False
3189,news query,news,45,False,True,False,{15: 1},[8287],3189,1,4,False
1602,email query,general qu,27,False,False,True,{15: 1},[8287],1602,1,4,False
3789,email query,calendar query,7,False,False,True,{15: 1},[8287],3789,1,4,False
2924,email query,general neg,25,False,False,True,{15: 1},[8287],2924,1,4,False
5465,email query,music li,42,False,False,True,{15: 1},[8287],5465,1,4,False
2269,social query,social query,60,False,True,False,{15: 1},[8287],2269,1,4,False
3965,email query,general dont,21,False,False,True,{15: 1},[8287],3965,1,4,False
431,email query,qa stock,55,False,False,True,{15: 1},[8287],431,1,4,False
2221,email query,general neg,25,False,False,True,{15: 1},[8287],2221,1,4,False
6128,alarm query,alarm set,2,False,False,False,{15: 1},[8287],6128,1,4,False
530,email query,calendar remove,8,False,False,True,{15: 1},[8287],530,1,4,False
1199,email query,iot coffee,30,False,False,True,{15: 1},[8287],1199,1,4,False
3488,calendar query,calendar set,9,False,False,False,{15: 1},[8287],3488,1,4,False
4132,email query,transport tax,64,False,False,True,{15: 1},[8287],4132,1,4,False
468,email query,general qu,27,False,False,True,{15: 1},[8287],468,1,4,False
3065,email query,general qu,27,False,False,True,{15: 1},[8287],3065,1,4,False
3611,music query,play music,48,False,False,False,{15: 1},[8287],3611,1,4,False
5162,email query,general repeat,28,False,False,True,{15: 1},[8287],5162,1,4,False
5190,email query,email query contact,16,False,False,True,{15: 1},[8287],5190,1,4,False
3205,play audiobook,play music,48,False,False,False,{15: 1},[8287],3205,1,4,False
6166,play audiobook,play music,48,False,False,False,{15: 1},[8287],6166,1,4,False
3191,news query,news,45,False,True,False,{15: 1},[8287],3191,1,4,False
3190,email query,general pra,26,False,False,True,{15: 1},[8287],3190,1,4,False
396,calendar query,calendar query,7,False,True,False,{15: 1},[8287],396,1,4,False
1421,news query,news,45,False,True,False,{15: 1},[8287],1421,1,4,False
4890,email query,general repeat,28,False,False,True,{15: 1},[8287],4890,1,4,False
6193,email query,email s,17,False,False,True,{15: 1},[8287],6193,1,4,False
132,email query,general confirm,20,False,False,True,{15: 1},[8287],132,1,4,False
1219,calendar query,calendar query,7,False,True,False,{15: 1},[8287],1219,1,4,False
817,email query,qa definition,52,False,False,True,{15: 1},[8287],817,1,4,False
3747,email query,general confirm,20,False,False,True,{15: 1},[8287],3747,1,4,False
4668,weather query,weather,67,False,True,False,{15: 1},[8287],4668,1,4,False
4616,weather query,weather,67,False,True,False,{15: 1},[8287],4616,1,4,False
6006,email query,general qu,27,False,False,True,{15: 1},[8287],6006,1,4,False
1934,email query,social post,59,False,False,True,{15: 1},[8287],1934,1,4,False
2118,email query,calendar set,9,False,False,True,{15: 1},[8287],2118,1,4,False
1352,email query,weather,67,False,False,True,{15: 1},[8287],1352,1,4,False
3041,email query,recommendation locations,57,False,False,True,{15: 1},[8287],3041,1,4,False
6286,email query,general repeat,28,False,False,True,{15: 1},[8287],6286,1,4,False
1546,email query,general explain,22,False,False,True,{15: 1},[8287],1546,1,4,False
365,email query,general dont,21,False,False,True,{15: 1},[8287],365,1,4,False
6074,email query,qa stock,55,False,False,True,{15: 1},[8287],6074,1,4,False
5712,email query,recommendation mov,58,False,False,True,{15: 1},[8287],5712,1,4,False
4203,transport query,transport query,63,False,True,False,{15: 1},[8287],4203,1,4,False
1761,email query,recommendation locations,57,False,False,True,{15: 1},[8287],1761,1,4,False
6409,email query,email s,17,False,False,True,{15: 1},[8287],6409,1,4,False
371,email query,iot coffee,30,False,False,True,{15: 1},[8287],371,1,4,False
2523,email query,calendar query,7,False,False,True,{15: 1},[8287],2523,1,4,False
5507,email query,play pod,49,False,False,True,{15: 1},[8287],5507,1,4,False
1818,email query,play pod,49,False,False,True,{15: 1},[8287],1818,1,4,False
1315,audio volume up,audio volume up,6,False,True,False,{15: 1},[8287],1315,1,4,False
4399,play podcasts,play pod,49,False,True,False,{15: 1},[8287],4399,1,4,False
2035,alarm query,alarm set,2,False,False,False,{15: 1},[8287],2035,1,4,False
3579,email query,qa fact,53,False,False,True,{15: 1},[8287],3579,1,4,False
3979,music query,play music,48,False,False,False,{15: 1},[8287],3979,1,4,False
5530,email query,general pra,26,False,False,True,{15: 1},[8287],5530,1,4,False
2427,email query,qa definition,52,False,False,True,{15: 1},[8287],2427,1,4,False
5789,email query,iot coffee,30,False,False,True,{15: 1},[8287],5789,1,4,False
6346,transport query,transport ticket,65,False,False,False,{15: 1},[8287],6346,1,4,False
1816,play music,play pod,49,False,False,False,{15: 1},[8287],1816,1,4,False
4932,email query,email query,15,True,True,True,{15: 1},[8287],4932,1,4,False
1817,email query,calendar query,7,False,False,True,{15: 1},[8287],1817,1,4,False
4445,email query,general qu,27,False,False,True,{15: 1},[8287],4445,1,4,False
813,email query,general repeat,28,False,False,True,{15: 1},[8287],813,1,4,False
5438,email query,general qu,27,False,False,True,{15: 1},[8287],5438,1,4,False
5866,email query,calendar set,9,False,False,True,{15: 1},[8287],5866,1,4,False
2676,email query,calendar set,9,False,False,True,{15: 1},[8287],2676,1,4,False
5384,weather query,qa fact,53,False,False,False,{15: 1},[8287],5384,1,4,False
2895,email query,email query,15,True,True,True,{15: 1},[8287],2895,1,4,False
3357,email query,iot wemo on,37,False,False,True,{15: 1},[8287],3357,1,4,False
1865,email query,iot clean,29,False,False,True,{15: 1},[8287],1865,1,4,False
4222,email query,news,45,False,False,True,{15: 1},[8287],4222,1,4,False
2939,email query,general aff,18,False,False,True,{15: 1},[8287],2939,1,4,False
6215,transport query,transport query,63,False,True,False,{15: 1},[8287],6215,1,4,False
6412,email query,qa fact,53,False,False,True,{15: 1},[8287],6412,1,4,False
3744,email query,music settings,44,False,False,True,{15: 1},[8287],3744,1,4,False
1507,email query,transport traffic,66,False,False,True,{15: 1},[8287],1507,1,4,False
4415,email query,calendar remove,8,False,False,True,{15: 1},[8287],4415,1,4,False
3829,email query,email query,15,True,True,True,{15: 1},[8287],3829,1,4,False
975,email query,calendar set,9,False,False,True,{15: 1},[8287],975,1,4,False
2934,email query,lists query,39,False,False,True,{15: 1},[8287],2934,1,4,False
2743,news query,news,45,False,True,False,{15: 1},[8287],2743,1,4,False
3129,email query,play music,48,False,False,True,{15: 1},[8287],3129,1,4,False
3021,calendar query,calendar query,7,False,True,False,{15: 1},[8287],3021,1,4,False
3187,email query,calendar query,7,False,False,True,{15: 1},[8287],3187,1,4,False
3994,weather query,weather,67,False,True,False,{15: 1},[8287],3994,1,4,False
1543,email query,general neg,25,False,False,True,{15: 1},[8287],1543,1,4,False
2899,email query,cooking reci,11,False,False,True,{15: 1},[8287],2899,1,4,False
3407,news query,news,45,False,True,False,{15: 1},[8287],3407,1,4,False
6290,email query,general pra,26,False,False,True,{15: 1},[8287],6290,1,4,False
5948,email query,qa stock,55,False,False,True,{15: 1},[8287],5948,1,4,False
3734,play music,play music,48,False,True,False,{15: 1},[8287],3734,1,4,False
1617,play music,play radio,50,False,False,False,{15: 1},[8287],1617,1,4,False
3599,email query,general explain,22,False,False,True,{15: 1},[8287],3599,1,4,False
400,alarm query,alarm set,2,False,False,False,{15: 1},[8287],400,1,4,False
4919,email query,iot hue light up,35,False,False,True,{15: 1},[8287],4919,1,4,False
