,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2782,find phone,how busy,102,False,False,False,{28: 1},[4219],2782,1,1,False
4050,travel alert,exp,44,False,False,False,{28: 1},[4219],4050,1,1,False
3387,cancel,cancel,147,False,True,False,{28: 1},[4219],3387,1,1,False
4122,cancel reservation,cancel res,67,False,True,False,{28: 1},[4219],4122,1,1,False
4317,restaurant suggestion,me,46,False,False,False,{28: 1},[4219],4317,1,1,False
2449,pto request,routing,45,False,False,False,{28: 1},[4219],2449,1,1,False
5020,change language,o,42,False,False,False,{28: 1},[4219],5020,1,1,False
396,find phone,replacement,90,False,False,False,{28: 1},[4219],396,1,1,False
1307,what is your name,repeat,13,False,False,False,{28: 1},[4219],1307,1,1,False
3802,find phone,shopping list,43,False,False,False,{28: 1},[4219],3802,1,1,False
1860,change speed,schedule maintenance,131,False,False,False,{28: 1},[4219],1860,1,1,False
2767,find phone,how busy,102,False,False,False,{28: 1},[4219],2767,1,1,False
2140,cook time,ingredient,134,False,False,False,{28: 1},[4219],2140,1,1,False
427,time,time,4,False,True,False,{28: 1},[4219],427,1,1,False
3982,cancel,calendar update,105,False,False,False,{28: 1},[4219],3982,1,1,False
509,flight status,flight,80,False,True,False,{28: 1},[4219],509,1,1,False
726,book hotel,restaurant res,23,False,False,False,{28: 1},[4219],726,1,1,False
1384,what can i ask you,yes,107,False,False,False,{28: 1},[4219],1384,1,1,False
3426,travel suggestion,v,52,False,False,False,{28: 1},[4219],3426,1,1,False
1407,what can i ask you,yes,107,False,False,False,{28: 1},[4219],1407,1,1,False
3990,are you a bot,are,117,False,True,False,{28: 1},[4219],3990,1,1,False
1600,what can i ask you,no,30,False,False,False,{28: 1},[4219],1600,1,1,False
4182,make call,change ai,55,False,False,False,{28: 1},[4219],4182,1,1,False
3096,find phone,report fra,70,False,False,False,{28: 1},[4219],3096,1,1,False
638,improve credit score,what can,115,False,False,False,{28: 1},[4219],638,1,1,False
4536,how old are you,o,42,False,False,False,{28: 1},[4219],4536,1,1,False
5423,find phone,o,42,False,False,False,{28: 1},[4219],5423,1,1,False
3046,find phone,meeting,19,False,False,False,{28: 1},[4219],3046,1,1,False
5045,find phone,o,42,False,False,False,{28: 1},[4219],5045,1,1,False
4998,where are you from,o,42,False,False,False,{28: 1},[4219],4998,1,1,False
2262,what can i ask you,change acc,51,False,False,False,{28: 1},[4219],2262,1,1,False
211,travel alert,travel alert,128,False,True,False,{28: 1},[4219],211,1,1,False
1011,next song,next song,118,False,True,False,{28: 1},[4219],1011,1,1,False
2025,how old are you,food,54,False,False,False,{28: 1},[4219],2025,1,1,False
658,what can i ask you,what can,115,False,True,False,{28: 1},[4219],658,1,1,False
1762,find phone,calcul,138,False,False,False,{28: 1},[4219],1762,1,1,False
4837,improve credit score,o,42,False,False,False,{28: 1},[4219],4837,1,1,False
305,fun fact,fun,129,False,True,False,{28: 1},[4219],305,1,1,False
1366,change speed,oil change when,123,False,False,False,{28: 1},[4219],1366,1,1,False
1617,tell joke,no,30,False,False,False,{28: 1},[4219],1617,1,1,False
367,payday,payday,79,False,True,False,{28: 1},[4219],367,1,1,False
4221,tell joke,how old,99,False,False,False,{28: 1},[4219],4221,1,1,False
3819,greeting,text,26,False,False,False,{28: 1},[4219],3819,1,1,False
1148,how old are you,spending,71,False,False,False,{28: 1},[4219],1148,1,1,False
449,what is your name,time,4,False,False,False,{28: 1},[4219],449,1,1,False
191,find phone,find,81,False,True,False,{28: 1},[4219],191,1,1,False
1431,improve credit score,travel suggestion,149,False,False,False,{28: 1},[4219],1431,1,1,False
3440,vaccines,v,52,False,True,False,{28: 1},[4219],3440,1,1,False
5098,find phone,o,42,False,False,False,{28: 1},[4219],5098,1,1,False
4072,credit score,exp,44,False,False,False,{28: 1},[4219],4072,1,1,False
2483,what is your name,do,34,False,False,False,{28: 1},[4219],2483,1,1,False
675,what can i ask you,maybe,121,False,False,False,{28: 1},[4219],675,1,1,False
1773,what is your name,date,95,False,False,False,{28: 1},[4219],1773,1,1,False
1541,improve credit score,change speed,119,False,False,False,{28: 1},[4219],1541,1,1,False
549,what is your name,change user,144,False,False,False,{28: 1},[4219],549,1,1,False
19,thank you,translate,61,False,False,False,{28: 1},[4219],19,1,1,False
2953,find phone,what song,21,False,False,False,{28: 1},[4219],2953,1,1,False
738,book hotel,restaurant res,23,False,False,False,{28: 1},[4219],738,1,1,False
1909,book flight,travel notification,146,False,False,False,{28: 1},[4219],1909,1,1,False
2779,find phone,how busy,102,False,False,False,{28: 1},[4219],2779,1,1,False
2177,make call,make,25,False,True,False,{28: 1},[4219],2177,1,1,False
146,meaning of life,meaning,22,False,True,False,{28: 1},[4219],146,1,1,False
4110,cancel reservation,cancel res,67,False,True,False,{28: 1},[4219],4110,1,1,False
5206,find phone,o,42,False,False,False,{28: 1},[4219],5206,1,1,False
4081,make call,update,141,False,False,False,{28: 1},[4219],4081,1,1,False
143,what is your name,meaning,22,False,False,False,{28: 1},[4219],143,1,1,False
1661,nutrition info,nut,1,False,True,False,{28: 1},[4219],1661,1,1,False
3363,cancel,cancel,147,False,True,False,{28: 1},[4219],3363,1,1,False
4482,find phone,card,49,False,False,False,{28: 1},[4219],4482,1,1,False
2374,report lost card,dam,87,False,False,False,{28: 1},[4219],2374,1,1,False
4413,traffic,traffic,24,False,True,False,{28: 1},[4219],4413,1,1,False
1430,what can i ask you,travel suggestion,149,False,False,False,{28: 1},[4219],1430,1,1,False
1359,oil change when,oil change when,123,False,True,False,{28: 1},[4219],1359,1,1,False
5196,find phone,o,42,False,False,False,{28: 1},[4219],5196,1,1,False
1566,tire pressure,tire pressure,98,False,True,False,{28: 1},[4219],1566,1,1,False
1861,book hotel,schedule maintenance,131,False,False,False,{28: 1},[4219],1861,1,1,False
4431,traffic,traffic,24,False,True,False,{28: 1},[4219],4431,1,1,False
4982,find phone,o,42,False,False,False,{28: 1},[4219],4982,1,1,False
1729,book hotel,u,39,False,False,False,{28: 1},[4219],1729,1,1,False
4025,travel suggestion,gas,110,False,False,False,{28: 1},[4219],4025,1,1,False
4112,cancel reservation,cancel res,67,False,True,False,{28: 1},[4219],4112,1,1,False
1321,gas,m,142,False,False,False,{28: 1},[4219],1321,1,1,False
5364,text,o,42,False,False,False,{28: 1},[4219],5364,1,1,False
4568,find phone,o,42,False,False,False,{28: 1},[4219],4568,1,1,False
4641,how old are you,o,42,False,False,False,{28: 1},[4219],4641,1,1,False
3840,pay bill,bill balance,27,False,False,False,{28: 1},[4219],3840,1,1,False
851,rollover 401k,rol,100,False,True,False,{28: 1},[4219],851,1,1,False
369,payday,payday,79,False,True,False,{28: 1},[4219],369,1,1,False
930,who do you work for,user,11,False,False,False,{28: 1},[4219],930,1,1,False
472,credit score,application,103,False,False,False,{28: 1},[4219],472,1,1,False
2302,w2,w,122,False,True,False,{28: 1},[4219],2302,1,1,False
308,what is your name,fun,129,False,False,False,{28: 1},[4219],308,1,1,False
2434,find phone,routing,45,False,False,False,{28: 1},[4219],2434,1,1,False
2824,find phone,order status,84,False,False,False,{28: 1},[4219],2824,1,1,False
3151,make call,smart,10,False,False,False,{28: 1},[4219],3151,1,1,False
