,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
13005,na,na,na,True,True,True,{'na': 1},[50258],13005,1,0,False
13881,na,organization top,organization top members or employees,False,False,True,{'na': 1},[50258],13881,1,0,False
8000,na,na,na,True,True,True,{'na': 1},[50258],8000,1,0,False
15210,na,person sib,person siblings,False,False,True,{'na': 1},[50258],15210,1,0,False
7432,na,na,na,True,True,True,{'na': 1},[50258],7432,1,0,False
2785,na,na,na,True,True,True,{'na': 1},[50258],2785,1,0,False
11677,na,na,na,True,True,True,{'na': 1},[50258],11677,1,0,False
6929,person employee of,na,na,True,False,False,{'na': 1},[50258],6929,1,0,False
7143,na,na,na,True,True,True,{'na': 1},[50258],7143,1,0,False
12405,na,na,na,True,True,True,{'na': 1},[50258],12405,1,0,False
1677,person origin,na,na,True,False,False,{'na': 1},[50258],1677,1,0,False
2872,organization founded in year,na,na,True,False,False,{'na': 1},[50258],2872,1,0,False
13474,na,organization parents,organization parents,False,False,True,{'na': 1},[50258],13474,1,0,False
5391,person siblings,na,na,True,False,False,{'na': 1},[50258],5391,1,0,False
14781,person title,person title,person title,False,True,False,{'na': 1},[50258],14781,1,0,False
13767,organization city of headquarters,organization top,organization top members or employees,False,False,False,{'na': 1},[50258],13767,1,0,False
4670,person age,na,na,True,False,False,{'na': 1},[50258],4670,1,0,False
343,person employee of,person age,person age,False,False,False,{'na': 1},[50258],343,1,0,False
6853,na,na,na,True,True,True,{'na': 1},[50258],6853,1,0,False
7373,na,na,na,True,True,True,{'na': 1},[50258],7373,1,0,False
6965,na,na,na,True,True,True,{'na': 1},[50258],6965,1,0,False
8391,na,na,na,True,True,True,{'na': 1},[50258],8391,1,0,False
2539,na,na,na,True,True,True,{'na': 1},[50258],2539,1,0,False
14078,na,organization alternate,organization alternate names,False,False,True,{'na': 1},[50258],14078,1,0,False
14670,na,person title,person title,False,False,True,{'na': 1},[50258],14670,1,0,False
3983,na,na,na,True,True,True,{'na': 1},[50258],3983,1,0,False
9758,person employee of,na,na,True,False,False,{'na': 1},[50258],9758,1,0,False
2760,na,na,na,True,True,True,{'na': 1},[50258],2760,1,0,False
2670,na,na,na,True,True,True,{'na': 1},[50258],2670,1,0,False
