,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
1039,report lost card,report lost,12,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1039,5,2,False,5
820,no,no,30,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",820,5,2,False,5
2303,calendar update,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2303,5,2,False,5
2500,oos,o,42,True,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2500,5,2,False,5
2642,where are you from,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2642,5,2,False,5
2249,what is your name,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2249,5,2,False,5
1894,shopping list,sho,43,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1894,5,2,False,5
1667,whisper mode,whisper,14,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1667,5,2,False,5
1927,tell joke,text,26,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1927,5,2,False,5
1341,exchange rate,exchange,38,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1341,5,2,False,5
1625,where are you from,current,136,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1625,5,2,False,5
361,freeze account,free,20,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",361,5,2,False,5
914,travel notification,travel,146,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",914,5,2,False,5
2632,how old are you,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2632,5,2,False,5
2193,traffic,traffic,24,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2193,5,2,False,5
827,no,no,30,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",827,5,2,False,5
131,payday,payday,79,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",131,5,2,False,5
1515,account blocked,account,2,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1515,5,2,False,5
427,how old are you,user,11,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",427,5,2,False,5
849,date,date,95,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",849,5,2,False,5
2580,where are you from,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2580,5,2,False,5
247,maybe,maybe,121,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",247,5,2,False,5
2361,how old are you,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2361,5,2,False,5
1380,who do you work for,who,57,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1380,5,2,False,5
776,reminder,rem,76,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",776,5,2,False,5
630,repeat,repeat,13,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",630,5,2,False,5
311,book flight,restaurant res,23,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",311,5,2,False,5
1993,play music,play,106,True,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1993,5,2,False,5
18,timer,timer,32,True,True,True,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",18,5,2,False,5
2959,shopping list,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2959,5,2,False,5
1269,calendar update,schedule,18,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1269,5,2,False,5
2158,date,how,99,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2158,5,2,False,5
2020,calendar update,calendar,105,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2020,5,2,False,5
2275,current location,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2275,5,2,False,5
2015,calendar update,calendar,105,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2015,5,2,False,5
214,what can i ask you,what can,115,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",214,5,2,False,5
2319,update playlist,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2319,5,2,False,5
2849,how old are you,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2849,5,2,False,5
1697,vaccines,v,52,True,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1697,5,2,False,5
446,what is your name,user,11,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",446,5,2,False,5
72,find phone,find,81,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",72,5,2,False,5
1074,cook time,ing,134,False,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1074,5,2,False,5
2856,how old are you,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2856,5,2,False,5
2777,vaccines,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2777,5,2,False,5
2611,how old are you,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2611,5,2,False,5
1376,change volume,change volume,150,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1376,5,2,False,5
2560,date,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2560,5,2,False,5
1533,international fees,international,137,False,True,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",1533,5,2,False,5
2441,travel notification,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2441,5,2,False,5
2506,date,o,42,True,False,False,"{42: 1, 106: 1, 142: 1, 32: 1, 52: 1}","[654, 6768, 371, 3491, 2367]",2506,5,2,False,5
