,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,numeric,description,2,False,False,True,{5: 1},[15],360,1,9,False
17,numeric,human,3,False,False,True,{5: 1},[15],17,1,9,False
361,numeric,description,2,False,False,True,{5: 1},[15],361,1,9,False
411,numeric,entity,1,False,False,True,{5: 1},[15],411,1,9,False
67,numeric,description,2,False,False,True,{5: 1},[15],67,1,9,False
425,numeric,entity,1,False,False,True,{5: 1},[15],425,1,9,False
104,numeric,location,4,False,False,True,{5: 1},[15],104,1,9,False
394,numeric,description,2,False,False,True,{5: 1},[15],394,1,9,False
450,numeric,entity,1,False,False,True,{5: 1},[15],450,1,9,False
141,numeric,entity,1,False,False,True,{5: 1},[15],141,1,9,False
142,location,location,4,False,True,False,{5: 1},[15],142,1,9,False
269,numeric,description,2,False,False,True,{5: 1},[15],269,1,9,False
173,numeric,description,2,False,False,True,{5: 1},[15],173,1,9,False
238,location,location,4,False,True,False,{5: 1},[15],238,1,9,False
55,numeric,description,2,False,False,True,{5: 1},[15],55,1,9,False
121,numeric,numeric,5,True,True,True,{5: 1},[15],121,1,9,False
260,numeric,human,3,False,False,True,{5: 1},[15],260,1,9,False
62,location,location,4,False,True,False,{5: 1},[15],62,1,9,False
185,numeric,human,3,False,False,True,{5: 1},[15],185,1,9,False
429,numeric,human,3,False,False,True,{5: 1},[15],429,1,9,False
97,numeric,description,2,False,False,True,{5: 1},[15],97,1,9,False
340,numeric,numeric,5,True,True,True,{5: 1},[15],340,1,9,False
496,numeric,entity,1,False,False,True,{5: 1},[15],496,1,9,False
183,numeric,description,2,False,False,True,{5: 1},[15],183,1,9,False
393,numeric,numeric,5,True,True,True,{5: 1},[15],393,1,9,False
15,numeric,numeric,5,True,True,True,{5: 1},[15],15,1,9,False
162,numeric,numeric,5,True,True,True,{5: 1},[15],162,1,9,False
481,numeric,entity,1,False,False,True,{5: 1},[15],481,1,9,False
332,numeric,entity,1,False,False,True,{5: 1},[15],332,1,9,False
251,numeric,location,4,False,False,True,{5: 1},[15],251,1,9,False
305,location,location,4,False,True,False,{5: 1},[15],305,1,9,False
169,numeric,human,3,False,False,True,{5: 1},[15],169,1,9,False
249,numeric,entity,1,False,False,True,{5: 1},[15],249,1,9,False
143,numeric,entity,1,False,False,True,{5: 1},[15],143,1,9,False
396,numeric,description,2,False,False,True,{5: 1},[15],396,1,9,False
71,numeric,numeric,5,True,True,True,{5: 1},[15],71,1,9,False
168,numeric,location,4,False,False,True,{5: 1},[15],168,1,9,False
199,numeric,entity,1,False,False,True,{5: 1},[15],199,1,9,False
366,numeric,entity,1,False,False,True,{5: 1},[15],366,1,9,False
464,location,location,4,False,True,False,{5: 1},[15],464,1,9,False
318,numeric,entity,1,False,False,True,{5: 1},[15],318,1,9,False
242,numeric,description,2,False,False,True,{5: 1},[15],242,1,9,False
69,numeric,location,4,False,False,True,{5: 1},[15],69,1,9,False
271,numeric,description,2,False,False,True,{5: 1},[15],271,1,9,False
145,numeric,entity,1,False,False,True,{5: 1},[15],145,1,9,False
379,numeric,description,2,False,False,True,{5: 1},[15],379,1,9,False
398,numeric,numeric,5,True,True,True,{5: 1},[15],398,1,9,False
38,numeric,numeric,5,True,True,True,{5: 1},[15],38,1,9,False
20,numeric,human,3,False,False,True,{5: 1},[15],20,1,9,False
160,numeric,description,2,False,False,True,{5: 1},[15],160,1,9,False
194,numeric,description,2,False,False,True,{5: 1},[15],194,1,9,False
485,numeric,description,2,False,False,True,{5: 1},[15],485,1,9,False
293,numeric,entity,1,False,False,True,{5: 1},[15],293,1,9,False
237,numeric,description,2,False,False,True,{5: 1},[15],237,1,9,False
60,numeric,location,4,False,False,True,{5: 1},[15],60,1,9,False
27,numeric,location,4,False,False,True,{5: 1},[15],27,1,9,False
