,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
903,supported cards and currencies,supported,54,True,True,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",903,220,5,False,55
1003,pending top up,top up revert,61,True,False,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",1003,220,5,False,55
2953,card about to expire,card about,9,True,True,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2953,220,5,False,55
2979,top up by card charge,apple,2,True,False,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2979,220,5,False,55
1926,get physical card,card sw,18,True,False,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",1926,220,5,False,55
2137,get physical card,change,21,True,False,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2137,220,5,False,55
2980,apple pay or google pay,apple,2,True,True,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2980,220,5,False,55
702,cancel transfer,cancel,8,True,True,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",702,220,5,False,55
2493,get physical card,order,43,True,False,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2493,220,5,False,55
2210,transfer fee charged,transfer fee,64,True,True,False,"{51: 5, 35: 4, 5: 4, 17: 3, 75: 4, 16: 2, 69: 6, 58: 1, 26: 7, 63: 7, 76: 5, 62: 5, 57: 3, 21: 1, 29: 4, 73: 1, 20: 5, 36: 1, 61: 3, 45: 3, 7: 2, 31: 2, 19: 7, 53: 1, 34: 4, 72: 2, 13: 4, 38: 3, 40: 3, 0: 3, 23: 1, 44: 2, 27: 4, 64: 3, 66: 2, 32: 2, 8: 5, 43: 2, 47: 4, 60: 2, 48: 3, 25: 6, 6: 1, 56: 2, 11: 6, 59: 2, 67: 4, 49: 3, 41: 2, 9: 5, 2: 2, 33: 2, 30: 2, 4: 4, 14: 7, 39: 2, 12: 2, 10: 2, 24: 2, 71: 2, 52: 2, 42: 3, 18: 2, 55: 1, 54: 2, 3: 1, 74: 2, 1: 1, 37: 1, 50: 2, 68: 3, 15: 1, 65: 1, 46: 3, 22: 2}","[1848, 7437, 7900, 4451, 1418, 9211, 7054, 3866, 6976, 8822, 3611, 5778, 719, 5386, 2776, 5678, 1098, 3824, 1865, 9768, 779, 1312, 8945, 4462, 9735, 7691, 6298, 5706, 3, 2168, 4687, 1636, 4434, 5055, 7878, 7524, 4810, 6935, 6907, 9584, 7873, 6549, 7703, 6874, 3599, 8340, 4913, 8869, 6842, 3882, 2320, 4309, 5045, 1464, 5336, 649, 9326, 6620, 3831, 7398, 7978, 9550, 7228, 5530, 89, 8391, 2464, 590, 8931, 3096, 8072, 3272, 3220, 7348, 3534, 1658, 3693, 5985, 3770, 2583, 4767, 2630, 8604, 4269, 3387, 6879, 7783, 4628, 5913, 2445, 6848, 2762, 8466, 699, 625, 1836, 7784, 4511, 8785, 6613, 8629, 7367, 9931, 8872, 1886, 310, 9535, 671, 3002, 4963, 8841, 5010, 3115, 7562, 4549, 2178, 4899, 498, 2430, 8548, 7932, 4724, 795, 9791, 8468, 4148, 8056, 5145, 242, 9752, 6962, 690, 3191, 5092, 8974, 282, 8113, 6561, 6106, 1725, 9172, 1567, 1746, 9562, 128, 1764, 2013, 8878, 2238, 2319, 5966, 5684, 7534, 4219, 3392, 8585, 828, 2260, 2733, 8515, 897, 5939, 3787, 4713, 7035, 1511, 1775, 2774, 2398, 943, 536, 7379, 7073, 4330, 273, 6071, 3163, 7127, 7499, 9838, 7857, 3888, 8024, 330, 332, 786, 2497, 7935, 2783, 5507, 7018, 761, 759, 2943, 6317, 3636, 2383, 8296, 9856, 1364, 7965, 178, 7153, 9878, 737, 249, 538, 6460, 2355, 4782, 8514, 5841, 7966, 3662, 42, 879, 3921, 2034, 6700, 5270]",2210,220,5,False,55
