,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2782,mpg,how busy,102,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2782,5,4,False,5
4050,card declined,exp,44,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4050,5,4,False,5
3387,cancel,cancel,147,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3387,5,4,False,5
4122,cancel reservation,cancel res,67,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4122,5,4,False,5
4317,restaurant suggestion,me,46,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4317,5,4,False,5
2449,pto request,routing,45,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2449,5,4,False,5
5020,change volume,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",5020,5,4,False,5
396,credit score,replacement,90,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",396,5,4,False,5
1307,what is your name,repeat,13,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1307,5,4,False,5
3802,car rental,shopping list,43,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3802,5,4,False,5
1860,oil change when,schedule maintenance,131,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1860,5,4,False,5
2767,find phone,how busy,102,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2767,5,4,False,5
2140,recipe,ingredient,134,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2140,5,4,False,5
427,time,time,4,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",427,5,4,False,5
3982,cancel,calendar update,105,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3982,5,4,False,5
509,flight status,flight,80,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",509,5,4,False,5
726,oos,restaurant res,23,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",726,5,4,False,5
1384,yes,yes,107,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1384,5,4,False,5
3426,travel alert,v,52,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3426,5,4,False,5
1407,yes,yes,107,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1407,5,4,False,5
3990,are you a bot,are,117,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3990,5,4,False,5
1600,no,no,30,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1600,5,4,False,5
4182,what is your name,change ai,55,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4182,5,4,False,5
3096,pto request,report fra,70,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3096,5,4,False,5
638,what can i ask you,what can,115,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",638,5,4,False,5
4536,how old are you,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4536,5,4,False,5
5423,weather,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",5423,5,4,False,5
3046,meeting schedule,meeting,19,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3046,5,4,False,5
5045,book hotel,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",5045,5,4,False,5
4998,where are you from,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4998,5,4,False,5
2262,change language,change acc,51,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2262,5,4,False,5
211,travel alert,travel alert,128,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",211,5,4,False,5
1011,next song,next song,118,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1011,5,4,False,5
2025,redeem rewards,food,54,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",2025,5,4,False,5
658,what can i ask you,what can,115,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",658,5,4,False,5
1762,what is your name,calcul,138,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1762,5,4,False,5
4837,how old are you,o,42,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4837,5,4,False,5
305,fun fact,fun,129,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",305,5,4,False,5
1366,change speed,oil change when,123,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1366,5,4,False,5
1617,no,no,30,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1617,5,4,False,5
367,payday,payday,79,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",367,5,4,False,5
4221,how old are you,how old,99,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",4221,5,4,False,5
3819,text,text,26,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",3819,5,4,False,5
1148,how old are you,spending,71,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",1148,5,4,False,5
449,time,time,4,False,True,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",449,5,4,False,5
191,lost luggage,find,81,False,False,False,"{127: 1, 6: 1, 89: 1, 91: 1, 33: 1}","[461, 7942, 1370, 15227, 369]",191,5,4,False,5
