,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2879,routing,routing,45,True,True,True,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",2879,50,3,False,50
1692,greeting,gre,82,True,True,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",1692,50,3,False,50
7507,account blocked,account,2,True,True,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",7507,50,3,False,50
1347,replacement card duration,replacement,90,True,True,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",1347,50,3,False,50
3230,are you a bot,are,117,True,True,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",3230,50,3,False,50
15080,timer,timer,32,True,True,True,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",15080,50,3,False,50
7255,how old are you,calcul,138,True,False,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",7255,50,3,False,50
13562,ingredients list,ingredients,112,True,True,False,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",13562,50,3,False,50
4998,income,income,93,True,True,True,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",4998,50,3,False,50
11855,transactions,transactions,68,True,True,True,"{45: 2, 82: 1, 2: 1, 90: 1, 117: 1, 32: 2, 138: 1, 112: 1, 93: 1, 68: 1, 131: 1, 107: 1, 23: 1, 125: 1, 27: 1, 15: 1, 142: 1, 134: 1, 136: 1, 11: 1, 106: 1, 18: 1, 22: 1, 4: 1, 12: 1, 86: 1, 52: 1, 95: 1, 14: 1, 135: 1, 109: 2, 7: 1, 5: 1, 57: 1, 111: 1, 141: 1, 34: 1, 150: 2, 88: 1, 69: 1, 145: 1, 61: 1, 51: 1, 39: 1, 102: 1, 79: 1}","[2879, 1692, 7507, 1347, 3230, 15080, 7255, 13562, 4998, 11855, 4054, 7384, 3578, 11793, 2834, 12215, 2763, 7192, 13871, 5304, 12129, 2318, 3139, 14673, 8492, 5820, 8943, 4593, 11834, 4413, 10128, 7476, 9970, 4327, 4295, 5038, 913, 5613, 12943, 5959, 3157, 7015, 4941, 1500, 3657, 3817, 10143, 5872, 14494, 583]",11855,50,3,False,50
