,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1767,reset settings,reset,88,False,True,False,{143: 1},[748],1767,1,8,False
1897,where are you from,share,58,False,False,False,{143: 1},[748],1897,1,8,False
1010,roll dice,roll,92,False,True,False,{143: 1},[748],1010,1,8,False
1942,gas,gas,110,False,True,False,{143: 1},[748],1942,1,8,False
1130,make call,make,25,False,True,False,{143: 1},[748],1130,1,8,False
711,lost luggage,lost,113,False,True,False,{143: 1},[748],711,1,8,False
1489,what is your name,what song,21,False,False,False,{143: 1},[748],1489,1,8,False
384,change user name,oil change how,3,False,False,False,{143: 1},[748],384,1,8,False
144,travel alert,travel alert,128,False,True,False,{143: 1},[748],144,1,8,False
1811,direct deposit,direct,108,False,True,False,{143: 1},[748],1811,1,8,False
468,who made you,who made,96,False,True,False,{143: 1},[748],468,1,8,False
2021,cancel reservation,cancel,67,False,True,False,{143: 1},[748],2021,1,8,False
689,update playlist,pto request status,101,False,False,False,{143: 1},[748],689,1,8,False
1540,cancel reservation,report,70,False,False,False,{143: 1},[748],1540,1,8,False
2050,who do you work for,change ai,55,False,False,False,{143: 1},[748],2050,1,8,False
1246,date,schedule,18,False,False,False,{143: 1},[748],1246,1,8,False
1141,alarm,alarm,83,False,True,False,{143: 1},[748],1141,1,8,False
2008,what is your name,update,141,False,False,False,{143: 1},[748],2008,1,8,False
406,balance,balance,35,False,True,False,{143: 1},[748],406,1,8,False
2090,car rental,car,40,False,True,False,{143: 1},[748],2090,1,8,False
243,change user name,change user,144,False,True,False,{143: 1},[748],243,1,8,False
1969,expiration date,exp,44,False,True,False,{143: 1},[748],1969,1,8,False
1803,direct deposit,direct,108,False,True,False,{143: 1},[748],1803,1,8,False
582,restaurant suggestion,restaurant,145,False,True,False,{143: 1},[748],582,1,8,False
2199,income,income,93,False,True,False,{143: 1},[748],2199,1,8,False
1636,travel alert,international,59,False,False,False,{143: 1},[748],1636,1,8,False
885,carry on,carry,62,False,True,False,{143: 1},[748],885,1,8,False
1976,expiration date,exp,44,False,True,False,{143: 1},[748],1976,1,8,False
465,who made you,who made,96,False,True,False,{143: 1},[748],465,1,8,False
2084,car rental,car,40,False,True,False,{143: 1},[748],2084,1,8,False
163,pto request,pto request,97,False,True,False,{143: 1},[748],163,1,8,False
302,make call,sho,125,False,False,False,{143: 1},[748],302,1,8,False
2193,what is your name,income,93,False,False,False,{143: 1},[748],2193,1,8,False
298,where are you from,where,77,False,True,False,{143: 1},[748],298,1,8,False
1319,tire change,t,47,False,True,False,{143: 1},[748],1319,1,8,False
18,transfer,transfer,133,False,True,False,{143: 1},[748],18,1,8,False
377,change user name,oil change how,3,False,False,False,{143: 1},[748],377,1,8,False
2226,order,order,16,False,True,False,{143: 1},[748],2226,1,8,False
214,flip coin,f,33,False,True,False,{143: 1},[748],214,1,8,False
467,who made you,who made,96,False,True,False,{143: 1},[748],467,1,8,False
1556,report fraud,report,70,False,True,False,{143: 1},[748],1556,1,8,False
784,todo list update,todo,65,False,True,False,{143: 1},[748],784,1,8,False
1179,where are you from,bill,56,False,False,False,{143: 1},[748],1179,1,8,False
2073,car rental,car,40,False,True,False,{143: 1},[748],2073,1,8,False
714,where are you from,lost,113,False,False,False,{143: 1},[748],714,1,8,False
1533,report fraud,report,70,False,True,False,{143: 1},[748],1533,1,8,False
1585,find phone,current,136,False,False,False,{143: 1},[748],1585,1,8,False
1504,car rental,last,37,False,False,False,{143: 1},[748],1504,1,8,False
381,change user name,oil change how,3,False,False,False,{143: 1},[748],381,1,8,False
854,date,date,95,False,True,False,{143: 1},[748],854,1,8,False
281,where are you from,where,77,False,True,False,{143: 1},[748],281,1,8,False
195,change language,change language,29,False,True,False,{143: 1},[748],195,1,8,False
978,pto request,sync,130,False,False,False,{143: 1},[748],978,1,8,False
46,timer,timer,32,False,True,False,{143: 1},[748],46,1,8,False
1734,spelling,sp,73,False,True,False,{143: 1},[748],1734,1,8,False
1192,bill due,bill,56,False,True,False,{143: 1},[748],1192,1,8,False
2171,recipe,reci,104,False,True,False,{143: 1},[748],2171,1,8,False
202,change language,change language,29,False,True,False,{143: 1},[748],202,1,8,False
23,what is your name,transfer,133,False,False,False,{143: 1},[748],23,1,8,False
891,carry on,carry,62,False,True,False,{143: 1},[748],891,1,8,False
112,where are you from,find,81,False,False,False,{143: 1},[748],112,1,8,False
1974,date,exp,44,False,False,False,{143: 1},[748],1974,1,8,False
2203,income,income,93,False,True,False,{143: 1},[748],2203,1,8,False
875,travel alert,carry,62,False,False,False,{143: 1},[748],875,1,8,False
1842,interest rate,interest,7,False,True,False,{143: 1},[748],1842,1,8,False
502,distance,distance,78,False,True,False,{143: 1},[748],502,1,8,False
1934,gas,gas,110,False,True,False,{143: 1},[748],1934,1,8,False
2164,how busy,reci,104,False,False,False,{143: 1},[748],2164,1,8,False
15,transfer,transfer,133,False,True,False,{143: 1},[748],15,1,8,False
1817,how busy,direct,108,False,False,False,{143: 1},[748],1817,1,8,False
1420,how busy,how,102,False,True,False,{143: 1},[748],1420,1,8,False
352,what can i ask you,what can,115,False,True,False,{143: 1},[748],352,1,8,False
2081,where are you from,car,40,False,False,False,{143: 1},[748],2081,1,8,False
1665,date,pto balance,126,False,False,False,{143: 1},[748],1665,1,8,False
1292,tire change,t,47,False,True,False,{143: 1},[748],1292,1,8,False
969,cancel reservation,sync,130,False,False,False,{143: 1},[748],969,1,8,False
1576,where are you from,current,136,False,False,False,{143: 1},[748],1576,1,8,False
1599,min payment,min,143,True,True,False,{143: 1},[748],1599,1,8,False
1215,routing,routing,45,False,True,False,{143: 1},[748],1215,1,8,False
1956,expiration date,exp,44,False,True,False,{143: 1},[748],1956,1,8,False
1242,where are you from,schedule,18,False,False,False,{143: 1},[748],1242,1,8,False
1135,make call,make,25,False,True,False,{143: 1},[748],1135,1,8,False
1393,who do you work for,who do,57,False,True,False,{143: 1},[748],1393,1,8,False
1698,gas,directions,72,False,False,False,{143: 1},[748],1698,1,8,False
989,make call,sync,130,False,False,False,{143: 1},[748],989,1,8,False
855,date,date,95,False,True,False,{143: 1},[748],855,1,8,False
1250,schedule meeting,schedule,18,False,True,False,{143: 1},[748],1250,1,8,False
924,pto balance,pto used,148,False,False,False,{143: 1},[748],924,1,8,False
1313,tire change,t,47,False,True,False,{143: 1},[748],1313,1,8,False
980,make call,sync,130,False,False,False,{143: 1},[748],980,1,8,False
2130,goodbye,me,46,False,False,False,{143: 1},[748],2130,1,8,False
2196,what is your name,income,93,False,False,False,{143: 1},[748],2196,1,8,False
930,travel alert,travel notification,146,False,False,False,{143: 1},[748],930,1,8,False
1524,last maintenance,last,37,False,True,False,{143: 1},[748],1524,1,8,False
2249,order,order,16,False,True,False,{143: 1},[748],2249,1,8,False
1012,roll dice,roll,92,False,True,False,{143: 1},[748],1012,1,8,False
901,how busy,pto used,148,False,False,False,{143: 1},[748],901,1,8,False
1483,find phone,what song,21,False,False,False,{143: 1},[748],1483,1,8,False
82,meaning of life,meaning,22,False,True,False,{143: 1},[748],82,1,8,False
1741,reset settings,reset,88,False,True,False,{143: 1},[748],1741,1,8,False
972,make call,sync,130,False,False,False,{143: 1},[748],972,1,8,False
433,who do you work for,confirm,85,False,False,False,{143: 1},[748],433,1,8,False
1877,what is your name,what are,15,False,False,False,{143: 1},[748],1877,1,8,False
706,lost luggage,lost,113,False,True,False,{143: 1},[748],706,1,8,False
235,flip coin,f,33,False,True,False,{143: 1},[748],235,1,8,False
2002,find phone,update,141,False,False,False,{143: 1},[748],2002,1,8,False
1137,make call,make,25,False,True,False,{143: 1},[748],1137,1,8,False
1094,oil change how,ing,134,False,False,False,{143: 1},[748],1094,1,8,False
