,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
210,description,description,2,False,True,False,{5: 1},[1459],210,1,3,False
73,numeric,numeric,5,True,True,True,{5: 1},[1459],73,1,3,False
120,numeric,description,2,False,False,True,{5: 1},[1459],120,1,3,False
151,numeric,numeric,5,True,True,True,{5: 1},[1459],151,1,3,False
187,numeric,entity,1,False,False,True,{5: 1},[1459],187,1,3,False
17,numeric,numeric,5,True,True,True,{5: 1},[1459],17,1,3,False
127,numeric,entity,1,False,False,True,{5: 1},[1459],127,1,3,False
79,numeric,numeric,5,True,True,True,{5: 1},[1459],79,1,3,False
312,description,description,2,False,True,False,{5: 1},[1459],312,1,3,False
15,numeric,description,2,False,False,True,{5: 1},[1459],15,1,3,False
55,numeric,description,2,False,False,True,{5: 1},[1459],55,1,3,False
45,numeric,numeric,5,True,True,True,{5: 1},[1459],45,1,3,False
103,numeric,description,2,False,False,True,{5: 1},[1459],103,1,3,False
75,numeric,numeric,5,True,True,True,{5: 1},[1459],75,1,3,False
167,numeric,entity,1,False,False,True,{5: 1},[1459],167,1,3,False
243,numeric,description,2,False,False,True,{5: 1},[1459],243,1,3,False
311,numeric,entity,1,False,False,True,{5: 1},[1459],311,1,3,False
257,numeric,description,2,False,False,True,{5: 1},[1459],257,1,3,False
114,numeric,numeric,5,True,True,True,{5: 1},[1459],114,1,3,False
142,numeric,numeric,5,True,True,True,{5: 1},[1459],142,1,3,False
336,description,description,2,False,True,False,{5: 1},[1459],336,1,3,False
83,numeric,numeric,5,True,True,True,{5: 1},[1459],83,1,3,False
212,numeric,description,2,False,False,True,{5: 1},[1459],212,1,3,False
144,description,description,2,False,True,False,{5: 1},[1459],144,1,3,False
246,entity,description,2,False,False,False,{5: 1},[1459],246,1,3,False
168,description,description,2,False,True,False,{5: 1},[1459],168,1,3,False
30,numeric,entity,1,False,False,True,{5: 1},[1459],30,1,3,False
60,numeric,numeric,5,True,True,True,{5: 1},[1459],60,1,3,False
180,numeric,entity,1,False,False,True,{5: 1},[1459],180,1,3,False
69,numeric,entity,1,False,False,True,{5: 1},[1459],69,1,3,False
165,numeric,entity,1,False,False,True,{5: 1},[1459],165,1,3,False
95,numeric,description,2,False,False,True,{5: 1},[1459],95,1,3,False
344,description,description,2,False,True,False,{5: 1},[1459],344,1,3,False
145,numeric,numeric,5,True,True,True,{5: 1},[1459],145,1,3,False
38,numeric,numeric,5,True,True,True,{5: 1},[1459],38,1,3,False
135,numeric,description,2,False,False,True,{5: 1},[1459],135,1,3,False
94,numeric,entity,1,False,False,True,{5: 1},[1459],94,1,3,False
162,numeric,description,2,False,False,True,{5: 1},[1459],162,1,3,False
220,numeric,description,2,False,False,True,{5: 1},[1459],220,1,3,False
18,numeric,description,2,False,False,True,{5: 1},[1459],18,1,3,False
29,entity,entity,1,False,True,False,{5: 1},[1459],29,1,3,False
276,numeric,entity,1,False,False,True,{5: 1},[1459],276,1,3,False
301,numeric,entity,1,False,False,True,{5: 1},[1459],301,1,3,False
122,numeric,entity,1,False,False,True,{5: 1},[1459],122,1,3,False
205,numeric,numeric,5,True,True,True,{5: 1},[1459],205,1,3,False
269,numeric,entity,1,False,False,True,{5: 1},[1459],269,1,3,False
281,numeric,description,2,False,False,True,{5: 1},[1459],281,1,3,False
300,numeric,entity,1,False,False,True,{5: 1},[1459],300,1,3,False
332,description,description,2,False,True,False,{5: 1},[1459],332,1,3,False
240,description,description,2,False,True,False,{5: 1},[1459],240,1,3,False
41,numeric,entity,1,False,False,True,{5: 1},[1459],41,1,3,False
140,numeric,description,2,False,False,True,{5: 1},[1459],140,1,3,False
314,numeric,entity,1,False,False,True,{5: 1},[1459],314,1,3,False
296,description,description,2,False,True,False,{5: 1},[1459],296,1,3,False
289,description,description,2,False,True,False,{5: 1},[1459],289,1,3,False
159,numeric,description,2,False,False,True,{5: 1},[1459],159,1,3,False
65,description,description,2,False,True,False,{5: 1},[1459],65,1,3,False
35,description,description,2,False,True,False,{5: 1},[1459],35,1,3,False
138,description,description,2,False,True,False,{5: 1},[1459],138,1,3,False
179,numeric,description,2,False,False,True,{5: 1},[1459],179,1,3,False
68,numeric,numeric,5,True,True,True,{5: 1},[1459],68,1,3,False
261,numeric,description,2,False,False,True,{5: 1},[1459],261,1,3,False
239,numeric,entity,1,False,False,True,{5: 1},[1459],239,1,3,False
106,numeric,numeric,5,True,True,True,{5: 1},[1459],106,1,3,False
116,numeric,numeric,5,True,True,True,{5: 1},[1459],116,1,3,False
1,numeric,description,2,False,False,True,{5: 1},[1459],1,1,3,False
70,numeric,numeric,5,True,True,True,{5: 1},[1459],70,1,3,False
328,numeric,entity,1,False,False,True,{5: 1},[1459],328,1,3,False
241,numeric,numeric,5,True,True,True,{5: 1},[1459],241,1,3,False
273,numeric,description,2,False,False,True,{5: 1},[1459],273,1,3,False
13,numeric,description,2,False,False,True,{5: 1},[1459],13,1,3,False
213,numeric,numeric,5,True,True,True,{5: 1},[1459],213,1,3,False
3,numeric,numeric,5,True,True,True,{5: 1},[1459],3,1,3,False
56,numeric,description,2,False,False,True,{5: 1},[1459],56,1,3,False
169,numeric,numeric,5,True,True,True,{5: 1},[1459],169,1,3,False
230,numeric,entity,1,False,False,True,{5: 1},[1459],230,1,3,False
66,numeric,description,2,False,False,True,{5: 1},[1459],66,1,3,False
172,numeric,numeric,5,True,True,True,{5: 1},[1459],172,1,3,False
221,numeric,numeric,5,True,True,True,{5: 1},[1459],221,1,3,False
329,numeric,entity,1,False,False,True,{5: 1},[1459],329,1,3,False
11,description,description,2,False,True,False,{5: 1},[1459],11,1,3,False
324,numeric,entity,1,False,False,True,{5: 1},[1459],324,1,3,False
126,numeric,description,2,False,False,True,{5: 1},[1459],126,1,3,False
