,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2782,find phone,how busy,102,False,False,False,{1: 1},[8884],2782,1,9,False
4050,card declined,exp,44,False,False,False,{1: 1},[8884],4050,1,9,False
3387,nutrition info,cancel,147,False,False,False,{1: 1},[8884],3387,1,9,False
4122,cancel,cancel res,67,False,False,False,{1: 1},[8884],4122,1,9,False
4317,restaurant suggestion,me,46,False,False,False,{1: 1},[8884],4317,1,9,False
2449,routing,routing,45,False,True,False,{1: 1},[8884],2449,1,9,False
5020,change volume,o,42,False,False,False,{1: 1},[8884],5020,1,9,False
396,time,replacement,90,False,False,False,{1: 1},[8884],396,1,9,False
1307,what is your name,repeat,13,False,False,False,{1: 1},[8884],1307,1,9,False
3802,nutrition info,shopping list,43,False,False,False,{1: 1},[8884],3802,1,9,False
1860,make call,schedule maintenance,131,False,False,False,{1: 1},[8884],1860,1,9,False
2767,find phone,how busy,102,False,False,False,{1: 1},[8884],2767,1,9,False
2140,nutrition info,ingredient,134,False,False,False,{1: 1},[8884],2140,1,9,False
427,time,time,4,False,True,False,{1: 1},[8884],427,1,9,False
3982,calendar,calendar update,105,False,False,False,{1: 1},[8884],3982,1,9,False
509,flight status,flight,80,False,True,False,{1: 1},[8884],509,1,9,False
726,make call,restaurant res,23,False,False,False,{1: 1},[8884],726,1,9,False
1384,nutrition info,yes,107,False,False,False,{1: 1},[8884],1384,1,9,False
3426,travel alert,v,52,False,False,False,{1: 1},[8884],3426,1,9,False
1407,nutrition info,yes,107,False,False,False,{1: 1},[8884],1407,1,9,False
3990,are you a bot,are,117,False,True,False,{1: 1},[8884],3990,1,9,False
1600,no,no,30,False,True,False,{1: 1},[8884],1600,1,9,False
4182,how old are you,change ai,55,False,False,False,{1: 1},[8884],4182,1,9,False
3096,bill balance,report fra,70,False,False,False,{1: 1},[8884],3096,1,9,False
638,what can i ask you,what can,115,False,True,False,{1: 1},[8884],638,1,9,False
4536,how old are you,o,42,False,False,False,{1: 1},[8884],4536,1,9,False
5423,weather,o,42,False,False,False,{1: 1},[8884],5423,1,9,False
3046,meeting schedule,meeting,19,False,True,False,{1: 1},[8884],3046,1,9,False
5045,find phone,o,42,False,False,False,{1: 1},[8884],5045,1,9,False
4998,where are you from,o,42,False,False,False,{1: 1},[8884],4998,1,9,False
2262,nutrition info,change acc,51,False,False,False,{1: 1},[8884],2262,1,9,False
211,travel alert,travel alert,128,False,True,False,{1: 1},[8884],211,1,9,False
1011,next song,next song,118,False,True,False,{1: 1},[8884],1011,1,9,False
2025,nutrition info,food,54,False,False,False,{1: 1},[8884],2025,1,9,False
658,what can i ask you,what can,115,False,True,False,{1: 1},[8884],658,1,9,False
1762,what is your name,calcul,138,False,False,False,{1: 1},[8884],1762,1,9,False
4837,how old are you,o,42,False,False,False,{1: 1},[8884],4837,1,9,False
305,fun fact,fun,129,False,True,False,{1: 1},[8884],305,1,9,False
1366,change user name,oil change when,123,False,False,False,{1: 1},[8884],1366,1,9,False
1617,nutrition info,no,30,False,False,False,{1: 1},[8884],1617,1,9,False
367,payday,payday,79,False,True,False,{1: 1},[8884],367,1,9,False
4221,tell joke,how old,99,False,False,False,{1: 1},[8884],4221,1,9,False
3819,text,text,26,False,True,False,{1: 1},[8884],3819,1,9,False
1148,nutrition info,spending,71,False,False,False,{1: 1},[8884],1148,1,9,False
449,time,time,4,False,True,False,{1: 1},[8884],449,1,9,False
191,lost luggage,find,81,False,False,False,{1: 1},[8884],191,1,9,False
1431,find phone,travel suggestion,149,False,False,False,{1: 1},[8884],1431,1,9,False
3440,travel alert,v,52,False,False,False,{1: 1},[8884],3440,1,9,False
5098,spelling,o,42,False,False,False,{1: 1},[8884],5098,1,9,False
4072,card declined,exp,44,False,False,False,{1: 1},[8884],4072,1,9,False
2483,do you have pets,do,34,False,True,False,{1: 1},[8884],2483,1,9,False
675,nutrition info,maybe,121,False,False,False,{1: 1},[8884],675,1,9,False
1773,what is your name,date,95,False,False,False,{1: 1},[8884],1773,1,9,False
1541,tire change,change speed,119,False,False,False,{1: 1},[8884],1541,1,9,False
549,make call,change user,144,False,False,False,{1: 1},[8884],549,1,9,False
19,how old are you,translate,61,False,False,False,{1: 1},[8884],19,1,9,False
2953,find phone,what song,21,False,False,False,{1: 1},[8884],2953,1,9,False
738,book hotel,restaurant res,23,False,False,False,{1: 1},[8884],738,1,9,False
1909,tell joke,travel notification,146,False,False,False,{1: 1},[8884],1909,1,9,False
2779,mpg,how busy,102,False,False,False,{1: 1},[8884],2779,1,9,False
2177,make call,make,25,False,True,False,{1: 1},[8884],2177,1,9,False
146,meaning of life,meaning,22,False,True,False,{1: 1},[8884],146,1,9,False
4110,cancel reservation,cancel res,67,False,True,False,{1: 1},[8884],4110,1,9,False
5206,find phone,o,42,False,False,False,{1: 1},[8884],5206,1,9,False
4081,play music,update,141,False,False,False,{1: 1},[8884],4081,1,9,False
143,nutrition info,meaning,22,False,False,False,{1: 1},[8884],143,1,9,False
1661,nutrition info,nut,1,True,True,False,{1: 1},[8884],1661,1,9,False
3363,cancel,cancel,147,False,True,False,{1: 1},[8884],3363,1,9,False
4482,food last,card,49,False,False,False,{1: 1},[8884],4482,1,9,False
2374,report lost card,dam,87,False,False,False,{1: 1},[8884],2374,1,9,False
4413,traffic,traffic,24,False,True,False,{1: 1},[8884],4413,1,9,False
1430,find phone,travel suggestion,149,False,False,False,{1: 1},[8884],1430,1,9,False
1359,oil change when,oil change when,123,False,True,False,{1: 1},[8884],1359,1,9,False
5196,make call,o,42,False,False,False,{1: 1},[8884],5196,1,9,False
1566,tire pressure,tire pressure,98,False,True,False,{1: 1},[8884],1566,1,9,False
1861,find phone,schedule maintenance,131,False,False,False,{1: 1},[8884],1861,1,9,False
4431,traffic,traffic,24,False,True,False,{1: 1},[8884],4431,1,9,False
4982,weather,o,42,False,False,False,{1: 1},[8884],4982,1,9,False
1729,uber,u,39,False,True,False,{1: 1},[8884],1729,1,9,False
4025,directions,gas,110,False,False,False,{1: 1},[8884],4025,1,9,False
4112,cancel,cancel res,67,False,False,False,{1: 1},[8884],4112,1,9,False
1321,gas,m,142,False,False,False,{1: 1},[8884],1321,1,9,False
5364,text,o,42,False,False,False,{1: 1},[8884],5364,1,9,False
4568,nutrition info,o,42,False,False,False,{1: 1},[8884],4568,1,9,False
4641,how old are you,o,42,False,False,False,{1: 1},[8884],4641,1,9,False
3840,order,bill balance,27,False,False,False,{1: 1},[8884],3840,1,9,False
851,rollover 401k,rol,100,False,True,False,{1: 1},[8884],851,1,9,False
369,date,payday,79,False,False,False,{1: 1},[8884],369,1,9,False
930,how old are you,user,11,False,False,False,{1: 1},[8884],930,1,9,False
472,application status,application,103,False,True,False,{1: 1},[8884],472,1,9,False
2302,w2,w,122,False,True,False,{1: 1},[8884],2302,1,9,False
308,nutrition info,fun,129,False,False,False,{1: 1},[8884],308,1,9,False
2434,routing,routing,45,False,True,False,{1: 1},[8884],2434,1,9,False
2824,find phone,order status,84,False,False,False,{1: 1},[8884],2824,1,9,False
3151,change volume,smart,10,False,False,False,{1: 1},[8884],3151,1,9,False
4096,play music,update,141,False,False,False,{1: 1},[8884],4096,1,9,False
3493,find phone,directions,72,False,False,False,{1: 1},[8884],3493,1,9,False
2897,goodbye,good,114,False,True,False,{1: 1},[8884],2897,1,9,False
2794,restaurant reservation,accept,9,False,False,False,{1: 1},[8884],2794,1,9,False
4214,date,how old,99,False,False,False,{1: 1},[8884],4214,1,9,False
3001,car rental,last,37,False,False,False,{1: 1},[8884],3001,1,9,False
4607,what are your hobbies,o,42,False,False,False,{1: 1},[8884],4607,1,9,False
466,credit score,application,103,False,False,False,{1: 1},[8884],466,1,9,False
1152,nutrition info,spending,71,False,False,False,{1: 1},[8884],1152,1,9,False
1427,fun fact,travel suggestion,149,False,False,False,{1: 1},[8884],1427,1,9,False
3032,calendar,meeting,19,False,False,False,{1: 1},[8884],3032,1,9,False
1082,travel alert,rewards,50,False,False,False,{1: 1},[8884],1082,1,9,False
2399,cancel,dam,87,False,False,False,{1: 1},[8884],2399,1,9,False
3100,confirm reservation,report fra,70,False,False,False,{1: 1},[8884],3100,1,9,False
1392,nutrition info,yes,107,False,False,False,{1: 1},[8884],1392,1,9,False
4760,nutrition info,o,42,False,False,False,{1: 1},[8884],4760,1,9,False
1081,rewards balance,rewards,50,False,True,False,{1: 1},[8884],1081,1,9,False
2687,mpg,change volume,150,False,False,False,{1: 1},[8884],2687,1,9,False
3593,nutrition info,reset,88,False,False,False,{1: 1},[8884],3593,1,9,False
2948,what song,what song,21,False,True,False,{1: 1},[8884],2948,1,9,False
5298,what can i ask you,o,42,False,False,False,{1: 1},[8884],5298,1,9,False
3924,redeem rewards,rede,6,False,True,False,{1: 1},[8884],3924,1,9,False
3824,text,text,26,False,True,False,{1: 1},[8884],3824,1,9,False
1591,nutrition info,no,30,False,False,False,{1: 1},[8884],1591,1,9,False
527,flip coin,f,33,False,True,False,{1: 1},[8884],527,1,9,False
3330,nutrition info,whisper,14,False,False,False,{1: 1},[8884],3330,1,9,False
3110,mpg,report fra,70,False,False,False,{1: 1},[8884],3110,1,9,False
2263,change accent,change acc,51,False,True,False,{1: 1},[8884],2263,1,9,False
2720,who do you work for,who do,57,False,True,False,{1: 1},[8884],2720,1,9,False
4309,what is your name,me,46,False,False,False,{1: 1},[8884],4309,1,9,False
4999,how old are you,o,42,False,False,False,{1: 1},[8884],4999,1,9,False
218,travel alert,travel alert,128,False,True,False,{1: 1},[8884],218,1,9,False
3259,weather,weather,5,False,True,False,{1: 1},[8884],3259,1,9,False
5450,how old are you,o,42,False,False,False,{1: 1},[8884],5450,1,9,False
4404,order,order,16,False,True,False,{1: 1},[8884],4404,1,9,False
4139,cancel reservation,cancel res,67,False,True,False,{1: 1},[8884],4139,1,9,False
1766,what is your name,calcul,138,False,False,False,{1: 1},[8884],1766,1,9,False
2543,car rental,gas type,8,False,False,False,{1: 1},[8884],2543,1,9,False
3304,bill balance,min,143,False,False,False,{1: 1},[8884],3304,1,9,False
278,credit score,improve,28,False,False,False,{1: 1},[8884],278,1,9,False
1008,next song,next song,118,False,True,False,{1: 1},[8884],1008,1,9,False
978,timezone,timezone,66,False,True,False,{1: 1},[8884],978,1,9,False
3787,shopping list,shopping list,43,False,True,False,{1: 1},[8884],3787,1,9,False
859,roll dice,rol,100,False,False,False,{1: 1},[8884],859,1,9,False
5414,find phone,o,42,False,False,False,{1: 1},[8884],5414,1,9,False
3376,cancel,cancel,147,False,True,False,{1: 1},[8884],3376,1,9,False
3175,oos,smart,10,False,False,False,{1: 1},[8884],3175,1,9,False
2200,alarm,alarm,83,False,True,False,{1: 1},[8884],2200,1,9,False
365,payday,payday,79,False,True,False,{1: 1},[8884],365,1,9,False
5495,find phone,o,42,False,False,False,{1: 1},[8884],5495,1,9,False
1757,do you have pets,calcul,138,False,False,False,{1: 1},[8884],1757,1,9,False
1904,travel alert,travel notification,146,False,False,False,{1: 1},[8884],1904,1,9,False
2450,routing,routing,45,False,True,False,{1: 1},[8884],2450,1,9,False
5082,weather,o,42,False,False,False,{1: 1},[8884],5082,1,9,False
1247,card declined,new,91,False,False,False,{1: 1},[8884],1247,1,9,False
3528,spelling,spelling,73,False,True,False,{1: 1},[8884],3528,1,9,False
648,what are your hobbies,what can,115,False,False,False,{1: 1},[8884],648,1,9,False
3532,spelling,spelling,73,False,True,False,{1: 1},[8884],3532,1,9,False
4295,meal suggestion,me,46,False,True,False,{1: 1},[8884],4295,1,9,False
5384,car rental,o,42,False,False,False,{1: 1},[8884],5384,1,9,False
2915,account blocked,account,2,False,True,False,{1: 1},[8884],2915,1,9,False
3775,flight status,book flight,63,False,False,False,{1: 1},[8884],3775,1,9,False
4731,what is your name,o,42,False,False,False,{1: 1},[8884],4731,1,9,False
5321,where are you from,o,42,False,False,False,{1: 1},[8884],5321,1,9,False
3209,book hotel,book hotel,116,False,True,False,{1: 1},[8884],3209,1,9,False
5288,nutrition info,o,42,False,False,False,{1: 1},[8884],5288,1,9,False
4304,food last,me,46,False,False,False,{1: 1},[8884],4304,1,9,False
3703,credit limit,credit limit change,109,False,False,False,{1: 1},[8884],3703,1,9,False
551,change user name,change user,144,False,True,False,{1: 1},[8884],551,1,9,False
3163,oos,smart,10,False,False,False,{1: 1},[8884],3163,1,9,False
131,what is your name,meaning,22,False,False,False,{1: 1},[8884],131,1,9,False
855,rollover 401k,rol,100,False,True,False,{1: 1},[8884],855,1,9,False
2912,account blocked,account,2,False,True,False,{1: 1},[8884],2912,1,9,False
1333,mpg,m,142,False,True,False,{1: 1},[8884],1333,1,9,False
2362,nutrition info,cal,135,False,False,False,{1: 1},[8884],2362,1,9,False
3577,reset settings,reset,88,False,True,False,{1: 1},[8884],3577,1,9,False
4275,car rental,jump,17,False,False,False,{1: 1},[8884],4275,1,9,False
3552,greeting,gre,82,False,True,False,{1: 1},[8884],3552,1,9,False
4943,weather,o,42,False,False,False,{1: 1},[8884],4943,1,9,False
2147,nutrition info,ingredient,134,False,False,False,{1: 1},[8884],2147,1,9,False
3994,are you a bot,are,117,False,True,False,{1: 1},[8884],3994,1,9,False
5171,how old are you,o,42,False,False,False,{1: 1},[8884],5171,1,9,False
1482,do you have pets,todo list update,65,False,False,False,{1: 1},[8884],1482,1,9,False
4780,what is your name,o,42,False,False,False,{1: 1},[8884],4780,1,9,False
2734,credit limit,credit limit,41,False,True,False,{1: 1},[8884],2734,1,9,False
1320,car rental,m,142,False,False,False,{1: 1},[8884],1320,1,9,False
1357,next holiday,oil change when,123,False,False,False,{1: 1},[8884],1357,1,9,False
2788,restaurant reservation,how busy,102,False,False,False,{1: 1},[8884],2788,1,9,False
951,what is your name,user,11,False,False,False,{1: 1},[8884],951,1,9,False
601,shopping list,shopping list update,125,False,False,False,{1: 1},[8884],601,1,9,False
4192,make call,change ai,55,False,False,False,{1: 1},[8884],4192,1,9,False
2705,who do you work for,who do,57,False,True,False,{1: 1},[8884],2705,1,9,False
1382,nutrition info,yes,107,False,False,False,{1: 1},[8884],1382,1,9,False
1311,nutrition info,repeat,13,False,False,False,{1: 1},[8884],1311,1,9,False
1784,date,date,95,False,True,False,{1: 1},[8884],1784,1,9,False
3631,how old are you,direct,108,False,False,False,{1: 1},[8884],3631,1,9,False
1169,how old are you,spending,71,False,False,False,{1: 1},[8884],1169,1,9,False
2671,change volume,change volume,150,False,True,False,{1: 1},[8884],2671,1,9,False
1658,nutrition info,nut,1,True,True,False,{1: 1},[8884],1658,1,9,False
4834,what are your hobbies,o,42,False,False,False,{1: 1},[8884],4834,1,9,False
4573,how old are you,o,42,False,False,False,{1: 1},[8884],4573,1,9,False
3508,where are you from,directions,72,False,False,False,{1: 1},[8884],3508,1,9,False
1453,insurance,insurance,74,False,True,False,{1: 1},[8884],1453,1,9,False
2664,next holiday,next hol,140,False,True,False,{1: 1},[8884],2664,1,9,False
5234,what is your name,o,42,False,False,False,{1: 1},[8884],5234,1,9,False
1375,oil change when,oil change when,123,False,True,False,{1: 1},[8884],1375,1,9,False
2372,report lost card,dam,87,False,False,False,{1: 1},[8884],2372,1,9,False
2634,exchange rate,exchange,38,False,True,False,{1: 1},[8884],2634,1,9,False
4012,what is your name,are,117,False,False,False,{1: 1},[8884],4012,1,9,False
1650,nutrition info,nut,1,True,True,False,{1: 1},[8884],1650,1,9,False
4586,find phone,o,42,False,False,False,{1: 1},[8884],4586,1,9,False
4903,tire pressure,o,42,False,False,False,{1: 1},[8884],4903,1,9,False
2867,update playlist,pin,89,False,False,False,{1: 1},[8884],2867,1,9,False
5104,find phone,o,42,False,False,False,{1: 1},[8884],5104,1,9,False
1351,next holiday,oil change when,123,False,False,False,{1: 1},[8884],1351,1,9,False
2834,order,order status,84,False,False,False,{1: 1},[8884],2834,1,9,False
1964,thank you,thank,124,False,True,False,{1: 1},[8884],1964,1,9,False
1077,find phone,restaurant suggestion,145,False,False,False,{1: 1},[8884],1077,1,9,False
431,time,time,4,False,True,False,{1: 1},[8884],431,1,9,False
1338,mpg,m,142,False,True,False,{1: 1},[8884],1338,1,9,False
250,make call,pto request,97,False,False,False,{1: 1},[8884],250,1,9,False
4746,travel suggestion,o,42,False,False,False,{1: 1},[8884],4746,1,9,False
4500,how old are you,o,42,False,False,False,{1: 1},[8884],4500,1,9,False
4208,how old are you,how old,99,False,True,False,{1: 1},[8884],4208,1,9,False
4516,tire pressure,o,42,False,False,False,{1: 1},[8884],4516,1,9,False
5245,nutrition info,o,42,False,False,False,{1: 1},[8884],5245,1,9,False
4380,order,order,16,False,True,False,{1: 1},[8884],4380,1,9,False
3562,how old are you,gre,82,False,False,False,{1: 1},[8884],3562,1,9,False
569,change user name,change user,144,False,True,False,{1: 1},[8884],569,1,9,False
1856,nutrition info,pto used,148,False,False,False,{1: 1},[8884],1856,1,9,False
2906,goodbye,good,114,False,True,False,{1: 1},[8884],2906,1,9,False
1899,travel alert,travel notification,146,False,False,False,{1: 1},[8884],1899,1,9,False
1753,what is your name,calcul,138,False,False,False,{1: 1},[8884],1753,1,9,False
2956,play music,what song,21,False,False,False,{1: 1},[8884],2956,1,9,False
3801,nutrition info,shopping list,43,False,False,False,{1: 1},[8884],3801,1,9,False
2949,play music,what song,21,False,False,False,{1: 1},[8884],2949,1,9,False
4303,food last,me,46,False,False,False,{1: 1},[8884],4303,1,9,False
1261,flight status,lost,113,False,False,False,{1: 1},[8884],1261,1,9,False
5215,nutrition info,o,42,False,False,False,{1: 1},[8884],5215,1,9,False
5370,are you a bot,o,42,False,False,False,{1: 1},[8884],5370,1,9,False
1139,pay bill,pay bill,111,False,True,False,{1: 1},[8884],1139,1,9,False
2633,exchange rate,exchange,38,False,True,False,{1: 1},[8884],2633,1,9,False
4956,what is your name,o,42,False,False,False,{1: 1},[8884],4956,1,9,False
