,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,description manner,description definition,24,False,False,False,{27: 1},[2424],360,1,3,False
17,human individual,human individual,29,False,True,False,{27: 1},[2424],17,1,3,False
361,description manner,description definition,24,False,False,False,{27: 1},[2424],361,1,3,False
411,description description,entity subst,18,False,False,False,{27: 1},[2424],411,1,3,False
67,description manner,description definition,24,False,False,False,{27: 1},[2424],67,1,3,False
425,entity substance,entity other,13,False,False,False,{27: 1},[2424],425,1,3,False
104,entity other,location city,32,False,False,False,{27: 1},[2424],104,1,3,False
394,description manner,description definition,24,False,False,False,{27: 1},[2424],394,1,3,False
450,description definition,entity color,4,False,False,False,{27: 1},[2424],450,1,3,False
141,entity animal,entity animal,2,False,True,False,{27: 1},[2424],141,1,3,False
142,location country,location other,35,False,False,False,{27: 1},[2424],142,1,3,False
269,description manner,description manner,26,False,True,False,{27: 1},[2424],269,1,3,False
173,description manner,description definition,24,False,False,False,{27: 1},[2424],173,1,3,False
238,location country,location other,35,False,False,False,{27: 1},[2424],238,1,3,False
55,description definition,description definition,24,False,True,False,{27: 1},[2424],55,1,3,False
121,numeric count,numeric distance,40,False,False,False,{27: 1},[2424],121,1,3,False
260,human individual,human individual,29,False,True,False,{27: 1},[2424],260,1,3,False
62,location other,location other,35,False,True,False,{27: 1},[2424],62,1,3,False
185,human individual,human individual,29,False,True,False,{27: 1},[2424],185,1,3,False
429,human individual,human individual,29,False,True,False,{27: 1},[2424],429,1,3,False
97,description manner,description definition,24,False,False,False,{27: 1},[2424],97,1,3,False
340,numeric weight,numeric weight,49,False,True,False,{27: 1},[2424],340,1,3,False
496,entity currency,entity currency,6,False,True,False,{27: 1},[2424],496,1,3,False
183,description manner,description definition,24,False,False,False,{27: 1},[2424],183,1,3,False
393,location city,numeric other,43,False,False,False,{27: 1},[2424],393,1,3,False
15,numeric period,numeric other,43,False,False,False,{27: 1},[2424],15,1,3,False
162,entity language,numeric date,39,False,False,False,{27: 1},[2424],162,1,3,False
481,description manner,entity subst,18,False,False,False,{27: 1},[2424],481,1,3,False
332,entity animal,entity animal,2,False,True,False,{27: 1},[2424],332,1,3,False
251,description definition,location city,32,False,False,False,{27: 1},[2424],251,1,3,False
305,location country,location other,35,False,False,False,{27: 1},[2424],305,1,3,False
169,entity term,human individual,29,False,False,False,{27: 1},[2424],169,1,3,False
249,description manner,entity other,13,False,False,False,{27: 1},[2424],249,1,3,False
143,human individual,entity animal,2,False,False,False,{27: 1},[2424],143,1,3,False
396,description manner,description definition,24,False,False,False,{27: 1},[2424],396,1,3,False
71,description manner,numeric money,41,False,False,False,{27: 1},[2424],71,1,3,False
168,entity food,location state,36,False,False,False,{27: 1},[2424],168,1,3,False
199,description manner,entity subst,18,False,False,False,{27: 1},[2424],199,1,3,False
366,entity other,entity color,4,False,False,False,{27: 1},[2424],366,1,3,False
464,location other,location state,36,False,False,False,{27: 1},[2424],464,1,3,False
318,entity animal,entity other,13,False,False,False,{27: 1},[2424],318,1,3,False
242,entity color,description reason,27,True,False,False,{27: 1},[2424],242,1,3,False
