,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
2782,find phone,how busy,102,False,False,False,{28: 1},[4219],2782,1,1,False
4050,card declined,exp,44,False,False,False,{28: 1},[4219],4050,1,1,False
3387,cancel,cancel,147,False,True,False,{28: 1},[4219],3387,1,1,False
4122,cancel reservation,cancel res,67,False,True,False,{28: 1},[4219],4122,1,1,False
4317,food last,me,46,False,False,False,{28: 1},[4219],4317,1,1,False
2449,pto request,routing,45,False,False,False,{28: 1},[4219],2449,1,1,False
5020,improve credit score,o,42,False,False,False,{28: 1},[4219],5020,1,1,False
396,find phone,replacement,90,False,False,False,{28: 1},[4219],396,1,1,False
1307,what can i ask you,repeat,13,False,False,False,{28: 1},[4219],1307,1,1,False
3802,update playlist,shopping list,43,False,False,False,{28: 1},[4219],3802,1,1,False
1860,make call,schedule maintenance,131,False,False,False,{28: 1},[4219],1860,1,1,False
2767,find phone,how busy,102,False,False,False,{28: 1},[4219],2767,1,1,False
2140,food last,ingredient,134,False,False,False,{28: 1},[4219],2140,1,1,False
427,time,time,4,False,True,False,{28: 1},[4219],427,1,1,False
3982,cancel,calendar update,105,False,False,False,{28: 1},[4219],3982,1,1,False
509,flight status,flight,80,False,True,False,{28: 1},[4219],509,1,1,False
726,make call,restaurant res,23,False,False,False,{28: 1},[4219],726,1,1,False
1384,confirm reservation,yes,107,False,False,False,{28: 1},[4219],1384,1,1,False
3426,travel suggestion,v,52,False,False,False,{28: 1},[4219],3426,1,1,False
1407,improve credit score,yes,107,False,False,False,{28: 1},[4219],1407,1,1,False
3990,confirm reservation,are,117,False,False,False,{28: 1},[4219],3990,1,1,False
1600,no,no,30,False,True,False,{28: 1},[4219],1600,1,1,False
4182,improve credit score,change ai,55,False,False,False,{28: 1},[4219],4182,1,1,False
3096,find phone,report fra,70,False,False,False,{28: 1},[4219],3096,1,1,False
638,improve credit score,what can,115,False,False,False,{28: 1},[4219],638,1,1,False
4536,how old are you,o,42,False,False,False,{28: 1},[4219],4536,1,1,False
5423,weather,o,42,False,False,False,{28: 1},[4219],5423,1,1,False
3046,schedule meeting,meeting,19,False,False,False,{28: 1},[4219],3046,1,1,False
5045,find phone,o,42,False,False,False,{28: 1},[4219],5045,1,1,False
4998,where are you from,o,42,False,False,False,{28: 1},[4219],4998,1,1,False
2262,change language,change acc,51,False,False,False,{28: 1},[4219],2262,1,1,False
211,travel alert,travel alert,128,False,True,False,{28: 1},[4219],211,1,1,False
1011,play music,next song,118,False,False,False,{28: 1},[4219],1011,1,1,False
2025,how old are you,food,54,False,False,False,{28: 1},[4219],2025,1,1,False
658,what can i ask you,what can,115,False,True,False,{28: 1},[4219],658,1,1,False
