,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
1104,verify source of funds,verify,70,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",1104,100,6,False,100
472,top up limits,top up limits,60,True,True,True,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",472,100,6,False,100
1345,order physical card,order,43,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",1345,100,6,False,100
838,pending card payment,pending card,45,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",838,100,6,False,100
942,declined card payment,decl,25,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",942,100,6,False,100
707,atm support,at,3,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",707,100,6,False,100
378,virtual card not working,contact,23,False,False,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",378,100,6,False,100
1258,failed transfer,failed,35,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",1258,100,6,False,100
451,top up limits,top up limits,60,True,True,True,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",451,100,6,False,100
1467,top up by card charge,top up by card,57,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 5, 42: 5, 29: 2, 4: 3, 52: 3, 61: 5, 62: 4, 57: 6, 45: 2, 43: 6, 18: 3, 12: 2, 32: 2, 10: 1, 67: 1, 21: 2, 5: 2, 35: 4, 66: 6, 58: 3, 36: 4, 28: 3, 70: 2, 55: 2, 13: 3, 0: 4, 49: 1, 1: 1, 25: 2, 72: 2, 50: 2, 3: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453, 168, 4207, 1454, 2243, 3174, 1739, 1262, 2143, 1660, 849, 993, 4602, 2450, 3348, 106, 2946, 890, 4250, 2722, 3088, 2208, 4362, 3137, 2751, 2454, 1395, 2557, 2159, 1269, 2733, 1508, 3858, 3154, 2491, 259, 3847]",1467,100,6,False,100
