,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
3430,calendar query,news,45,True,False,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",3430,100,0,False
2596,music query,music li,42,True,False,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",2596,100,0,False
3083,datetime convert,transport traffic,66,False,False,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",3083,100,0,False
4420,social query,social post,59,False,False,False,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",4420,100,0,False
5418,alarm set,calendar set,9,True,False,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",5418,100,0,False
4839,qa stock,qa stock,55,True,True,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",4839,100,0,False
4527,iot wemo off,iot wemo off,36,False,True,False,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",4527,100,0,False
3327,recommendation events,general qu,27,True,False,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",3327,100,0,False
6345,general negate,general neg,25,True,True,False,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",6345,100,0,False
5766,play music,play music,48,True,True,True,"{33: 3, 27: 8, 11: 3, 50: 4, 53: 3, 28: 1, 25: 5, 43: 2, 42: 1, 15: 4, 48: 7, 12: 1, 7: 3, 17: 4, 65: 1, 39: 1, 20: 4, 26: 2, 8: 1, 29: 1, 6: 1, 22: 2, 40: 2, 13: 2, 38: 1, 18: 2, 9: 3, 51: 2, 52: 3, 49: 1, 46: 2, 55: 2, 24: 1, 2: 1, 16: 1, 67: 3, 45: 3, 21: 2, 1: 1, 56: 1, 47: 1, 61: 2, 34: 1, 3: 1}","[3610, 5370, 8528, 15904, 10505, 3975, 10034, 8270, 4479, 2464, 6659, 9032, 19228, 711, 4049, 5093, 6600, 2157, 2631, 8605, 9195, 635, 12530, 15234, 1370, 5558, 71, 11484, 2730, 4770, 11036, 12775, 15219, 16510, 6511, 12600, 15261, 15895, 17482, 10829, 9312, 5135, 13834, 10337, 1178, 17554, 7084, 3, 7260, 4891, 3998, 19170, 7523, 11282, 1227, 13249, 10122, 18497, 3694, 9074, 18954, 8383, 9821, 5101, 15155, 12752, 6604, 16474, 675, 6609, 7009, 1881, 11134, 715, 16925, 8805, 1647, 4937, 18361, 11671, 3159, 3032, 17264, 1874, 17368, 11490, 16995, 5863, 17882, 11646, 8128, 17513, 14806, 2879, 6920, 4074, 1376, 6131, 11237, 11626]",5766,100,0,False
