,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
889,email query contact,email query,16,True,True,False,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",889,75,9,False,75
2700,recommendation events,recommendation,56,True,True,False,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",2700,75,9,False,75
2458,music query,music li,42,False,False,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",2458,75,9,False,75
1000,recommendation events,recommendation,56,True,True,False,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",1000,75,9,False,75
2395,qa currency,qa currency,51,True,True,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",2395,75,9,False,75
1922,general explain,general explain,22,True,True,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",1922,75,9,False,75
1202,music query,music li,42,False,False,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",1202,75,9,False,75
1988,play podcasts,play pod,49,True,True,False,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",1988,75,9,False,75
1107,calendar set,calendar set,9,True,True,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",1107,75,9,False,75
2728,calendar query,calendar query,7,True,True,True,"{28: 2, 37: 1, 17: 6, 9: 11, 40: 2, 49: 3, 46: 3, 33: 5, 7: 8, 50: 2, 19: 2, 0: 1, 51: 3, 29: 2, 31: 3, 20: 2, 25: 5, 54: 1, 22: 5, 4: 1, 13: 2, 56: 2, 16: 1, 43: 1, 32: 1}","[6716, 5466, 5659, 4125, 2572, 497, 5453, 3145, 3652, 4105, 6126, 2525, 779, 1603, 4754, 4802, 6551, 1547, 1262, 4729, 3130, 8724, 8855, 6241, 3429, 5729, 8218, 5426, 6030, 1821, 3648, 5611, 3869, 8602, 8214, 420, 8538, 6983, 3965, 599, 8862, 5380, 7805, 1483, 3064, 4617, 1451, 6476, 7040, 6833, 4135, 3461, 6552, 241, 7259, 451, 7915, 4656, 2037, 7065, 5138, 3179, 4232, 8918, 4844, 3639, 2796, 1111, 6443, 2905, 4048, 1781, 334, 6445, 2011]",2728,75,9,False,75
