,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,general repeat,music settings,44,False,False,False,{49: 1},[12933],4077,1,7,False
3189,news query,news,45,False,True,False,{49: 1},[12933],3189,1,7,False
1602,transport traffic,general qu,27,False,False,False,{49: 1},[12933],1602,1,7,False
3789,iot hue light off,calendar query,7,False,False,False,{49: 1},[12933],3789,1,7,False
2924,general negate,general neg,25,False,True,False,{49: 1},[12933],2924,1,7,False
5465,music likeness,music li,42,False,True,False,{49: 1},[12933],5465,1,7,False
2269,social post,social query,60,False,False,False,{49: 1},[12933],2269,1,7,False
3965,general dont care,general dont,21,False,True,False,{49: 1},[12933],3965,1,7,False
431,qa stock,qa stock,55,False,True,False,{49: 1},[12933],431,1,7,False
2221,general negate,general neg,25,False,True,False,{49: 1},[12933],2221,1,7,False
6128,alarm set,alarm set,2,False,True,False,{49: 1},[12933],6128,1,7,False
530,calendar set,calendar remove,8,False,False,False,{49: 1},[12933],530,1,7,False
1199,general repeat,iot coffee,30,False,False,False,{49: 1},[12933],1199,1,7,False
3488,calendar set,calendar set,9,False,True,False,{49: 1},[12933],3488,1,7,False
4132,transport taxi,transport tax,64,False,True,False,{49: 1},[12933],4132,1,7,False
468,general repeat,general qu,27,False,False,False,{49: 1},[12933],468,1,7,False
3065,general quirky,general qu,27,False,True,False,{49: 1},[12933],3065,1,7,False
3611,music query,play music,48,False,False,False,{49: 1},[12933],3611,1,7,False
5162,general repeat,general repeat,28,False,True,False,{49: 1},[12933],5162,1,7,False
5190,email query contact,email query contact,16,False,True,False,{49: 1},[12933],5190,1,7,False
3205,play podcasts,play music,48,False,False,False,{49: 1},[12933],3205,1,7,False
6166,play music,play music,48,False,True,False,{49: 1},[12933],6166,1,7,False
3191,news query,news,45,False,True,False,{49: 1},[12933],3191,1,7,False
3190,general praise,general pra,26,False,True,False,{49: 1},[12933],3190,1,7,False
396,calendar query,calendar query,7,False,True,False,{49: 1},[12933],396,1,7,False
1421,news query,news,45,False,True,False,{49: 1},[12933],1421,1,7,False
4890,general repeat,general repeat,28,False,True,False,{49: 1},[12933],4890,1,7,False
6193,email sendemail,email s,17,False,True,False,{49: 1},[12933],6193,1,7,False
132,general confirm,general confirm,20,False,True,False,{49: 1},[12933],132,1,7,False
1219,calendar query,calendar query,7,False,True,False,{49: 1},[12933],1219,1,7,False
817,qa definition,qa definition,52,False,True,False,{49: 1},[12933],817,1,7,False
3747,general confirm,general confirm,20,False,True,False,{49: 1},[12933],3747,1,7,False
4668,weather query,weather,67,False,True,False,{49: 1},[12933],4668,1,7,False
4616,weather query,weather,67,False,True,False,{49: 1},[12933],4616,1,7,False
6006,qa definition,general qu,27,False,False,False,{49: 1},[12933],6006,1,7,False
1934,social post,social post,59,False,True,False,{49: 1},[12933],1934,1,7,False
2118,calendar set,calendar set,9,False,True,False,{49: 1},[12933],2118,1,7,False
1352,weather query,weather,67,False,True,False,{49: 1},[12933],1352,1,7,False
3041,recommendation locations,recommendation locations,57,False,True,False,{49: 1},[12933],3041,1,7,False
6286,general repeat,general repeat,28,False,True,False,{49: 1},[12933],6286,1,7,False
1546,general explain,general explain,22,False,True,False,{49: 1},[12933],1546,1,7,False
365,general dont care,general dont,21,False,True,False,{49: 1},[12933],365,1,7,False
6074,qa stock,qa stock,55,False,True,False,{49: 1},[12933],6074,1,7,False
5712,recommendation movies,recommendation mov,58,False,True,False,{49: 1},[12933],5712,1,7,False
4203,transport traffic,transport query,63,False,False,False,{49: 1},[12933],4203,1,7,False
1761,takeaway order,recommendation locations,57,False,False,False,{49: 1},[12933],1761,1,7,False
6409,email sendemail,email s,17,False,True,False,{49: 1},[12933],6409,1,7,False
371,music query,iot coffee,30,False,False,False,{49: 1},[12933],371,1,7,False
2523,calendar set,calendar query,7,False,False,False,{49: 1},[12933],2523,1,7,False
5507,play podcasts,play pod,49,True,True,False,{49: 1},[12933],5507,1,7,False
1818,email query,play pod,49,True,False,False,{49: 1},[12933],1818,1,7,False
1315,audio volume up,audio volume up,6,False,True,False,{49: 1},[12933],1315,1,7,False
4399,play podcasts,play pod,49,True,True,False,{49: 1},[12933],4399,1,7,False
2035,alarm query,alarm set,2,False,False,False,{49: 1},[12933],2035,1,7,False
3579,general repeat,qa fact,53,False,False,False,{49: 1},[12933],3579,1,7,False
3979,play music,play music,48,False,True,False,{49: 1},[12933],3979,1,7,False
5530,general praise,general pra,26,False,True,False,{49: 1},[12933],5530,1,7,False
2427,news query,qa definition,52,False,False,False,{49: 1},[12933],2427,1,7,False
5789,iot coffee,iot coffee,30,False,True,False,{49: 1},[12933],5789,1,7,False
