,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
11548,calendar set,calendar set,9,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",11548,25,6,False,25
9360,datetime query,datetime query,13,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",9360,25,6,False,25
7177,qa definition,qa definition,52,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",7177,25,6,False,25
1864,news query,news,45,True,True,False,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",1864,25,6,False,25
8801,news query,news,45,True,True,False,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",8801,25,6,False,25
12313,iot hue light dim,iot hue light dim,32,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",12313,25,6,False,25
10129,general negate,general neg,25,True,True,False,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",10129,25,6,False,25
15742,calendar remove,calendar remove,8,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",15742,25,6,False,25
10554,calendar remove,calendar remove,8,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",10554,25,6,False,25
3932,general affirm,general aff,18,True,True,False,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",3932,25,6,False,25
9861,weather query,weather,67,True,True,False,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",9861,25,6,False,25
13285,iot hue light change,iot hue light change,31,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",13285,25,6,False,25
6474,cooking query,cooking query,10,True,True,True,"{9: 3, 13: 1, 52: 1, 45: 2, 32: 1, 25: 2, 8: 2, 18: 1, 67: 1, 31: 1, 10: 1, 56: 1, 7: 1, 28: 2, 65: 1, 51: 1, 26: 2, 17: 1}","[11548, 9360, 7177, 1864, 8801, 12313, 10129, 15742, 10554, 3932, 9861, 13285, 6474, 7986, 9331, 11987, 10217, 10166, 2471, 13425, 18273, 9967, 1649, 6405, 8737]",6474,25,6,False,25
