,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
3430,calendar query,news,45,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3430,5,0,False
2596,music likeness,music li,42,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2596,5,0,False
3083,transport traffic,transport traffic,66,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3083,5,0,False
4420,social post,social post,59,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4420,5,0,False
5418,calendar set,calendar set,9,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5418,5,0,False
4839,news query,qa stock,55,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4839,5,0,False
4527,iot wemo off,iot wemo off,36,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4527,5,0,False
3327,recommendation events,general qu,27,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3327,5,0,False
6345,general negate,general neg,25,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6345,5,0,False
5766,music likeness,play music,48,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5766,5,0,False
5532,audio volume mute,general qu,27,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5532,5,0,False
3311,alarm set,calendar set,9,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3311,5,0,False
2917,transport traffic,transport traffic,66,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2917,5,0,False
3270,social post,social post,59,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3270,5,0,False
5593,play podcasts,play podcast,49,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5593,5,0,False
5196,qa stock,qa stock,55,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5196,5,0,False
2816,calendar remove,calendar remove,8,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2816,5,0,False
726,calendar set,calendar set,9,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",726,5,0,False
794,transport query,transport ticket,65,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",794,5,0,False
252,email query,email query,15,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",252,5,0,False
3233,music query,play music,48,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3233,5,0,False
4902,calendar remove,calendar remove,8,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4902,5,0,False
3192,calendar remove,general dont,21,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3192,5,0,False
1358,qa factoid,news,45,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1358,5,0,False
2380,weather query,weather,67,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2380,5,0,False
4250,email query,email query,15,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4250,5,0,False
2930,transport ticket,transport ticket,65,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2930,5,0,False
4936,social query,social query,60,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4936,5,0,False
3186,transport query,transport query,63,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3186,5,0,False
1490,general command stop,takeaway order,61,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1490,5,0,False
5978,weather query,qa fact,53,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5978,5,0,False
4580,general praise,general praise,26,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4580,5,0,False
5668,news query,news,45,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5668,5,0,False
6215,transport ticket,transport query,63,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6215,5,0,False
4804,play music,play music,48,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4804,5,0,False
2922,play game,play game,47,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2922,5,0,False
1242,general praise,general praise,26,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1242,5,0,False
3753,play music,play music,48,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3753,5,0,False
713,datetime query,qa fact,53,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",713,5,0,False
3041,recommendation locations,recommendation locations,57,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3041,5,0,False
1218,general explain,general explain,22,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1218,5,0,False
2974,play radio,play radio,50,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2974,5,0,False
5934,music query,music query,43,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5934,5,0,False
5923,qa definition,qa fact,53,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5923,5,0,False
776,general praise,general praise,26,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",776,5,0,False
239,general praise,general praise,26,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",239,5,0,False
3604,recommendation events,general qu,27,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3604,5,0,False
947,transport traffic,transport traffic,66,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",947,5,0,False
768,general joke,general joke,24,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",768,5,0,False
859,qa maths,qa math,54,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",859,5,0,False
1816,play podcasts,play podcast,49,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1816,5,0,False
1314,qa currency,qa currency,51,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1314,5,0,False
1334,play radio,play radio,50,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1334,5,0,False
3135,play podcasts,play podcast,49,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3135,5,0,False
3639,lists remove,lists remove,40,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3639,5,0,False
5882,datetime query,datetime query,13,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5882,5,0,False
1240,iot coffee,iot coffee,30,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1240,5,0,False
5690,news query,news,45,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5690,5,0,False
1733,general quirky,general qu,27,True,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1733,5,0,False
4663,iot hue light off,iot hue light off,33,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4663,5,0,False
2485,music query,music query,43,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2485,5,0,False
1977,play radio,play radio,50,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1977,5,0,False
605,alarm remove,alarm remove,1,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",605,5,0,False
2931,general dont care,general dont,21,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2931,5,0,False
4487,email query,email query,15,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4487,5,0,False
372,email sendemail,email send,17,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",372,5,0,False
2743,news query,news,45,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2743,5,0,False
4846,news query,news,45,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4846,5,0,False
5385,general explain,general explain,22,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5385,5,0,False
6415,calendar query,calendar remove,8,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6415,5,0,False
6243,play podcasts,play podcast,49,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6243,5,0,False
3726,calendar remove,calendar remove,8,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3726,5,0,False
1620,alarm query,alarm query,0,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1620,5,0,False
4940,general greet,play radio,50,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4940,5,0,False
3847,general affirm,general affirm,18,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3847,5,0,False
4774,general repeat,general repeat,28,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4774,5,0,False
3304,lists create or add,lists create,38,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3304,5,0,False
735,calendar query,calendar query,7,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",735,5,0,False
6003,email sendemail,email send,17,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6003,5,0,False
3365,calendar set,calendar query,7,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3365,5,0,False
5992,email query,email query,15,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5992,5,0,False
6201,general dont care,general dont,21,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",6201,5,0,False
5795,cooking recipe,cooking recipe,11,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5795,5,0,False
2241,general repeat,alarm set,2,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2241,5,0,False
1507,transport traffic,transport traffic,66,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1507,5,0,False
1590,music likeness,music li,42,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1590,5,0,False
715,datetime query,datetime query,13,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",715,5,0,False
4582,general repeat,general repeat,28,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4582,5,0,False
5531,email query contact,social post,59,False,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5531,5,0,False
2239,iot wemo on,iot wemo on,37,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2239,5,0,False
3111,general explain,general explain,22,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3111,5,0,False
498,calendar query,calendar query,7,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",498,5,0,False
3746,lists query,lists query,39,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3746,5,0,False
1563,weather query,weather,67,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1563,5,0,False
5103,general quirky,general qu,27,True,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5103,5,0,False
5804,general negate,general neg,25,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5804,5,0,False
4035,takeaway query,general qu,27,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4035,5,0,False
3098,datetime query,qa fact,53,True,False,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3098,5,0,False
2945,general quirky,general qu,27,True,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2945,5,0,False
3663,play radio,play radio,50,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3663,5,0,False
4350,general praise,general praise,26,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",4350,5,0,False
5535,qa definition,qa definition,52,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5535,5,0,False
1765,general negate,general neg,25,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1765,5,0,False
390,music settings,music settings,44,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",390,5,0,False
3130,weather query,weather,67,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3130,5,0,False
3755,datetime query,datetime query,13,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3755,5,0,False
2101,recommendation events,recommendation events,56,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",2101,5,0,False
968,play radio,play radio,50,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",968,5,0,False
899,general explain,general explain,22,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",899,5,0,False
1854,datetime query,datetime query,13,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1854,5,0,False
1168,play game,play game,47,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1168,5,0,False
978,alarm query,alarm query,0,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",978,5,0,False
5694,cooking recipe,cooking recipe,11,True,True,True,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",5694,5,0,False
3529,lists create or add,lists create,38,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",3529,5,0,False
1310,recommendation events,recommendation events,56,False,True,False,"{33: 1, 27: 1, 11: 1, 50: 1, 53: 1}","[3610, 5370, 8528, 15904, 10505]",1310,5,0,False
