,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,entity body,description definition,24,True,False,False,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",360,32,9,False,32
17,human individual,human individual,29,True,True,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",17,32,9,False,32
361,abbreviation expansion,description definition,24,True,False,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",361,32,9,False,32
411,entity substance,entity subst,18,True,True,False,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",411,32,9,False,32
67,description description,description definition,24,True,False,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",67,32,9,False,32
425,location other,entity other,13,True,False,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",425,32,9,False,32
104,location country,location city,32,True,False,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",104,32,9,False,32
394,description definition,description definition,24,True,True,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",394,32,9,False,32
450,entity color,entity color,4,False,True,False,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",450,32,9,False,32
141,entity animal,entity animal,2,True,True,True,"{39: 2, 26: 2, 29: 3, 2: 1, 17: 1, 25: 5, 5: 4, 32: 2, 35: 3, 24: 1, 38: 1, 33: 1, 9: 1, 18: 1, 31: 1, 27: 1, 1: 1, 13: 1}","[15, 2726, 4613, 123, 2305, 4146, 1594, 755, 5303, 4745, 3439, 2036, 116, 3015, 3741, 4529, 1726, 4538, 1245, 930, 1637, 1145, 3487, 1735, 1826, 3972, 4696, 2799, 4886, 2236, 4395, 5165]",141,32,9,False,32
