,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,entity,description,2,False,False,True,{1: 1},[443],360,1,2,False
17,entity,human,3,False,False,True,{1: 1},[443],17,1,2,False
361,entity,description,2,False,False,True,{1: 1},[443],361,1,2,False
411,entity,entity,1,True,True,True,{1: 1},[443],411,1,2,False
67,entity,description,2,False,False,True,{1: 1},[443],67,1,2,False
425,entity,entity,1,True,True,True,{1: 1},[443],425,1,2,False
104,entity,location,4,False,False,True,{1: 1},[443],104,1,2,False
394,entity,description,2,False,False,True,{1: 1},[443],394,1,2,False
450,entity,entity,1,True,True,True,{1: 1},[443],450,1,2,False
141,entity,entity,1,True,True,True,{1: 1},[443],141,1,2,False
142,entity,location,4,False,False,True,{1: 1},[443],142,1,2,False
269,entity,description,2,False,False,True,{1: 1},[443],269,1,2,False
173,entity,description,2,False,False,True,{1: 1},[443],173,1,2,False
238,entity,location,4,False,False,True,{1: 1},[443],238,1,2,False
55,entity,description,2,False,False,True,{1: 1},[443],55,1,2,False
121,entity,numeric,5,False,False,True,{1: 1},[443],121,1,2,False
260,entity,human,3,False,False,True,{1: 1},[443],260,1,2,False
62,entity,location,4,False,False,True,{1: 1},[443],62,1,2,False
185,entity,human,3,False,False,True,{1: 1},[443],185,1,2,False
429,entity,human,3,False,False,True,{1: 1},[443],429,1,2,False
97,entity,description,2,False,False,True,{1: 1},[443],97,1,2,False
340,entity,numeric,5,False,False,True,{1: 1},[443],340,1,2,False
496,entity,entity,1,True,True,True,{1: 1},[443],496,1,2,False
183,entity,description,2,False,False,True,{1: 1},[443],183,1,2,False
393,entity,numeric,5,False,False,True,{1: 1},[443],393,1,2,False
15,entity,numeric,5,False,False,True,{1: 1},[443],15,1,2,False
162,entity,numeric,5,False,False,True,{1: 1},[443],162,1,2,False
481,entity,entity,1,True,True,True,{1: 1},[443],481,1,2,False
332,entity,entity,1,True,True,True,{1: 1},[443],332,1,2,False
251,entity,location,4,False,False,True,{1: 1},[443],251,1,2,False
305,entity,location,4,False,False,True,{1: 1},[443],305,1,2,False
169,entity,human,3,False,False,True,{1: 1},[443],169,1,2,False
249,entity,entity,1,True,True,True,{1: 1},[443],249,1,2,False
143,entity,entity,1,True,True,True,{1: 1},[443],143,1,2,False
396,entity,description,2,False,False,True,{1: 1},[443],396,1,2,False
71,entity,numeric,5,False,False,True,{1: 1},[443],71,1,2,False
168,entity,location,4,False,False,True,{1: 1},[443],168,1,2,False
199,entity,entity,1,True,True,True,{1: 1},[443],199,1,2,False
366,entity,entity,1,True,True,True,{1: 1},[443],366,1,2,False
464,entity,location,4,False,False,True,{1: 1},[443],464,1,2,False
318,entity,entity,1,True,True,True,{1: 1},[443],318,1,2,False
242,entity,description,2,False,False,True,{1: 1},[443],242,1,2,False
69,entity,location,4,False,False,True,{1: 1},[443],69,1,2,False
271,entity,description,2,False,False,True,{1: 1},[443],271,1,2,False
145,entity,entity,1,True,True,True,{1: 1},[443],145,1,2,False
379,entity,description,2,False,False,True,{1: 1},[443],379,1,2,False
398,entity,numeric,5,False,False,True,{1: 1},[443],398,1,2,False
38,entity,numeric,5,False,False,True,{1: 1},[443],38,1,2,False
20,entity,human,3,False,False,True,{1: 1},[443],20,1,2,False
160,entity,description,2,False,False,True,{1: 1},[443],160,1,2,False
194,entity,description,2,False,False,True,{1: 1},[443],194,1,2,False
485,entity,description,2,False,False,True,{1: 1},[443],485,1,2,False
293,entity,entity,1,True,True,True,{1: 1},[443],293,1,2,False
237,entity,description,2,False,False,True,{1: 1},[443],237,1,2,False
60,entity,location,4,False,False,True,{1: 1},[443],60,1,2,False
27,entity,location,4,False,False,True,{1: 1},[443],27,1,2,False
319,entity,location,4,False,False,True,{1: 1},[443],319,1,2,False
343,entity,human,3,False,False,True,{1: 1},[443],343,1,2,False
82,entity,human,3,False,False,True,{1: 1},[443],82,1,2,False
395,entity,description,2,False,False,True,{1: 1},[443],395,1,2,False
188,entity,location,4,False,False,True,{1: 1},[443],188,1,2,False
203,entity,entity,1,True,True,True,{1: 1},[443],203,1,2,False
490,entity,description,2,False,False,True,{1: 1},[443],490,1,2,False
375,entity,numeric,5,False,False,True,{1: 1},[443],375,1,2,False
128,entity,description,2,False,False,True,{1: 1},[443],128,1,2,False
198,entity,entity,1,True,True,True,{1: 1},[443],198,1,2,False
149,entity,description,2,False,False,True,{1: 1},[443],149,1,2,False
326,entity,description,2,False,False,True,{1: 1},[443],326,1,2,False
239,entity,numeric,5,False,False,True,{1: 1},[443],239,1,2,False
144,entity,description,2,False,False,True,{1: 1},[443],144,1,2,False
362,entity,entity,1,True,True,True,{1: 1},[443],362,1,2,False
350,entity,numeric,5,False,False,True,{1: 1},[443],350,1,2,False
301,entity,numeric,5,False,False,True,{1: 1},[443],301,1,2,False
306,entity,human,3,False,False,True,{1: 1},[443],306,1,2,False
433,entity,human,3,False,False,True,{1: 1},[443],433,1,2,False
103,entity,human,3,False,False,True,{1: 1},[443],103,1,2,False
448,entity,numeric,5,False,False,True,{1: 1},[443],448,1,2,False
402,entity,numeric,5,False,False,True,{1: 1},[443],402,1,2,False
439,entity,entity,1,True,True,True,{1: 1},[443],439,1,2,False
437,entity,numeric,5,False,False,True,{1: 1},[443],437,1,2,False
289,entity,description,2,False,False,True,{1: 1},[443],289,1,2,False
132,entity,description,2,False,False,True,{1: 1},[443],132,1,2,False
250,entity,human,3,False,False,True,{1: 1},[443],250,1,2,False
405,entity,location,4,False,False,True,{1: 1},[443],405,1,2,False
443,entity,entity,1,True,True,True,{1: 1},[443],443,1,2,False
35,entity,numeric,5,False,False,True,{1: 1},[443],35,1,2,False
113,entity,human,3,False,False,True,{1: 1},[443],113,1,2,False
348,entity,numeric,5,False,False,True,{1: 1},[443],348,1,2,False
476,entity,description,2,False,False,True,{1: 1},[443],476,1,2,False
64,entity,location,4,False,False,True,{1: 1},[443],64,1,2,False
381,entity,human,3,False,False,True,{1: 1},[443],381,1,2,False
59,entity,numeric,5,False,False,True,{1: 1},[443],59,1,2,False
491,entity,description,2,False,False,True,{1: 1},[443],491,1,2,False
12,entity,numeric,5,False,False,True,{1: 1},[443],12,1,2,False
400,entity,human,3,False,False,True,{1: 1},[443],400,1,2,False
469,entity,description,2,False,False,True,{1: 1},[443],469,1,2,False
235,entity,description,2,False,False,True,{1: 1},[443],235,1,2,False
288,entity,description,2,False,False,True,{1: 1},[443],288,1,2,False
126,entity,numeric,5,False,False,True,{1: 1},[443],126,1,2,False
230,entity,numeric,5,False,False,True,{1: 1},[443],230,1,2,False
243,entity,description,2,False,False,True,{1: 1},[443],243,1,2,False
181,entity,description,2,False,False,True,{1: 1},[443],181,1,2,False
182,entity,location,4,False,False,True,{1: 1},[443],182,1,2,False
18,entity,description,2,False,False,True,{1: 1},[443],18,1,2,False
354,entity,description,2,False,False,True,{1: 1},[443],354,1,2,False
466,entity,description,2,False,False,True,{1: 1},[443],466,1,2,False
446,entity,location,4,False,False,True,{1: 1},[443],446,1,2,False
338,entity,description,2,False,False,True,{1: 1},[443],338,1,2,False
118,entity,numeric,5,False,False,True,{1: 1},[443],118,1,2,False
223,entity,entity,1,True,True,True,{1: 1},[443],223,1,2,False
152,entity,description,2,False,False,True,{1: 1},[443],152,1,2,False
399,entity,location,4,False,False,True,{1: 1},[443],399,1,2,False
215,entity,entity,1,True,True,True,{1: 1},[443],215,1,2,False
207,entity,numeric,5,False,False,True,{1: 1},[443],207,1,2,False
336,entity,description,2,False,False,True,{1: 1},[443],336,1,2,False
211,entity,numeric,5,False,False,True,{1: 1},[443],211,1,2,False
44,entity,entity,1,True,True,True,{1: 1},[443],44,1,2,False
29,entity,location,4,False,False,True,{1: 1},[443],29,1,2,False
99,entity,entity,1,True,True,True,{1: 1},[443],99,1,2,False
122,entity,description,2,False,False,True,{1: 1},[443],122,1,2,False
421,entity,location,4,False,False,True,{1: 1},[443],421,1,2,False
477,entity,location,4,False,False,True,{1: 1},[443],477,1,2,False
378,entity,abbre,0,False,False,True,{1: 1},[443],378,1,2,False
357,entity,numeric,5,False,False,True,{1: 1},[443],357,1,2,False
3,entity,description,2,False,False,True,{1: 1},[443],3,1,2,False
406,entity,description,2,False,False,True,{1: 1},[443],406,1,2,False
127,entity,numeric,5,False,False,True,{1: 1},[443],127,1,2,False
50,entity,description,2,False,False,True,{1: 1},[443],50,1,2,False
253,entity,entity,1,True,True,True,{1: 1},[443],253,1,2,False
262,entity,numeric,5,False,False,True,{1: 1},[443],262,1,2,False
41,entity,description,2,False,False,True,{1: 1},[443],41,1,2,False
106,entity,numeric,5,False,False,True,{1: 1},[443],106,1,2,False
72,entity,location,4,False,False,True,{1: 1},[443],72,1,2,False
274,entity,description,2,False,False,True,{1: 1},[443],274,1,2,False
367,entity,entity,1,True,True,True,{1: 1},[443],367,1,2,False
180,entity,location,4,False,False,True,{1: 1},[443],180,1,2,False
95,entity,location,4,False,False,True,{1: 1},[443],95,1,2,False
30,entity,numeric,5,False,False,True,{1: 1},[443],30,1,2,False
0,location,numeric,5,False,False,False,{1: 1},[443],0,1,2,False
227,entity,description,2,False,False,True,{1: 1},[443],227,1,2,False
333,entity,entity,1,True,True,True,{1: 1},[443],333,1,2,False
218,entity,numeric,5,False,False,True,{1: 1},[443],218,1,2,False
