,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
1104,verify source of funds,verify,70,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",1104,64,6,False,64
472,top up limits,top up limits,60,True,True,True,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",472,64,6,False,64
1345,order physical card,order,43,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",1345,64,6,False,64
838,pending card payment,pending card,45,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",838,64,6,False,64
942,card not working,decl,25,False,False,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",942,64,6,False,64
707,card acceptance,at,3,False,False,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",707,64,6,False,64
378,contactless not working,contact,23,False,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",378,64,6,False,64
1258,failed transfer,failed,35,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",1258,64,6,False,64
451,top up limits,top up limits,60,True,True,True,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",451,64,6,False,64
1467,top up by card charge,top up by card,57,True,True,False,"{48: 2, 60: 2, 34: 2, 47: 3, 42: 5, 29: 2, 4: 2, 52: 2, 61: 3, 62: 3, 57: 3, 45: 1, 43: 3, 18: 2, 12: 2, 32: 1, 10: 1, 67: 1, 21: 1, 5: 1, 35: 3, 66: 5, 58: 2, 36: 3, 28: 2, 70: 1, 55: 1, 13: 1, 0: 2, 49: 1, 1: 1}","[3462, 2798, 3957, 2351, 843, 2099, 2579, 4111, 4277, 3342, 925, 3870, 276, 3411, 32, 3110, 4323, 1448, 2446, 472, 737, 3629, 786, 779, 2418, 2665, 2843, 3635, 3698, 2549, 3230, 3750, 1736, 3383, 2006, 3028, 3557, 2330, 1349, 3371, 1892, 3059, 2274, 1992, 4201, 240, 1174, 2093, 443, 4455, 2820, 1584, 1410, 1602, 2107, 622, 1488, 3785, 68, 4383, 1195, 2523, 1206, 453]",1467,64,6,False,64
