,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4018,redeem rewards,rede,6,True,True,False,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",4018,75,5,False
12744,time,time,4,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",12744,75,5,False
452,roll dice,roll dice,92,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",452,75,5,False
11223,shopping list,shopping list,43,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",11223,75,5,False
6725,change speed,change speed,119,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",6725,75,5,False
11914,new card,new,91,True,True,False,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",11914,75,5,False
6739,accept reservations,accept,9,True,True,False,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",6739,75,5,False
4995,travel alert,travel alert,128,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",4995,75,5,False
1393,pto used,pto used,148,True,True,True,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",1393,75,5,False
13128,account blocked,freeze,20,True,False,False,"{6: 1, 4: 1, 92: 1, 43: 1, 119: 2, 91: 1, 9: 1, 128: 1, 148: 1, 20: 1, 145: 2, 135: 2, 52: 1, 70: 1, 34: 1, 139: 1, 132: 1, 107: 1, 85: 2, 78: 3, 115: 1, 90: 1, 53: 1, 120: 1, 44: 2, 67: 1, 15: 2, 103: 1, 102: 1, 2: 2, 127: 1, 26: 1, 81: 1, 111: 1, 95: 1, 38: 1, 100: 1, 122: 1, 121: 1, 126: 2, 48: 2, 140: 1, 7: 2, 31: 1, 65: 1, 56: 1, 0: 1, 42: 1, 23: 1, 27: 1, 54: 1, 71: 1, 12: 2, 76: 1, 72: 1, 14: 1, 94: 1, 123: 1, 75: 1, 125: 1, 114: 1, 1: 1}","[4018, 12744, 452, 11223, 6725, 11914, 6739, 4995, 1393, 13128, 8677, 4592, 3889, 12546, 12702, 11815, 14145, 10192, 9417, 8344, 9578, 7712, 498, 7857, 14374, 6099, 12264, 12482, 13833, 4270, 15155, 7756, 14459, 2389, 5702, 6056, 6542, 6968, 3069, 6116, 5220, 11952, 2932, 12475, 5904, 2257, 11500, 10487, 8287, 4378, 6753, 1460, 1457, 9916, 2482, 5078, 14602, 8847, 10423, 8734, 12323, 12786, 3383, 5572, 11303, 14019, 13127, 7666, 1529, 429, 8155, 4775, 9074, 11009, 14611]",13128,75,5,False
