,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4097,description description,description description,25,True,True,True,{25: 1},[4097],4097,1,1,False
1548,description description,description description,25,True,True,True,{25: 1},[4097],1548,1,1,False
5419,description description,entity food,9,False,False,True,{25: 1},[4097],5419,1,1,False
4731,description description,numeric date,39,False,False,True,{25: 1},[4097],4731,1,1,False
3902,description description,description definition,24,False,False,True,{25: 1},[4097],3902,1,1,False
3380,description description,description definition,24,False,False,True,{25: 1},[4097],3380,1,1,False
4432,description description,entity other,13,False,False,True,{25: 1},[4097],4432,1,1,False
3710,description description,human individual,29,False,False,True,{25: 1},[4097],3710,1,1,False
3542,description description,description manner,26,False,False,True,{25: 1},[4097],3542,1,1,False
3991,description description,location state,36,False,False,True,{25: 1},[4097],3991,1,1,False
4880,description description,description definition,24,False,False,True,{25: 1},[4097],4880,1,1,False
2494,description description,description reason,27,False,False,True,{25: 1},[4097],2494,1,1,False
2930,description description,description definition,24,False,False,True,{25: 1},[4097],2930,1,1,False
1237,description description,description description,25,True,True,True,{25: 1},[4097],1237,1,1,False
5356,description description,numeric date,39,False,False,True,{25: 1},[4097],5356,1,1,False
235,description description,location other,35,False,False,True,{25: 1},[4097],235,1,1,False
4127,description description,description definition,24,False,False,True,{25: 1},[4097],4127,1,1,False
3911,description description,description definition,24,False,False,True,{25: 1},[4097],3911,1,1,False
217,description description,entity other,13,False,False,True,{25: 1},[4097],217,1,1,False
3274,description description,location state,36,False,False,True,{25: 1},[4097],3274,1,1,False
932,description description,description manner,26,False,False,True,{25: 1},[4097],932,1,1,False
1468,description description,description definition,24,False,False,True,{25: 1},[4097],1468,1,1,False
2624,description description,location city,32,False,False,True,{25: 1},[4097],2624,1,1,False
2837,description description,description definition,24,False,False,True,{25: 1},[4097],2837,1,1,False
3687,description description,numeric count,38,False,False,True,{25: 1},[4097],3687,1,1,False
1483,description description,description reason,27,False,False,True,{25: 1},[4097],1483,1,1,False
2116,description description,entity animal,2,False,False,True,{25: 1},[4097],2116,1,1,False
3691,description description,numeric date,39,False,False,True,{25: 1},[4097],3691,1,1,False
4885,description description,human individual,29,False,False,True,{25: 1},[4097],4885,1,1,False
1822,description description,entity disease,7,False,False,True,{25: 1},[4097],1822,1,1,False
1115,description description,numeric date,39,False,False,True,{25: 1},[4097],1115,1,1,False
1952,description description,human individual,29,False,False,True,{25: 1},[4097],1952,1,1,False
4887,description description,entity technique,20,False,False,True,{25: 1},[4097],4887,1,1,False
876,description description,entity food,9,False,False,True,{25: 1},[4097],876,1,1,False
2002,description description,location other,35,False,False,True,{25: 1},[4097],2002,1,1,False
4576,description description,human individual,29,False,False,True,{25: 1},[4097],4576,1,1,False
3443,description description,description manner,26,False,False,True,{25: 1},[4097],3443,1,1,False
5286,description description,human individual,29,False,False,True,{25: 1},[4097],5286,1,1,False
2441,description description,human individual,29,False,False,True,{25: 1},[4097],2441,1,1,False
4713,description description,description manner,26,False,False,True,{25: 1},[4097],4713,1,1,False
121,description description,human group,28,False,False,True,{25: 1},[4097],121,1,1,False
2388,description description,entity event,8,False,False,True,{25: 1},[4097],2388,1,1,False
292,description description,numeric count,38,False,False,True,{25: 1},[4097],292,1,1,False
5439,description description,human description,31,False,False,True,{25: 1},[4097],5439,1,1,False
83,description description,entity animal,2,False,False,True,{25: 1},[4097],83,1,1,False
4206,description description,entity creation,5,False,False,True,{25: 1},[4097],4206,1,1,False
4866,description description,description definition,24,False,False,True,{25: 1},[4097],4866,1,1,False
1120,description description,entity term,21,False,False,True,{25: 1},[4097],1120,1,1,False
5436,description description,entity animal,2,False,False,True,{25: 1},[4097],5436,1,1,False
1558,description description,description definition,24,False,False,True,{25: 1},[4097],1558,1,1,False
1312,description description,human individual,29,False,False,True,{25: 1},[4097],1312,1,1,False
2596,description description,entity event,8,False,False,True,{25: 1},[4097],2596,1,1,False
3921,description description,entity term,21,False,False,True,{25: 1},[4097],3921,1,1,False
