,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,play music,music settings,44,False,False,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",4077,162,7,False
3189,news query,news,45,True,True,False,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",3189,162,7,False
1602,calendar set,general qu,27,True,False,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",1602,162,7,False
3789,calendar query,calendar query,7,True,True,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",3789,162,7,False
2924,general negate,general neg,25,True,True,False,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",2924,162,7,False
5465,music query,music li,42,False,False,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",5465,162,7,False
2269,social post,social query,60,False,False,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",2269,162,7,False
3965,general dont care,general dont,21,True,True,False,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",3965,162,7,False
431,qa stock,qa stock,55,True,True,True,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",431,162,7,False
2221,general negate,general neg,25,True,True,False,"{49: 3, 48: 7, 30: 1, 38: 2, 52: 9, 45: 8, 67: 8, 22: 6, 64: 1, 27: 9, 25: 3, 57: 3, 15: 5, 40: 3, 47: 4, 39: 2, 36: 1, 7: 8, 26: 8, 13: 4, 65: 2, 17: 4, 29: 1, 28: 4, 21: 4, 1: 1, 31: 2, 55: 1, 56: 1, 20: 4, 9: 5, 0: 2, 59: 3, 8: 2, 32: 3, 3: 1, 41: 1, 50: 4, 58: 1, 43: 2, 53: 4, 63: 1, 61: 2, 33: 1, 2: 2, 4: 1, 16: 1, 18: 2, 12: 1, 11: 1, 19: 2, 62: 1}","[12933, 15769, 9187, 6896, 3692, 2847, 2761, 10351, 3630, 6654, 8238, 8365, 17739, 8992, 6751, 2102, 2688, 3648, 13542, 6348, 5951, 8460, 4602, 5396, 7684, 11185, 11646, 11862, 13024, 3523, 15213, 13052, 17826, 7334, 5297, 2502, 12909, 810, 8054, 7157, 16345, 16658, 8690, 4326, 4977, 12183, 16347, 11308, 12492, 9333, 1183, 6967, 3212, 12964, 8788, 7754, 18723, 13675, 98, 3674, 13439, 7841, 17862, 2964, 8664, 4901, 15599, 11074, 1944, 11063, 13457, 7341, 3652, 14855, 17925, 13041, 17005, 5403, 13779, 14097, 14939, 3044, 5619, 4033, 14051, 10683, 13978, 14564, 886, 2692, 10274, 16366, 12818, 14535, 5131, 6173, 17041, 9945, 13858, 18037, 705, 9735, 11762, 11948, 14585, 17440, 17669, 8765, 6164, 17985, 11596, 12424, 15302, 14240, 11747, 1350, 17457, 16998, 13671, 7581, 2141, 12212, 1737, 14582, 9275, 1489, 14369, 838, 12369, 4227, 15826, 2029, 2202, 18955, 8402, 4821, 12762, 17863, 11785, 3592, 11565, 5708, 7638, 4243, 19053, 6049, 8187, 3990, 7820, 4146, 13111, 17124, 5284, 421, 7625, 1296, 8106, 15803, 11613, 8083, 387, 2508]",2221,162,7,False
