,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
7182,card linking,card link,13,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",7182,75,2,False
6776,exchange charge,exchange charge,31,True,True,True,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",6776,75,2,False
7363,country support,country,24,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",7363,75,2,False
2939,getting virtual card,getting virtual,40,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",2939,75,2,False
4581,card payment fee charged,card payment fee,15,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",4581,75,2,False
1067,fiat currency support,fi,36,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",1067,75,2,False
1434,top up by card charge,top up by card,57,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",1434,75,2,False
6896,pending transfer,balance not updated after bank,5,True,False,True,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",6896,75,2,False
290,declined cash withdrawal,declined cash,26,True,True,False,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",290,75,2,False
1571,exchange charge,exchange charge,31,True,True,True,"{13: 2, 31: 3, 24: 3, 40: 1, 15: 5, 36: 1, 57: 1, 5: 1, 26: 2, 47: 2, 51: 3, 73: 2, 37: 2, 74: 2, 42: 2, 0: 2, 56: 2, 35: 1, 45: 2, 65: 2, 66: 2, 20: 2, 60: 3, 25: 3, 55: 2, 16: 2, 17: 1, 30: 1, 8: 3, 10: 1, 28: 2, 4: 1, 12: 1, 61: 1, 9: 1, 19: 1, 48: 1, 34: 1, 29: 2, 71: 2, 75: 1}","[7182, 6776, 7363, 2939, 4581, 1067, 1434, 6896, 290, 1571, 3086, 3847, 146, 2382, 1673, 2555, 5122, 4934, 9780, 9887, 1170, 3470, 996, 6637, 1212, 3859, 930, 1903, 6958, 2029, 4512, 5702, 7915, 8580, 7482, 9278, 2457, 7112, 4256, 9259, 2615, 241, 7007, 349, 8232, 4692, 405, 7833, 8276, 6436, 7995, 5570, 5114, 2079, 3352, 298, 4917, 4665, 5246, 4636, 1213, 7653, 5250, 4087, 2806, 2159, 876, 3781, 2944, 7175, 1952, 1523, 2674, 644, 1254]",1571,75,2,False
