,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,numeric count,description definition,24,False,False,True,{38: 1},[1693],360,1,0,False
17,numeric count,human individual,29,False,False,True,{38: 1},[1693],17,1,0,False
361,numeric count,description definition,24,False,False,True,{38: 1},[1693],361,1,0,False
411,numeric count,entity subst,18,False,False,True,{38: 1},[1693],411,1,0,False
67,numeric count,description definition,24,False,False,True,{38: 1},[1693],67,1,0,False
425,numeric count,entity other,13,False,False,True,{38: 1},[1693],425,1,0,False
104,numeric count,location city,32,False,False,True,{38: 1},[1693],104,1,0,False
394,numeric count,description definition,24,False,False,True,{38: 1},[1693],394,1,0,False
450,numeric count,entity color,4,False,False,True,{38: 1},[1693],450,1,0,False
141,numeric count,entity animal,2,False,False,True,{38: 1},[1693],141,1,0,False
142,numeric count,location other,35,False,False,True,{38: 1},[1693],142,1,0,False
269,numeric count,description manner,26,False,False,True,{38: 1},[1693],269,1,0,False
173,numeric count,description definition,24,False,False,True,{38: 1},[1693],173,1,0,False
238,location country,location other,35,False,False,False,{38: 1},[1693],238,1,0,False
55,numeric count,description definition,24,False,False,True,{38: 1},[1693],55,1,0,False
121,numeric count,numeric distance,40,False,False,True,{38: 1},[1693],121,1,0,False
260,numeric count,human individual,29,False,False,True,{38: 1},[1693],260,1,0,False
62,numeric count,location other,35,False,False,True,{38: 1},[1693],62,1,0,False
185,numeric count,human individual,29,False,False,True,{38: 1},[1693],185,1,0,False
429,numeric count,human individual,29,False,False,True,{38: 1},[1693],429,1,0,False
97,numeric count,description definition,24,False,False,True,{38: 1},[1693],97,1,0,False
340,numeric count,numeric weight,49,False,False,True,{38: 1},[1693],340,1,0,False
496,numeric count,entity currency,6,False,False,True,{38: 1},[1693],496,1,0,False
183,numeric count,description definition,24,False,False,True,{38: 1},[1693],183,1,0,False
393,numeric count,numeric other,43,False,False,True,{38: 1},[1693],393,1,0,False
15,numeric count,numeric other,43,False,False,True,{38: 1},[1693],15,1,0,False
162,numeric count,numeric date,39,False,False,True,{38: 1},[1693],162,1,0,False
481,numeric count,entity subst,18,False,False,True,{38: 1},[1693],481,1,0,False
332,numeric count,entity animal,2,False,False,True,{38: 1},[1693],332,1,0,False
251,numeric count,location city,32,False,False,True,{38: 1},[1693],251,1,0,False
305,location country,location other,35,False,False,False,{38: 1},[1693],305,1,0,False
169,numeric count,human individual,29,False,False,True,{38: 1},[1693],169,1,0,False
249,numeric count,entity other,13,False,False,True,{38: 1},[1693],249,1,0,False
143,numeric count,entity animal,2,False,False,True,{38: 1},[1693],143,1,0,False
396,numeric count,description definition,24,False,False,True,{38: 1},[1693],396,1,0,False
71,numeric count,numeric money,41,False,False,True,{38: 1},[1693],71,1,0,False
168,numeric count,location state,36,False,False,True,{38: 1},[1693],168,1,0,False
199,numeric count,entity subst,18,False,False,True,{38: 1},[1693],199,1,0,False
366,numeric count,entity color,4,False,False,True,{38: 1},[1693],366,1,0,False
464,location state,location state,36,False,True,False,{38: 1},[1693],464,1,0,False
318,numeric count,entity other,13,False,False,True,{38: 1},[1693],318,1,0,False
242,numeric count,description reason,27,False,False,True,{38: 1},[1693],242,1,0,False
69,numeric count,location other,35,False,False,True,{38: 1},[1693],69,1,0,False
271,numeric count,description description,25,False,False,True,{38: 1},[1693],271,1,0,False
145,numeric count,entity body,3,False,False,True,{38: 1},[1693],145,1,0,False
379,numeric count,description definition,24,False,False,True,{38: 1},[1693],379,1,0,False
398,numeric count,numeric percent,45,False,False,True,{38: 1},[1693],398,1,0,False
38,numeric count,numeric count,38,True,True,True,{38: 1},[1693],38,1,0,False
20,numeric count,human individual,29,False,False,True,{38: 1},[1693],20,1,0,False
160,numeric count,description definition,24,False,False,True,{38: 1},[1693],160,1,0,False
194,numeric count,description definition,24,False,False,True,{38: 1},[1693],194,1,0,False
485,numeric count,description definition,24,False,False,True,{38: 1},[1693],485,1,0,False
293,numeric count,entity term,21,False,False,True,{38: 1},[1693],293,1,0,False
237,numeric count,description definition,24,False,False,True,{38: 1},[1693],237,1,0,False
60,numeric count,location city,32,False,False,True,{38: 1},[1693],60,1,0,False
27,numeric count,location other,35,False,False,True,{38: 1},[1693],27,1,0,False
319,numeric count,location other,35,False,False,True,{38: 1},[1693],319,1,0,False
343,numeric count,human individual,29,False,False,True,{38: 1},[1693],343,1,0,False
82,numeric count,human individual,29,False,False,True,{38: 1},[1693],82,1,0,False
395,numeric count,description definition,24,False,False,True,{38: 1},[1693],395,1,0,False
188,numeric count,location other,35,False,False,True,{38: 1},[1693],188,1,0,False
203,numeric count,entity animal,2,False,False,True,{38: 1},[1693],203,1,0,False
490,numeric count,description definition,24,False,False,True,{38: 1},[1693],490,1,0,False
375,numeric count,numeric date,39,False,False,True,{38: 1},[1693],375,1,0,False
128,numeric count,description definition,24,False,False,True,{38: 1},[1693],128,1,0,False
198,numeric count,entity product,15,False,False,True,{38: 1},[1693],198,1,0,False
149,numeric count,description definition,24,False,False,True,{38: 1},[1693],149,1,0,False
326,numeric count,description reason,27,False,False,True,{38: 1},[1693],326,1,0,False
239,numeric count,numeric speed,46,False,False,True,{38: 1},[1693],239,1,0,False
144,numeric count,description definition,24,False,False,True,{38: 1},[1693],144,1,0,False
362,numeric count,entity body,3,False,False,True,{38: 1},[1693],362,1,0,False
350,numeric count,numeric date,39,False,False,True,{38: 1},[1693],350,1,0,False
301,numeric count,numeric date,39,False,False,True,{38: 1},[1693],301,1,0,False
306,numeric count,human individual,29,False,False,True,{38: 1},[1693],306,1,0,False
433,numeric count,human individual,29,False,False,True,{38: 1},[1693],433,1,0,False
