,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
903,card payment not recognised,supported,54,False,False,False,{45: 1},[2407],903,1,1,False
1003,top up failed,top up revert,61,False,False,False,{45: 1},[2407],1003,1,1,False
2953,card payment not recognised,card about,9,False,False,False,{45: 1},[2407],2953,1,1,False
2979,top up failed,apple,2,False,False,False,{45: 1},[2407],2979,1,1,False
1926,get physical card,card sw,18,False,False,False,{45: 1},[2407],1926,1,1,False
2137,pin blocked,change,21,False,False,False,{45: 1},[2407],2137,1,1,False
2980,top up by card charge,apple,2,False,False,False,{45: 1},[2407],2980,1,1,False
702,cancel transfer,cancel,8,False,True,False,{45: 1},[2407],702,1,1,False
2493,get physical card,order,43,False,False,False,{45: 1},[2407],2493,1,1,False
2210,transfer fee charged,transfer fee,64,False,True,False,{45: 1},[2407],2210,1,1,False
112,exchange rate,exchange rate,32,False,True,False,{45: 1},[2407],112,1,1,False
2909,cash withdrawal charge,cash withdrawal charge,19,False,True,False,{45: 1},[2407],2909,1,1,False
1987,card payment not recognised,transaction,63,False,False,False,{45: 1},[2407],1987,1,1,False
1283,card payment not recognised,vis,73,False,False,False,{45: 1},[2407],1283,1,1,False
1539,passcode forgotten,pass,44,False,True,False,{45: 1},[2407],1539,1,1,False
2879,activate my card,activ,0,False,True,False,{45: 1},[2407],2879,1,1,False
1158,change pin,edit,30,False,False,False,{45: 1},[2407],1158,1,1,False
1376,card payment not recognised,dispos,29,False,False,False,{45: 1},[2407],1376,1,1,False
1517,cancel transfer,direct,28,False,False,False,{45: 1},[2407],1517,1,1,False
1171,verify my identity,why,74,False,False,False,{45: 1},[2407],1171,1,1,False
2242,get physical card,receiving,50,False,False,False,{45: 1},[2407],2242,1,1,False
1476,atm support,at,3,False,True,False,{45: 1},[2407],1476,1,1,False
237,atm support,pending c,46,False,False,False,{45: 1},[2407],237,1,1,False
1650,lost or stolen phone,lost or stolen phone,42,False,True,False,{45: 1},[2407],1650,1,1,False
2484,card payment fee charged,order,43,False,False,False,{45: 1},[2407],2484,1,1,False
2105,cancel transfer,revert,53,False,False,False,{45: 1},[2407],2105,1,1,False
2121,change pin,change,21,False,True,False,{45: 1},[2407],2121,1,1,False
1452,atm support,at,3,False,True,False,{45: 1},[2407],1452,1,1,False
274,card payment not recognised,fi,36,False,False,False,{45: 1},[2407],274,1,1,False
564,contactless not working,contact,23,False,True,False,{45: 1},[2407],564,1,1,False
905,card payment not recognised,supported,54,False,False,False,{45: 1},[2407],905,1,1,False
1535,passcode forgotten,pass,44,False,True,False,{45: 1},[2407],1535,1,1,False
2113,cancel transfer,revert,53,False,False,False,{45: 1},[2407],2113,1,1,False
2142,change pin,change,21,False,True,False,{45: 1},[2407],2142,1,1,False
2965,top up by card charge,apple,2,False,False,False,{45: 1},[2407],2965,1,1,False
1834,card payment not recognised,declined card,25,False,False,False,{45: 1},[2407],1834,1,1,False
1549,passcode forgotten,pass,44,False,True,False,{45: 1},[2407],1549,1,1,False
1320,top up by card charge,to,62,False,False,False,{45: 1},[2407],1320,1,1,False
2421,order physical card,getting spare,39,False,False,False,{45: 1},[2407],2421,1,1,False
2784,exchange rate,exchange charge,31,False,False,False,{45: 1},[2407],2784,1,1,False
768,cash withdrawal not recognised,wrong amount,75,False,False,False,{45: 1},[2407],768,1,1,False
2472,top up by cash or cheque,top up by c,58,False,True,False,{45: 1},[2407],2472,1,1,False
2154,pin blocked,change,21,False,False,False,{45: 1},[2407],2154,1,1,False
795,card payment not recognised,wrong amount,75,False,False,False,{45: 1},[2407],795,1,1,False
1278,pin blocked,get physical,38,False,False,False,{45: 1},[2407],1278,1,1,False
1494,direct debit payment not recognised,direct,28,False,True,False,{45: 1},[2407],1494,1,1,False
241,get physical card,fi,36,False,False,False,{45: 1},[2407],241,1,1,False
3060,card payment not recognised,country,24,False,False,False,{45: 1},[2407],3060,1,1,False
494,age limit,age,1,False,True,False,{45: 1},[2407],494,1,1,False
327,card payment not recognised,automatic,4,False,False,False,{45: 1},[2407],327,1,1,False
458,lost or stolen card,lost or stolen card,41,False,True,False,{45: 1},[2407],458,1,1,False
428,exchange rate,exchange via,33,False,False,False,{45: 1},[2407],428,1,1,False
2862,activate my card,activ,0,False,True,False,{45: 1},[2407],2862,1,1,False
2164,transfer not received by recipient,benef,7,False,False,False,{45: 1},[2407],2164,1,1,False
2897,cash withdrawal charge,cash withdrawal charge,19,False,True,False,{45: 1},[2407],2897,1,1,False
2440,top up by cash or cheque,top up by c,58,False,True,False,{45: 1},[2407],2440,1,1,False
1663,lost or stolen card,lost or stolen phone,42,False,False,False,{45: 1},[2407],1663,1,1,False
2700,transfer not received by recipient,balance not updated after bank,5,False,False,False,{45: 1},[2407],2700,1,1,False
2955,card payment fee charged,card about,9,False,False,False,{45: 1},[2407],2955,1,1,False
522,pin blocked,pin,49,False,True,False,{45: 1},[2407],522,1,1,False
1788,card payment not recognised,Ref,51,False,False,False,{45: 1},[2407],1788,1,1,False
1055,balance not updated after bank transfer,balance not updated after che,6,False,False,False,{45: 1},[2407],1055,1,1,False
2992,top up by card charge,apple,2,False,False,False,{45: 1},[2407],2992,1,1,False
1093,card payment not recognised,card payment not,16,False,True,False,{45: 1},[2407],1093,1,1,False
791,cash withdrawal not recognised,wrong amount,75,False,False,False,{45: 1},[2407],791,1,1,False
894,card payment not recognised,supported,54,False,False,False,{45: 1},[2407],894,1,1,False
897,card payment not recognised,supported,54,False,False,False,{45: 1},[2407],897,1,1,False
1175,card payment not recognised,why,74,False,False,False,{45: 1},[2407],1175,1,1,False
68,card linking,card linking,13,False,True,False,{45: 1},[2407],68,1,1,False
1551,change pin,pass,44,False,False,False,{45: 1},[2407],1551,1,1,False
1508,cancel transfer,direct,28,False,False,False,{45: 1},[2407],1508,1,1,False
2250,card payment not recognised,receiving,50,False,False,False,{45: 1},[2407],2250,1,1,False
519,age limit,age,1,False,True,False,{45: 1},[2407],519,1,1,False
1731,transfer not received by recipient,declined transfer,27,False,False,False,{45: 1},[2407],1731,1,1,False
1210,verify my identity,unable,68,False,False,False,{45: 1},[2407],1210,1,1,False
1750,declined card payment,declined transfer,27,False,False,False,{45: 1},[2407],1750,1,1,False
1687,cancel transfer,request,52,False,False,False,{45: 1},[2407],1687,1,1,False
891,card payment not recognised,supported,54,False,False,False,{45: 1},[2407],891,1,1,False
1061,cash withdrawal not recognised,balance not updated after che,6,False,False,False,{45: 1},[2407],1061,1,1,False
2403,get physical card,getting spare,39,False,False,False,{45: 1},[2407],2403,1,1,False
1898,cancel transfer,terminate,55,False,False,False,{45: 1},[2407],1898,1,1,False
2978,card payment not recognised,apple,2,False,False,False,{45: 1},[2407],2978,1,1,False
1427,card payment not recognised,comprom,22,False,False,False,{45: 1},[2407],1427,1,1,False
1526,change pin,pass,44,False,False,False,{45: 1},[2407],1526,1,1,False
824,card payment fee charged,card payment fee,15,False,True,False,{45: 1},[2407],824,1,1,False
1983,verify my identity,transaction,63,False,False,False,{45: 1},[2407],1983,1,1,False
2132,change pin,change,21,False,True,False,{45: 1},[2407],2132,1,1,False
418,change pin,exchange via,33,False,False,False,{45: 1},[2407],418,1,1,False
1345,transfer fee charged,to,62,False,False,False,{45: 1},[2407],1345,1,1,False
2829,top up by bank transfer charge,top up by card,57,False,False,False,{45: 1},[2407],2829,1,1,False
2489,card payment fee charged,order,43,False,False,False,{45: 1},[2407],2489,1,1,False
598,contactless not working,contact,23,False,True,False,{45: 1},[2407],598,1,1,False
804,card payment fee charged,card payment fee,15,False,True,False,{45: 1},[2407],804,1,1,False
3017,verify my identity,verify my,69,False,True,False,{45: 1},[2407],3017,1,1,False
2589,exchange rate,wrong exchange,76,False,False,False,{45: 1},[2407],2589,1,1,False
2540,virtual card not working,virtual,72,False,True,False,{45: 1},[2407],2540,1,1,False
2908,balance not updated after bank transfer,cash withdrawal charge,19,False,False,False,{45: 1},[2407],2908,1,1,False
2968,apple pay or google pay,apple,2,False,True,False,{45: 1},[2407],2968,1,1,False
2747,atm support,cash withdrawal not,20,False,False,False,{45: 1},[2407],2747,1,1,False
1340,transfer fee charged,to,62,False,False,False,{45: 1},[2407],1340,1,1,False
1348,transfer into account,to,62,False,False,False,{45: 1},[2407],1348,1,1,False
1451,atm support,at,3,False,True,False,{45: 1},[2407],1451,1,1,False
2903,cash withdrawal not recognised,cash withdrawal charge,19,False,False,False,{45: 1},[2407],2903,1,1,False
