,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
13005,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",13005,198,1,False
13881,person title,organization top,organization top members or employees,True,False,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",13881,198,1,False
8000,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",8000,198,1,False
15210,person parents,person sib,person siblings,False,False,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",15210,198,1,False
7432,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",7432,198,1,False
2785,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",2785,198,1,False
11677,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",11677,198,1,False
6929,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",6929,198,1,False
7143,na,na,na,True,True,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",7143,198,1,False
12405,person parents,na,na,True,False,True,"{'person age': 1, 'organization parents': 2, 'na': 163, 'organization top members or employees': 3, 'person employee of': 7, 'person date of birth': 1, 'organization political or religious affiliation': 1, 'person other family': 1, 'person title': 5, 'organization alternate names': 3, 'person cities of residence': 1, 'organization founded by': 1, 'person origin': 1, 'organization shareholders': 1, 'organization state or province of headquarters': 2, 'organization number of employees or members': 1, 'person parents': 1, 'person city of birth': 1, 'organization other branch': 2}","[45572, 24494, 59516, 67194, 67618, 35935, 2945, 56605, 23324, 3342, 47597, 18603, 41711, 60388, 131, 59193, 7678, 57914, 35066, 16114, 1535, 43234, 1147, 65207, 42750, 24129, 37972, 17206, 28580, 744, 58635, 64166, 33451, 9375, 57810, 37750, 58260, 22789, 9927, 61274, 60194, 62665, 39221, 44431, 61925, 8497, 42873, 49031, 6736, 61301, 14684, 4063, 46318, 37573, 54103, 15120, 63251, 51533, 36393, 16211, 52169, 57082, 63386, 11304, 8184, 37389, 35250, 5219, 44643, 67136, 14942, 19028, 48619, 21342, 31567, 10518, 47619, 40898, 13852, 36490, 20120, 19926, 2679, 65608, 21319, 48161, 30381, 33095, 60490, 1536, 958, 29637, 1327, 30428, 45879, 31604, 34361, 29540, 34256, 2976, 23959, 27250, 46731, 50528, 36642, 39017, 52236, 29002, 54038, 64329, 49849, 39371, 6741, 54460, 66644, 7366, 53932, 42300, 2936, 33992, 29255, 54025, 8634, 65741, 61901, 41517, 54214, 22465, 60191, 18499, 7107, 67404, 51805, 18598, 51421, 49973, 8572, 53121, 27549, 23879, 60176, 29345, 42164, 66478, 30187, 29321, 17541, 60482, 1500, 29097, 27712, 21931, 64510, 66751, 4932, 4963, 27142, 11251, 22248, 14407, 16778, 12820, 38379, 35594, 35642, 11329, 67710, 49334, 5561, 5658, 15161, 20876, 34467, 35973, 32814, 45929, 40032, 56681, 33114, 51067, 58008, 66049, 49350, 17982, 23140, 58831, 44048, 37626, 41993, 53513, 58720, 48726, 45435, 34212, 65328, 36608, 7094, 48847]",12405,198,1,False
