,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
8095,card arrival,card arrival,11,True,True,True,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",8095,10,4,False,10
3655,declined cash withdrawal,declined c,26,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",3655,10,4,False,10
9099,pending cash withdrawal,pending c,46,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",9099,10,4,False,10
9418,card acceptance,card accept,10,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",9418,10,4,False,10
2642,receiving money,receiving,50,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",2642,10,4,False,10
8626,request refund,request,52,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",8626,10,4,False,10
9060,pin blocked,pin,49,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",9060,10,4,False,10
389,failed transfer,failed,35,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",389,10,4,False,10
8959,activate my card,activ,0,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",8959,10,4,False,10
3867,visa or mastercard,vis,73,True,True,False,"{11: 1, 26: 1, 46: 1, 10: 1, 50: 1, 52: 1, 49: 1, 35: 1, 0: 1, 73: 1}","[8095, 3655, 9099, 9418, 2642, 8626, 9060, 389, 8959, 3867]",3867,10,4,False,10
