,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
195,payday,pay,79,False,True,False,{112: 1},[1456],195,1,1,False
144,how busy,p,97,False,False,False,{112: 1},[1456],144,1,1,False
969,thank you,thank,124,False,True,False,{112: 1},[1456],969,1,1,False
352,what are your hobbies,maybe,121,False,False,False,{112: 1},[1456],352,1,1,False
640,oil change when,oil change when,123,False,True,False,{112: 1},[1456],640,1,1,False
1096,change accent,change acc,51,False,True,False,{112: 1},[1456],1096,1,1,False
46,transfer,transfer,133,False,True,False,{112: 1},[1456],46,1,1,False
466,what are your hobbies,who,96,False,False,False,{112: 1},[1456],466,1,1,False
1061,reminder,reminder update,53,False,False,False,{112: 1},[1456],1061,1,1,False
1838,interest rate,interest,7,False,True,False,{112: 1},[1456],1838,1,1,False
1152,last maintenance,bill,56,False,False,False,{112: 1},[1456],1152,1,1,False
1606,account blocked,report,70,False,False,False,{112: 1},[1456],1606,1,1,False
1708,taxes,tax,94,False,True,False,{112: 1},[1456],1708,1,1,False
1253,routing,routing,45,False,True,False,{112: 1},[1456],1253,1,1,False
1916,share location,share,58,False,True,False,{112: 1},[1456],1916,1,1,False
243,flip coin,f,33,False,True,False,{112: 1},[1456],243,1,1,False
1176,calories,cal,135,False,True,False,{112: 1},[1456],1176,1,1,False
511,next song,next song,118,False,True,False,{112: 1},[1456],511,1,1,False
1960,calendar,calendar update,105,False,False,False,{112: 1},[1456],1960,1,1,False
928,date,date,95,False,True,False,{112: 1},[1456],928,1,1,False
112,how busy,ins,64,False,False,False,{112: 1},[1456],112,1,1,False
1062,reminder,reminder update,53,False,False,False,{112: 1},[1456],1062,1,1,False
824,how busy,apr,132,False,False,False,{112: 1},[1456],824,1,1,False
1705,taxes,tax,94,False,True,False,{112: 1},[1456],1705,1,1,False
1057,reminder,reminder update,53,False,False,False,{112: 1},[1456],1057,1,1,False
125,how busy,p,97,False,False,False,{112: 1},[1456],125,1,1,False
269,flip coin,f,33,False,True,False,{112: 1},[1456],269,1,1,False
835,goodbye,apr,132,False,False,False,{112: 1},[1456],835,1,1,False
786,no,no,30,False,True,False,{112: 1},[1456],786,1,1,False
1015,ingredients list,food,54,False,False,False,{112: 1},[1456],1015,1,1,False
2124,goodbye,me,46,False,False,False,{112: 1},[1456],2124,1,1,False
1295,credit limit,credit limit,41,False,True,False,{112: 1},[1456],1295,1,1,False
1578,what are your hobbies,ing,112,True,False,False,{112: 1},[1456],1578,1,1,False
1680,taxes,tax,94,False,True,False,{112: 1},[1456],1680,1,1,False
442,cancel,free,20,False,False,False,{112: 1},[1456],442,1,1,False
1507,date,last,37,False,False,False,{112: 1},[1456],1507,1,1,False
1300,credit limit,credit limit,41,False,True,False,{112: 1},[1456],1300,1,1,False
596,how busy,sp,71,False,False,False,{112: 1},[1456],596,1,1,False
1444,account blocked,account,2,False,True,False,{112: 1},[1456],1444,1,1,False
782,no,no,30,False,True,False,{112: 1},[1456],782,1,1,False
2092,jump start,jump,17,False,True,False,{112: 1},[1456],2092,1,1,False
1458,account blocked,account,2,False,True,False,{112: 1},[1456],1458,1,1,False
