,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",360,2,2,False,2
17,entity event,human individual,29,False,False,True,"{8: 1, 35: 1}","[443, 2795]",17,2,2,False,2
361,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",361,2,2,False,2
411,entity event,entity subst,18,False,False,True,"{8: 1, 35: 1}","[443, 2795]",411,2,2,False,2
67,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",67,2,2,False,2
425,location other,entity other,13,False,False,True,"{8: 1, 35: 1}","[443, 2795]",425,2,2,False,2
104,location other,location city,32,False,False,True,"{8: 1, 35: 1}","[443, 2795]",104,2,2,False,2
394,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",394,2,2,False,2
450,entity event,entity color,4,False,False,True,"{8: 1, 35: 1}","[443, 2795]",450,2,2,False,2
141,entity event,entity animal,2,False,False,True,"{8: 1, 35: 1}","[443, 2795]",141,2,2,False,2
142,location other,location other,35,True,True,True,"{8: 1, 35: 1}","[443, 2795]",142,2,2,False,2
269,entity event,description manner,26,False,False,True,"{8: 1, 35: 1}","[443, 2795]",269,2,2,False,2
173,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",173,2,2,False,2
238,location other,location other,35,True,True,True,"{8: 1, 35: 1}","[443, 2795]",238,2,2,False,2
55,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",55,2,2,False,2
121,entity event,numeric distance,40,False,False,True,"{8: 1, 35: 1}","[443, 2795]",121,2,2,False,2
260,entity event,human individual,29,False,False,True,"{8: 1, 35: 1}","[443, 2795]",260,2,2,False,2
62,location other,location other,35,True,True,True,"{8: 1, 35: 1}","[443, 2795]",62,2,2,False,2
185,entity event,human individual,29,False,False,True,"{8: 1, 35: 1}","[443, 2795]",185,2,2,False,2
429,entity event,human individual,29,False,False,True,"{8: 1, 35: 1}","[443, 2795]",429,2,2,False,2
97,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",97,2,2,False,2
340,entity event,numeric weight,49,False,False,True,"{8: 1, 35: 1}","[443, 2795]",340,2,2,False,2
496,entity event,entity currency,6,False,False,True,"{8: 1, 35: 1}","[443, 2795]",496,2,2,False,2
183,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",183,2,2,False,2
393,entity event,numeric other,43,False,False,True,"{8: 1, 35: 1}","[443, 2795]",393,2,2,False,2
15,entity event,numeric other,43,False,False,True,"{8: 1, 35: 1}","[443, 2795]",15,2,2,False,2
162,entity event,numeric date,39,False,False,True,"{8: 1, 35: 1}","[443, 2795]",162,2,2,False,2
481,entity event,entity subst,18,False,False,True,"{8: 1, 35: 1}","[443, 2795]",481,2,2,False,2
332,entity event,entity animal,2,False,False,True,"{8: 1, 35: 1}","[443, 2795]",332,2,2,False,2
251,location other,location city,32,False,False,True,"{8: 1, 35: 1}","[443, 2795]",251,2,2,False,2
305,location other,location other,35,True,True,True,"{8: 1, 35: 1}","[443, 2795]",305,2,2,False,2
169,entity event,human individual,29,False,False,True,"{8: 1, 35: 1}","[443, 2795]",169,2,2,False,2
249,entity event,entity other,13,False,False,True,"{8: 1, 35: 1}","[443, 2795]",249,2,2,False,2
143,entity event,entity animal,2,False,False,True,"{8: 1, 35: 1}","[443, 2795]",143,2,2,False,2
396,entity event,description definition,24,False,False,True,"{8: 1, 35: 1}","[443, 2795]",396,2,2,False,2
71,entity event,numeric money,41,False,False,True,"{8: 1, 35: 1}","[443, 2795]",71,2,2,False,2
168,location other,location state,36,False,False,True,"{8: 1, 35: 1}","[443, 2795]",168,2,2,False,2
199,entity event,entity subst,18,False,False,True,"{8: 1, 35: 1}","[443, 2795]",199,2,2,False,2
366,entity event,entity color,4,False,False,True,"{8: 1, 35: 1}","[443, 2795]",366,2,2,False,2
