,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
360,description manner,description definition,24,False,False,True,{26: 1},[5306],360,1,0,False
17,human individual,human individual,29,False,True,False,{26: 1},[5306],17,1,0,False
361,description manner,description definition,24,False,False,True,{26: 1},[5306],361,1,0,False
411,description description,entity substance,18,False,False,False,{26: 1},[5306],411,1,0,False
67,description manner,description definition,24,False,False,True,{26: 1},[5306],67,1,0,False
425,entity event,entity other,13,False,False,False,{26: 1},[5306],425,1,0,False
104,entity creation,location city,32,False,False,False,{26: 1},[5306],104,1,0,False
394,description manner,description definition,24,False,False,True,{26: 1},[5306],394,1,0,False
450,description definition,entity color,4,False,False,False,{26: 1},[5306],450,1,0,False
141,entity animal,entity animal,2,False,True,False,{26: 1},[5306],141,1,0,False
142,location country,location other,35,False,False,False,{26: 1},[5306],142,1,0,False
269,entity event,description manner,26,True,False,False,{26: 1},[5306],269,1,0,False
173,description manner,description definition,24,False,False,True,{26: 1},[5306],173,1,0,False
238,location other,location other,35,False,True,False,{26: 1},[5306],238,1,0,False
55,abbreviation expansion,description definition,24,False,False,False,{26: 1},[5306],55,1,0,False
121,entity substance,numeric distance,40,False,False,False,{26: 1},[5306],121,1,0,False
260,human individual,human individual,29,False,True,False,{26: 1},[5306],260,1,0,False
62,location other,location other,35,False,True,False,{26: 1},[5306],62,1,0,False
185,human individual,human individual,29,False,True,False,{26: 1},[5306],185,1,0,False
429,human individual,human individual,29,False,True,False,{26: 1},[5306],429,1,0,False
97,description manner,description definition,24,False,False,True,{26: 1},[5306],97,1,0,False
340,numeric weight,numeric weight,49,False,True,False,{26: 1},[5306],340,1,0,False
496,entity currency,entity currency,6,False,True,False,{26: 1},[5306],496,1,0,False
183,description manner,description definition,24,False,False,True,{26: 1},[5306],183,1,0,False
393,numeric size,numeric other,43,False,False,False,{26: 1},[5306],393,1,0,False
15,numeric period,numeric other,43,False,False,False,{26: 1},[5306],15,1,0,False
162,numeric date,numeric date,39,False,True,False,{26: 1},[5306],162,1,0,False
481,description manner,entity substance,18,False,False,True,{26: 1},[5306],481,1,0,False
332,entity animal,entity animal,2,False,True,False,{26: 1},[5306],332,1,0,False
251,description definition,location city,32,False,False,False,{26: 1},[5306],251,1,0,False
305,location country,location other,35,False,False,False,{26: 1},[5306],305,1,0,False
169,entity term,human individual,29,False,False,False,{26: 1},[5306],169,1,0,False
249,description manner,entity other,13,False,False,True,{26: 1},[5306],249,1,0,False
143,entity creation,entity animal,2,False,False,False,{26: 1},[5306],143,1,0,False
396,description manner,description definition,24,False,False,True,{26: 1},[5306],396,1,0,False
71,numeric money,numeric money,41,False,True,False,{26: 1},[5306],71,1,0,False
168,entity other,location state,36,False,False,False,{26: 1},[5306],168,1,0,False
199,entity creation,entity substance,18,False,False,False,{26: 1},[5306],199,1,0,False
366,entity other,entity color,4,False,False,False,{26: 1},[5306],366,1,0,False
464,location other,location state,36,False,False,False,{26: 1},[5306],464,1,0,False
318,entity event,entity other,13,False,False,False,{26: 1},[5306],318,1,0,False
242,entity color,description reason,27,False,False,False,{26: 1},[5306],242,1,0,False
69,location country,location other,35,False,False,False,{26: 1},[5306],69,1,0,False
271,human group,description description,25,False,False,False,{26: 1},[5306],271,1,0,False
145,entity body,entity body,3,False,True,False,{26: 1},[5306],145,1,0,False
379,description manner,description definition,24,False,False,True,{26: 1},[5306],379,1,0,False
398,numeric percent,numeric percent,45,False,True,False,{26: 1},[5306],398,1,0,False
38,numeric count,numeric count,38,False,True,False,{26: 1},[5306],38,1,0,False
20,human individual,human individual,29,False,True,False,{26: 1},[5306],20,1,0,False
160,description manner,description definition,24,False,False,True,{26: 1},[5306],160,1,0,False
194,description definition,description definition,24,False,True,False,{26: 1},[5306],194,1,0,False
485,description manner,description definition,24,False,False,True,{26: 1},[5306],485,1,0,False
293,entity other,entity term,21,False,False,False,{26: 1},[5306],293,1,0,False
237,entity word,description definition,24,False,False,False,{26: 1},[5306],237,1,0,False
60,location other,location city,32,False,False,False,{26: 1},[5306],60,1,0,False
27,entity other,location other,35,False,False,False,{26: 1},[5306],27,1,0,False
319,entity other,location other,35,False,False,False,{26: 1},[5306],319,1,0,False
343,human individual,human individual,29,False,True,False,{26: 1},[5306],343,1,0,False
82,human individual,human individual,29,False,True,False,{26: 1},[5306],82,1,0,False
395,description manner,description definition,24,False,False,True,{26: 1},[5306],395,1,0,False
188,location city,location other,35,False,False,False,{26: 1},[5306],188,1,0,False
203,entity animal,entity animal,2,False,True,False,{26: 1},[5306],203,1,0,False
490,entity creation,description definition,24,False,False,False,{26: 1},[5306],490,1,0,False
375,numeric date,numeric date,39,False,True,False,{26: 1},[5306],375,1,0,False
128,description manner,description definition,24,False,False,True,{26: 1},[5306],128,1,0,False
198,entity creation,entity product,15,False,False,False,{26: 1},[5306],198,1,0,False
149,entity word,description definition,24,False,False,False,{26: 1},[5306],149,1,0,False
326,description reason,description reason,27,False,True,False,{26: 1},[5306],326,1,0,False
239,numeric size,numeric speed,46,False,False,False,{26: 1},[5306],239,1,0,False
144,description manner,description definition,24,False,False,True,{26: 1},[5306],144,1,0,False
362,description definition,entity body,3,False,False,False,{26: 1},[5306],362,1,0,False
350,numeric date,numeric date,39,False,True,False,{26: 1},[5306],350,1,0,False
301,numeric date,numeric date,39,False,True,False,{26: 1},[5306],301,1,0,False
306,entity event,human individual,29,False,False,False,{26: 1},[5306],306,1,0,False
433,entity event,human individual,29,False,False,False,{26: 1},[5306],433,1,0,False
103,entity creation,human description,31,False,False,False,{26: 1},[5306],103,1,0,False
