,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
17264,general negate,general neg,25,True,True,False,{25: 1},[17264],17264,1,2,False
5698,general negate,email query,15,False,False,False,{25: 1},[17264],5698,1,2,False
13931,general negate,iot hue light change,31,False,False,False,{25: 1},[17264],13931,1,2,False
14218,general negate,email query,15,False,False,False,{25: 1},[17264],14218,1,2,False
19007,general negate,qa definition,52,False,False,False,{25: 1},[17264],19007,1,2,False
17022,general negate,qa stock,55,False,False,False,{25: 1},[17264],17022,1,2,False
10279,general negate,cooking reci,11,False,False,False,{25: 1},[17264],10279,1,2,False
585,general negate,play audio,46,False,False,False,{25: 1},[17264],585,1,2,False
12242,general negate,general pra,26,False,False,False,{25: 1},[17264],12242,1,2,False
9344,general negate,social post,59,False,False,False,{25: 1},[17264],9344,1,2,False
10523,general negate,calendar set,9,False,False,False,{25: 1},[17264],10523,1,2,False
11153,general negate,qa math,54,False,False,False,{25: 1},[17264],11153,1,2,False
2877,general negate,email query,15,False,False,False,{25: 1},[17264],2877,1,2,False
3493,general negate,social query,60,False,False,False,{25: 1},[17264],3493,1,2,False
7481,general negate,calendar set,9,False,False,False,{25: 1},[17264],7481,1,2,False
2419,general negate,calendar remove,8,False,False,False,{25: 1},[17264],2419,1,2,False
9117,general negate,calendar set,9,False,False,False,{25: 1},[17264],9117,1,2,False
8850,general negate,general neg,25,True,True,False,{25: 1},[17264],8850,1,2,False
13492,general negate,lists query,39,False,False,False,{25: 1},[17264],13492,1,2,False
3567,email add contact,music query,43,False,False,False,{25: 1},[17264],3567,1,2,False
11590,general negate,calendar set,9,False,False,False,{25: 1},[17264],11590,1,2,False
7672,weather query,weather,67,False,True,False,{25: 1},[17264],7672,1,2,False
5600,general negate,transport query,63,False,False,False,{25: 1},[17264],5600,1,2,False
14043,general negate,general repeat,28,False,False,False,{25: 1},[17264],14043,1,2,False
11855,general negate,datetime query,13,False,False,False,{25: 1},[17264],11855,1,2,False
2055,general negate,general command,19,False,False,False,{25: 1},[17264],2055,1,2,False
983,general negate,qa definition,52,False,False,False,{25: 1},[17264],983,1,2,False
2833,general negate,cooking reci,11,False,False,False,{25: 1},[17264],2833,1,2,False
18852,general negate,play audio,46,False,False,False,{25: 1},[17264],18852,1,2,False
13966,general negate,play game,47,False,False,False,{25: 1},[17264],13966,1,2,False
10238,general negate,general repeat,28,False,False,False,{25: 1},[17264],10238,1,2,False
10245,general negate,news,45,False,False,False,{25: 1},[17264],10245,1,2,False
11992,general negate,alarm set,2,False,False,False,{25: 1},[17264],11992,1,2,False
14440,general negate,qa fact,53,False,False,False,{25: 1},[17264],14440,1,2,False
9982,general negate,email s,17,False,False,False,{25: 1},[17264],9982,1,2,False
17979,general negate,iot hue light off,33,False,False,False,{25: 1},[17264],17979,1,2,False
9764,play music,play music,48,False,True,False,{25: 1},[17264],9764,1,2,False
3358,general negate,recommendation events,56,False,False,False,{25: 1},[17264],3358,1,2,False
5839,general negate,transport traffic,66,False,False,False,{25: 1},[17264],5839,1,2,False
7978,general negate,calendar query,7,False,False,False,{25: 1},[17264],7978,1,2,False
8800,general negate,qa math,54,False,False,False,{25: 1},[17264],8800,1,2,False
19162,general negate,general pra,26,False,False,False,{25: 1},[17264],19162,1,2,False
8877,general negate,calendar set,9,False,False,False,{25: 1},[17264],8877,1,2,False
6817,general negate,transport query,63,False,False,False,{25: 1},[17264],6817,1,2,False
11001,general negate,music query,43,False,False,False,{25: 1},[17264],11001,1,2,False
3341,general negate,calendar query,7,False,False,False,{25: 1},[17264],3341,1,2,False
8396,general negate,datetime query,13,False,False,False,{25: 1},[17264],8396,1,2,False
3207,general negate,email query,15,False,False,False,{25: 1},[17264],3207,1,2,False
15450,general negate,calendar query,7,False,False,False,{25: 1},[17264],15450,1,2,False
10918,alarm set,alarm query,0,False,False,False,{25: 1},[17264],10918,1,2,False
2529,general negate,qa definition,52,False,False,False,{25: 1},[17264],2529,1,2,False
3081,general negate,iot wemo on,37,False,False,False,{25: 1},[17264],3081,1,2,False
6032,general negate,qa stock,55,False,False,False,{25: 1},[17264],6032,1,2,False
10356,general negate,play radio,50,False,False,False,{25: 1},[17264],10356,1,2,False
15903,general negate,general pra,26,False,False,False,{25: 1},[17264],15903,1,2,False
1705,general negate,news,45,False,False,False,{25: 1},[17264],1705,1,2,False
2124,general negate,cooking reci,11,False,False,False,{25: 1},[17264],2124,1,2,False
6050,general negate,music settings,44,False,False,False,{25: 1},[17264],6050,1,2,False
12683,music dislikeness,play audio,46,False,False,False,{25: 1},[17264],12683,1,2,False
10584,general negate,transport tax,64,False,False,False,{25: 1},[17264],10584,1,2,False
17178,general negate,calendar set,9,False,False,False,{25: 1},[17264],17178,1,2,False
7389,general negate,takeaway order,61,False,False,False,{25: 1},[17264],7389,1,2,False
16725,general negate,calendar query,7,False,False,False,{25: 1},[17264],16725,1,2,False
9307,general negate,general repeat,28,False,False,False,{25: 1},[17264],9307,1,2,False
18570,general negate,calendar query,7,False,False,False,{25: 1},[17264],18570,1,2,False
19021,general negate,cooking reci,11,False,False,False,{25: 1},[17264],19021,1,2,False
19240,general negate,recommendation events,56,False,False,False,{25: 1},[17264],19240,1,2,False
2277,general negate,general command,19,False,False,False,{25: 1},[17264],2277,1,2,False
18175,general negate,news,45,False,False,False,{25: 1},[17264],18175,1,2,False
11643,play podcasts,play pod,49,False,True,False,{25: 1},[17264],11643,1,2,False
14578,general negate,qa stock,55,False,False,False,{25: 1},[17264],14578,1,2,False
6701,general negate,play audio,46,False,False,False,{25: 1},[17264],6701,1,2,False
4848,general negate,iot hue light off,33,False,False,False,{25: 1},[17264],4848,1,2,False
17883,play music,play music,48,False,True,False,{25: 1},[17264],17883,1,2,False
17846,general negate,general aff,18,False,False,False,{25: 1},[17264],17846,1,2,False
6025,general negate,general neg,25,True,True,False,{25: 1},[17264],6025,1,2,False
6581,general negate,iot hue light off,33,False,False,False,{25: 1},[17264],6581,1,2,False
19137,general negate,general dont,21,False,False,False,{25: 1},[17264],19137,1,2,False
18003,general negate,general aff,18,False,False,False,{25: 1},[17264],18003,1,2,False
18560,general negate,general pra,26,False,False,False,{25: 1},[17264],18560,1,2,False
12581,weather query,email s,17,False,False,False,{25: 1},[17264],12581,1,2,False
18737,general negate,qa currency,51,False,False,False,{25: 1},[17264],18737,1,2,False
9278,general negate,iot clean,29,False,False,False,{25: 1},[17264],9278,1,2,False
13224,general negate,takeaway query,62,False,False,False,{25: 1},[17264],13224,1,2,False
1508,general negate,news,45,False,False,False,{25: 1},[17264],1508,1,2,False
15352,general negate,general aff,18,False,False,False,{25: 1},[17264],15352,1,2,False
3176,general negate,play radio,50,False,False,False,{25: 1},[17264],3176,1,2,False
6387,general negate,iot coffee,30,False,False,False,{25: 1},[17264],6387,1,2,False
13865,general negate,calendar set,9,False,False,False,{25: 1},[17264],13865,1,2,False
384,general negate,general qu,27,False,False,False,{25: 1},[17264],384,1,2,False
12823,general negate,email s,17,False,False,False,{25: 1},[17264],12823,1,2,False
328,general negate,general pra,26,False,False,False,{25: 1},[17264],328,1,2,False
8897,general negate,play music,48,False,False,False,{25: 1},[17264],8897,1,2,False
11591,general negate,general neg,25,True,True,False,{25: 1},[17264],11591,1,2,False
128,general negate,general jo,24,False,False,False,{25: 1},[17264],128,1,2,False
10234,calendar remove,calendar remove,8,False,True,False,{25: 1},[17264],10234,1,2,False
8523,general negate,transport ticket,65,False,False,False,{25: 1},[17264],8523,1,2,False
7269,general negate,email s,17,False,False,False,{25: 1},[17264],7269,1,2,False
9902,general negate,takeaway order,61,False,False,False,{25: 1},[17264],9902,1,2,False
14172,general negate,general explain,22,False,False,False,{25: 1},[17264],14172,1,2,False
9828,general negate,audio volume up,6,False,False,False,{25: 1},[17264],9828,1,2,False
8731,general negate,play pod,49,False,False,False,{25: 1},[17264],8731,1,2,False
12220,general negate,general qu,27,False,False,False,{25: 1},[17264],12220,1,2,False
10295,general negate,play music,48,False,False,False,{25: 1},[17264],10295,1,2,False
17365,general negate,general confirm,20,False,False,False,{25: 1},[17264],17365,1,2,False
8875,general negate,social query,60,False,False,False,{25: 1},[17264],8875,1,2,False
15454,weather query,weather,67,False,True,False,{25: 1},[17264],15454,1,2,False
8272,general negate,iot hue light dim,32,False,False,False,{25: 1},[17264],8272,1,2,False
7374,general negate,calendar query,7,False,False,False,{25: 1},[17264],7374,1,2,False
12921,general negate,social query,60,False,False,False,{25: 1},[17264],12921,1,2,False
7479,general negate,calendar set,9,False,False,False,{25: 1},[17264],7479,1,2,False
10253,general negate,general explain,22,False,False,False,{25: 1},[17264],10253,1,2,False
10894,email add contact,email s,17,False,False,False,{25: 1},[17264],10894,1,2,False
15390,general negate,news,45,False,False,False,{25: 1},[17264],15390,1,2,False
5214,weather query,weather,67,False,True,False,{25: 1},[17264],5214,1,2,False
3263,cooking recipe,cooking reci,11,False,True,False,{25: 1},[17264],3263,1,2,False
3877,general negate,alarm set,2,False,False,False,{25: 1},[17264],3877,1,2,False
9027,general negate,datetime query,13,False,False,False,{25: 1},[17264],9027,1,2,False
5838,general negate,datetime query,13,False,False,False,{25: 1},[17264],5838,1,2,False
14589,general negate,general aff,18,False,False,False,{25: 1},[17264],14589,1,2,False
11878,play music,music li,42,False,False,False,{25: 1},[17264],11878,1,2,False
2243,general negate,lists query,39,False,False,False,{25: 1},[17264],2243,1,2,False
5097,general negate,transport query,63,False,False,False,{25: 1},[17264],5097,1,2,False
10165,general negate,iot coffee,30,False,False,False,{25: 1},[17264],10165,1,2,False
13044,general negate,iot hue light dim,32,False,False,False,{25: 1},[17264],13044,1,2,False
10978,general negate,iot wemo on,37,False,False,False,{25: 1},[17264],10978,1,2,False
14297,general negate,datetime query,13,False,False,False,{25: 1},[17264],14297,1,2,False
1181,general negate,calendar remove,8,False,False,False,{25: 1},[17264],1181,1,2,False
14740,general negate,lists query,39,False,False,False,{25: 1},[17264],14740,1,2,False
3093,general negate,recommendation locations,57,False,False,False,{25: 1},[17264],3093,1,2,False
2494,play music,play music,48,False,True,False,{25: 1},[17264],2494,1,2,False
9553,general negate,general qu,27,False,False,False,{25: 1},[17264],9553,1,2,False
11857,general negate,cooking reci,11,False,False,False,{25: 1},[17264],11857,1,2,False
3394,general negate,qa fact,53,False,False,False,{25: 1},[17264],3394,1,2,False
12966,general negate,general pra,26,False,False,False,{25: 1},[17264],12966,1,2,False
6678,general negate,general explain,22,False,False,False,{25: 1},[17264],6678,1,2,False
13121,general negate,general neg,25,True,True,False,{25: 1},[17264],13121,1,2,False
8519,weather query,weather,67,False,True,False,{25: 1},[17264],8519,1,2,False
4602,general negate,lists remove,40,False,False,False,{25: 1},[17264],4602,1,2,False
11272,general negate,alarm set,2,False,False,False,{25: 1},[17264],11272,1,2,False
12409,general negate,qa currency,51,False,False,False,{25: 1},[17264],12409,1,2,False
4604,general negate,play game,47,False,False,False,{25: 1},[17264],4604,1,2,False
10104,play music,play radio,50,False,False,False,{25: 1},[17264],10104,1,2,False
14922,general negate,general qu,27,False,False,False,{25: 1},[17264],14922,1,2,False
4969,general negate,qa fact,53,False,False,False,{25: 1},[17264],4969,1,2,False
18055,general negate,general command,19,False,False,False,{25: 1},[17264],18055,1,2,False
17880,general negate,news,45,False,False,False,{25: 1},[17264],17880,1,2,False
5976,general negate,general dont,21,False,False,False,{25: 1},[17264],5976,1,2,False
15780,general negate,general neg,25,True,True,False,{25: 1},[17264],15780,1,2,False
6842,general negate,calendar query,7,False,False,False,{25: 1},[17264],6842,1,2,False
9349,general negate,qa fact,53,False,False,False,{25: 1},[17264],9349,1,2,False
10209,general negate,general repeat,28,False,False,False,{25: 1},[17264],10209,1,2,False
12148,general negate,general pra,26,False,False,False,{25: 1},[17264],12148,1,2,False
15381,general negate,general command,19,False,False,False,{25: 1},[17264],15381,1,2,False
987,general negate,transport query,63,False,False,False,{25: 1},[17264],987,1,2,False
108,general negate,datetime query,13,False,False,False,{25: 1},[17264],108,1,2,False
16246,general negate,email query contact,16,False,False,False,{25: 1},[17264],16246,1,2,False
7817,general negate,transport query,63,False,False,False,{25: 1},[17264],7817,1,2,False
6123,general negate,general repeat,28,False,False,False,{25: 1},[17264],6123,1,2,False
10372,general negate,calendar remove,8,False,False,False,{25: 1},[17264],10372,1,2,False
1769,general negate,general explain,22,False,False,False,{25: 1},[17264],1769,1,2,False
13296,general negate,iot hue light change,31,False,False,False,{25: 1},[17264],13296,1,2,False
12772,general negate,datetime query,13,False,False,False,{25: 1},[17264],12772,1,2,False
99,general negate,datetime query,13,False,False,False,{25: 1},[17264],99,1,2,False
15184,general negate,general pra,26,False,False,False,{25: 1},[17264],15184,1,2,False
15239,general negate,alarm remove,1,False,False,False,{25: 1},[17264],15239,1,2,False
5732,general negate,calendar set,9,False,False,False,{25: 1},[17264],5732,1,2,False
11300,general negate,cooking reci,11,False,False,False,{25: 1},[17264],11300,1,2,False
15510,general negate,general confirm,20,False,False,False,{25: 1},[17264],15510,1,2,False
10064,general negate,qa definition,52,False,False,False,{25: 1},[17264],10064,1,2,False
14854,general negate,email query,15,False,False,False,{25: 1},[17264],14854,1,2,False
12101,general negate,lists create,38,False,False,False,{25: 1},[17264],12101,1,2,False
11703,general negate,datetime query,13,False,False,False,{25: 1},[17264],11703,1,2,False
13926,general negate,audio volume down,3,False,False,False,{25: 1},[17264],13926,1,2,False
10640,general negate,transport traffic,66,False,False,False,{25: 1},[17264],10640,1,2,False
2330,general negate,general command,19,False,False,False,{25: 1},[17264],2330,1,2,False
18971,general negate,qa fact,53,False,False,False,{25: 1},[17264],18971,1,2,False
5378,general negate,email query,15,False,False,False,{25: 1},[17264],5378,1,2,False
2762,general negate,takeaway query,62,False,False,False,{25: 1},[17264],2762,1,2,False
8483,general negate,calendar set,9,False,False,False,{25: 1},[17264],8483,1,2,False
4755,calendar set,calendar set,9,False,True,False,{25: 1},[17264],4755,1,2,False
17873,general negate,general repeat,28,False,False,False,{25: 1},[17264],17873,1,2,False
13745,general negate,qa currency,51,False,False,False,{25: 1},[17264],13745,1,2,False
17858,general negate,iot clean,29,False,False,False,{25: 1},[17264],17858,1,2,False
45,general negate,general repeat,28,False,False,False,{25: 1},[17264],45,1,2,False
8364,weather query,weather,67,False,True,False,{25: 1},[17264],8364,1,2,False
17499,general negate,qa fact,53,False,False,False,{25: 1},[17264],17499,1,2,False
10278,general negate,transport query,63,False,False,False,{25: 1},[17264],10278,1,2,False
10734,general negate,general dont,21,False,False,False,{25: 1},[17264],10734,1,2,False
16999,general negate,general neg,25,True,True,False,{25: 1},[17264],16999,1,2,False
2396,play music,play music,48,False,True,False,{25: 1},[17264],2396,1,2,False
2591,general negate,calendar query,7,False,False,False,{25: 1},[17264],2591,1,2,False
443,play game,play music,48,False,False,False,{25: 1},[17264],443,1,2,False
