,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
744,location other,location other,35,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",744,25,3,False,25
2860,location other,location other,35,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",2860,25,3,False,25
4149,human individual,human individual,29,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",4149,25,3,False,25
2596,entity event,entity event,8,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",2596,25,3,False,25
903,human title,human title,30,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",903,25,3,False,25
1237,description description,description description,25,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",1237,25,3,False,25
1726,entity substance,entity subst,18,True,True,False,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",1726,25,3,False,25
1009,location country,location country,33,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",1009,25,3,False,25
3595,human group,human group,28,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",3595,25,3,False,25
3485,entity creation,entity creation,5,True,True,True,"{35: 2, 29: 2, 8: 2, 30: 1, 25: 1, 18: 1, 33: 3, 28: 1, 5: 1, 38: 2, 45: 1, 24: 2, 21: 2, 32: 1, 39: 1, 13: 1, 9: 1}","[744, 2860, 4149, 2596, 903, 1237, 1726, 1009, 3595, 3485, 2196, 1039, 1683, 2060, 1179, 5355, 751, 3201, 3506, 5389, 3050, 1827, 4386, 5184, 496]",3485,25,3,False,25
