,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
4077,play music,music settings,44,False,False,True,"{49: 1, 48: 1}","[12933, 15769]",4077,2,7,False,2
3189,play podcasts,news,45,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",3189,2,7,False,2
1602,iot hue light off,general qu,27,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",1602,2,7,False,2
3789,weather query,calendar query,7,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",3789,2,7,False,2
2924,iot hue light off,general neg,25,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",2924,2,7,False,2
5465,play music,music li,42,False,False,True,"{49: 1, 48: 1}","[12933, 15769]",5465,2,7,False,2
2269,social post,social query,60,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",2269,2,7,False,2
3965,play music,general dont,21,False,False,True,"{49: 1, 48: 1}","[12933, 15769]",3965,2,7,False,2
431,play music,qa stock,55,False,False,True,"{49: 1, 48: 1}","[12933, 15769]",431,2,7,False,2
2221,play music,general neg,25,False,False,True,"{49: 1, 48: 1}","[12933, 15769]",2221,2,7,False,2
6128,alarm set,alarm set,2,False,True,False,"{49: 1, 48: 1}","[12933, 15769]",6128,2,7,False,2
530,calendar remove,calendar remove,8,False,True,False,"{49: 1, 48: 1}","[12933, 15769]",530,2,7,False,2
1199,takeaway order,iot coffee,30,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",1199,2,7,False,2
3488,calendar set,calendar set,9,False,True,False,"{49: 1, 48: 1}","[12933, 15769]",3488,2,7,False,2
4132,transport query,transport tax,64,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",4132,2,7,False,2
468,play podcasts,general qu,27,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",468,2,7,False,2
3065,iot hue light off,general qu,27,False,False,False,"{49: 1, 48: 1}","[12933, 15769]",3065,2,7,False,2
3611,play music,play music,48,True,True,True,"{49: 1, 48: 1}","[12933, 15769]",3611,2,7,False,2
