,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
4077,qa stock,music settings,44,False,False,True,{55: 1},[1643],4077,1,6,False
3189,news query,news,45,False,True,False,{55: 1},[1643],3189,1,6,False
1602,qa stock,general qu,27,False,False,True,{55: 1},[1643],1602,1,6,False
3789,qa stock,calendar query,7,False,False,True,{55: 1},[1643],3789,1,6,False
2924,iot hue light off,general neg,25,False,False,False,{55: 1},[1643],2924,1,6,False
5465,music settings,music li,42,False,False,False,{55: 1},[1643],5465,1,6,False
2269,social post,social query,60,False,False,False,{55: 1},[1643],2269,1,6,False
3965,qa stock,general dont,21,False,False,True,{55: 1},[1643],3965,1,6,False
431,qa stock,qa stock,55,True,True,True,{55: 1},[1643],431,1,6,False
2221,qa stock,general neg,25,False,False,True,{55: 1},[1643],2221,1,6,False
6128,alarm set,alarm set,2,False,True,False,{55: 1},[1643],6128,1,6,False
530,qa stock,calendar remove,8,False,False,True,{55: 1},[1643],530,1,6,False
1199,qa stock,iot coffee,30,False,False,True,{55: 1},[1643],1199,1,6,False
3488,qa stock,calendar set,9,False,False,True,{55: 1},[1643],3488,1,6,False
4132,transport taxi,transport tax,64,False,True,False,{55: 1},[1643],4132,1,6,False
468,qa stock,general qu,27,False,False,True,{55: 1},[1643],468,1,6,False
3065,iot hue light off,general qu,27,False,False,False,{55: 1},[1643],3065,1,6,False
3611,play music,play music,48,False,True,False,{55: 1},[1643],3611,1,6,False
5162,qa stock,general repeat,28,False,False,True,{55: 1},[1643],5162,1,6,False
5190,qa stock,email query contact,16,False,False,True,{55: 1},[1643],5190,1,6,False
3205,qa stock,play music,48,False,False,True,{55: 1},[1643],3205,1,6,False
6166,play game,play music,48,False,False,False,{55: 1},[1643],6166,1,6,False
3191,news query,news,45,False,True,False,{55: 1},[1643],3191,1,6,False
3190,qa stock,general pra,26,False,False,True,{55: 1},[1643],3190,1,6,False
396,calendar query,calendar query,7,False,True,False,{55: 1},[1643],396,1,6,False
1421,news query,news,45,False,True,False,{55: 1},[1643],1421,1,6,False
4890,qa stock,general repeat,28,False,False,True,{55: 1},[1643],4890,1,6,False
6193,email sendemail,email s,17,False,True,False,{55: 1},[1643],6193,1,6,False
132,qa stock,general confirm,20,False,False,True,{55: 1},[1643],132,1,6,False
1219,calendar query,calendar query,7,False,True,False,{55: 1},[1643],1219,1,6,False
817,qa stock,qa definition,52,False,False,True,{55: 1},[1643],817,1,6,False
3747,iot hue light off,general confirm,20,False,False,False,{55: 1},[1643],3747,1,6,False
4668,weather query,weather,67,False,True,False,{55: 1},[1643],4668,1,6,False
4616,weather query,weather,67,False,True,False,{55: 1},[1643],4616,1,6,False
6006,qa stock,general qu,27,False,False,True,{55: 1},[1643],6006,1,6,False
1934,qa stock,social post,59,False,False,True,{55: 1},[1643],1934,1,6,False
2118,qa stock,calendar set,9,False,False,True,{55: 1},[1643],2118,1,6,False
1352,iot wemo on,weather,67,False,False,False,{55: 1},[1643],1352,1,6,False
3041,iot hue light off,recommendation locations,57,False,False,False,{55: 1},[1643],3041,1,6,False
6286,qa stock,general repeat,28,False,False,True,{55: 1},[1643],6286,1,6,False
1546,qa stock,general explain,22,False,False,True,{55: 1},[1643],1546,1,6,False
365,qa stock,general dont,21,False,False,True,{55: 1},[1643],365,1,6,False
6074,qa stock,qa stock,55,True,True,True,{55: 1},[1643],6074,1,6,False
5712,iot hue light off,recommendation mov,58,False,False,False,{55: 1},[1643],5712,1,6,False
4203,qa stock,transport query,63,False,False,True,{55: 1},[1643],4203,1,6,False
1761,qa stock,recommendation locations,57,False,False,True,{55: 1},[1643],1761,1,6,False
6409,email sendemail,email s,17,False,True,False,{55: 1},[1643],6409,1,6,False
371,qa stock,iot coffee,30,False,False,True,{55: 1},[1643],371,1,6,False
2523,qa stock,calendar query,7,False,False,True,{55: 1},[1643],2523,1,6,False
5507,play podcasts,play pod,49,False,True,False,{55: 1},[1643],5507,1,6,False
1818,qa stock,play pod,49,False,False,True,{55: 1},[1643],1818,1,6,False
1315,qa stock,audio volume up,6,False,False,True,{55: 1},[1643],1315,1,6,False
4399,play podcasts,play pod,49,False,True,False,{55: 1},[1643],4399,1,6,False
2035,alarm set,alarm set,2,False,True,False,{55: 1},[1643],2035,1,6,False
3579,qa stock,qa fact,53,False,False,True,{55: 1},[1643],3579,1,6,False
3979,play music,play music,48,False,True,False,{55: 1},[1643],3979,1,6,False
5530,qa stock,general pra,26,False,False,True,{55: 1},[1643],5530,1,6,False
