,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
2134,datetime query,datetime query,13,True,True,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",2134,64,6,False,64
1520,datetime query,datetime query,13,True,True,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1520,64,6,False,64
1378,calendar set,calendar,9,True,True,False,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1378,64,6,False,64
1169,iot hue light up,audio volume m,4,False,False,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1169,64,6,False,64
214,iot hue light up,general neg,25,True,False,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",214,64,6,False,64
612,play music,play,48,True,True,False,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",612,64,6,False,64
2258,general negate,general neg,25,True,True,False,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",2258,64,6,False,64
1438,calendar set,calendar,9,True,True,False,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1438,64,6,False,64
1248,qa currency,qa currency,51,True,True,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1248,64,6,False,64
1970,alarm query,alarm query,0,True,True,True,"{18: 4, 21: 7, 48: 4, 9: 9, 17: 7, 42: 2, 61: 1, 30: 5, 35: 2, 51: 1, 29: 1, 13: 3, 55: 5, 12: 1, 25: 3, 1: 1, 39: 1, 28: 1, 44: 2, 0: 1, 62: 1, 38: 2}","[7509, 4442, 4887, 897, 3589, 5449, 1297, 279, 2998, 3584, 567, 7653, 4288, 3257, 6758, 4642, 164, 7803, 3563, 7384, 1725, 7859, 1693, 3104, 4632, 5512, 2730, 7596, 5633, 6476, 3494, 2392, 4572, 3561, 6393, 2268, 4841, 7873, 7260, 2082, 249, 2687, 1712, 867, 6034, 4187, 4729, 7881, 2841, 5147, 1847, 6818, 2812, 7843, 7758, 5815, 289, 3925, 2657, 7117, 2200, 6144, 2999, 7275]",1970,64,6,False,64
